source_id,volume,official_title,medium,version_or_print,publication_date,isbn,isbn_kind,issuer,application_start,errata_baseline,errata_checked_at,phase1_role,adoption_status,evidence_location,evidence_checksum,notes
MLIT-NOTICE-20250822,,「橋、高架の道路等の技術基準」（道路橋示方書）の改定について,official_press_release_pdf,,2025-08-22,,,国土交通省,2026-04-01,Ver2.00 plus 20260331 overlay,2026-07-27,press_release_metadata,ADOPTED,https://www.mlit.go.jp/report/press/content/001906067.pdf,60ef4608873161151720ae8038b7d63b84ade064538f67e0169d04c5268049a8,MLIT official press release (報道発表資料); records application from 2026-04-01 for designs newly commenced and R7 volume arrangement; not a regulatory notice text
JRA-ANNOUNCE-20251031,,道路橋示方書・同解説 令和7年改訂版 発行告知,web_announcement,,2025-10-31,,,日本道路協会,,Ver2.00 plus 20260331 overlay,2026-07-27,publication_metadata,ADOPTED,https://e-book.road.or.jp/blogs/news/%E9%9B%BB%E5%AD%90%E7%89%88-%E9%81%93%E8%B7%AF%E6%A9%8B%E7%A4%BA%E6%96%B9%E6%9B%B8-%E5%90%8C%E8%A7%A3%E8%AA%AC-%E4%BB%A4%E5%92%8C%EF%BC%97%E5%B9%B4%E6%94%B9%E8%A8%82%E7%89%88-%E3%82%92%EF%BC%91%EF%BC%91%E6%9C%88%EF%BC%95%E6%97%A5%E3%81%AB%E7%99%BA%E5%88%8A%E3%81%97%E3%81%BE%E3%81%99,,Publication announced 2025-10-31; electronic sale Ver1.00 from 2025-11-05; Ver2.00 from 2025-12-19; EVD-DS01-002
RBS-I,I,道路橋示方書・同解説 I 共通編,ebook,Ver2.00,2025-12-19,978-4-88950-801-7,ebook,日本道路協会,2026-04-01,Ver2.00 plus 20260331 overlay,2026-07-27,primary,ADOPTED_WITH_CONDITION,https://e-book.road.or.jp/products/%E9%81%93%E8%B7%AF%E6%A9%8B%E7%A4%BA%E6%96%B9%E6%9B%B8-%E5%90%8C%E8%A7%A3%E8%AA%AC%E2%85%B0%E5%85%B1%E9%80%9A%E7%B7%A8-%E5%B9%B3%E6%88%9029%E5%B9%B411%E6%9C%88-ver-1-02-%E3%82%B3%E3%83%94%E3%83%BC,,E-book ISBN only; EVD-DS01-005; 20260331 overlay applied separately; clause citations require human visual confirmation
RBS-II,II,道路橋示方書・同解説 II 鋼部材・鋼上部構造編,ebook,Ver2.00,2025-12-19,978-4-88950-802-4,ebook,日本道路協会,2026-04-01,Ver2.00 plus 20260331 overlay,2026-07-27,primary,ADOPTED_WITH_CONDITION,https://e-book.road.or.jp/products/%E9%81%93%E8%B7%AF%E6%A9%8B%E7%A4%BA%E6%96%B9%E6%9B%B8-%E5%90%8C%E8%A7%A3%E8%AA%AC%E2%85%B0%E5%85%B1%E9%80%9A%E7%B7%A8-%E4%BB%A4%E5%92%8C7%E5%B9%B410%E6%9C%88-ver-1-00-%E3%82%B3%E3%83%94%E3%83%BC,,E-book ISBN only; EVD-DS01-006; 20260331 overlay applied separately; clause citations require human visual confirmation
RBS-III,III,道路橋示方書・同解説 III コンクリート部材・コンクリート上部構造編,ebook,Ver2.00,2025-12-19,978-4-88950-803-1,ebook,日本道路協会,2026-04-01,Ver2.00 plus 20260331 overlay,2026-07-27,primary,ADOPTED_WITH_CONDITION,https://e-book.road.or.jp/products/%E9%81%93%E8%B7%AF%E6%A9%8B%E7%A4%BA%E6%96%B9%E6%9B%B8-%E5%90%8C%E8%A7%A3%E8%AA%AC-%E4%BB%A4%E5%92%8C%EF%BC%97%E5%B9%B4%E6%94%B9%E8%A8%82%E7%89%88-%E2%85%B0%E5%85%B1%E9%80%9A%E7%B7%A8-ver-1-00-%E3%82%B3%E3%83%94%E3%83%BC,,E-book ISBN only; EVD-DS01-007; 20260331 overlay applied separately; clause citations require human visual confirmation
RBS-IV,IV,道路橋示方書・同解説 IV 下部構造編,ebook,Ver2.00,2025-12-19,978-4-88950-804-8,ebook,日本道路協会,2026-04-01,Ver2.00 plus 20260331 overlay,2026-07-27,reference_only,REFERENCE_ONLY,https://e-book.road.or.jp/products/%E9%81%93%E8%B7%AF%E6%A9%8B%E7%A4%BA%E6%96%B9%E6%9B%B8-%E5%90%8C%E8%A7%A3%E8%AA%AC-%E4%BB%A4%E5%92%8C%EF%BC%97%E5%B9%B4%E6%94%B9%E8%A8%82%E7%89%88-%E2%85%B0%E5%85%B1%E9%80%9A%E7%B7%A8-ver-1-00-%E3%82%B3%E3%83%94%E3%83%BC-1,,E-book ISBN only; EVD-DS01-008; Phase 1 substructure body design OUT_OF_SCOPE
RBS-V,V,道路橋示方書・同解説 V 上下部接続部編（MLIT/FAQ/local print）; JRA product page: 上下部接続部構造編,ebook,Ver2.00,2025-12-19,978-4-88950-805-5,ebook,日本道路協会,2026-04-01,Ver2.00 plus 20260331 overlay,2026-07-27,selected_topics,ADOPTED_WITH_CONDITION,https://e-book.road.or.jp/products/%E9%81%93%E8%B7%AF%E6%A9%8B%E7%A4%BA%E6%96%B9%E6%9B%B8-%E5%90%8C%E8%A7%A3%E8%AA%AC-%E4%BB%A4%E5%92%8C%EF%BC%97%E5%B9%B4%E6%94%B9%E8%A8%82%E7%89%88-%E2%85%B0%E5%85%B1%E9%80%9A%E7%B7%A8-ver-1-00-%E3%82%B3%E3%83%94%E3%83%BC-2,,E-book ISBN only; EVD-DS01-009; title variance recorded; selected V topics only for Phase 1
ERR-20251212,,道路橋示方書・同解説 令和7年改訂版 正誤表,errata_pdf,20251212,2025-12-12,,,日本道路協会,2026-04-01,reflected in Ver2.00,2026-07-27,errata,SUPERSEDED_EQUIVALENT,https://www.road.or.jp/img/books/corrigenda/pdf/20251212.pdf,50c3a1f0ef2b05251d4791c426ac333a5e3d0bc5496995682766069f4ed23c7f,EVD-DS01-003; content reflected in Ver2.00 electronic edition; retained for audit trail
ERR-20260331,,道路橋示方書・同解説 令和7年改訂版 正誤表,errata_pdf,20260331,2026-03-31,,,日本道路協会,2026-04-01,active overlay on Ver2.00,2026-07-27,errata,ADOPTED_WITH_CONDITION,https://www.road.or.jp/img/books/corrigenda/pdf/20260331.pdf,22b8767d46041f5521820736419e5425a4d501f2698aec1cc6553f684809b4e5,EVD-DS01-004; some entries not yet reflected in electronic/paper media; adopted baseline is Ver2.00 plus this overlay as checked 2026-07-27
LOCAL-I,I,道路橋示方書・同解説 I 共通編,licensed_image_pdf,Ver2.00 history,,,print_isbn_blocked,日本道路協会,2026-04-01,Ver2.00 plus 20260331 overlay,2026-07-27,primary,ADOPTED_WITH_CONDITION,/home/masaharu/Projects/bridge-standards-research/260726_設計基準/道路橋示方書・同解説　Ⅰ　共通編.pdf,91e0e96028f057e18d768ce5f068a04853dc442b438165206a304916948f66b3,EVD-DS01-010; external licensed copy; not in repo; print ISBN BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT — human visual confirmation of colophon/奥付 ISBN required; do not infer from e-book ISBN; 20260331 overlay separate
LOCAL-II,II,道路橋示方書・同解説 II 鋼部材・鋼上部構造編,licensed_image_pdf,Ver2.00 改訂版第1刷,,978-4-88950-812-3,print,日本道路協会,2026-04-01,Ver2.00 plus 20260331 overlay,2026-07-27,primary,ADOPTED_WITH_CONDITION,/home/masaharu/Projects/bridge-standards-research/260726_設計基準/道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,EVD-DS01-011; print ISBN; external licensed copy; not in repo; clause citations require human visual confirmation; 20260331 overlay separate
LOCAL-III,III,道路橋示方書・同解説 III コンクリート部材・コンクリート上部構造編,licensed_image_pdf,Ver2.00 改訂版第1刷,,978-4-88950-813-0,print,日本道路協会,2026-04-01,Ver2.00 plus 20260331 overlay,2026-07-27,primary,ADOPTED_WITH_CONDITION,/home/masaharu/Projects/bridge-standards-research/260726_設計基準/道路橋示方書・同解説　Ⅲ　コンクリート部材・コンクリート上部構造編.pdf,5e21dcbb0729210167d2a644283d844e336e9169fe46fd3791676a0c1df1c221,EVD-DS01-012; print ISBN; external licensed copy; not in repo; clause citations require human visual confirmation; 20260331 overlay separate
LOCAL-IV,IV,道路橋示方書・同解説 IV 下部構造編,licensed_image_pdf,Ver2.00 改訂版第1刷,,978-4-88950-814-7,print,日本道路協会,2026-04-01,Ver2.00 plus 20260331 overlay,2026-07-27,reference_only,REFERENCE_ONLY,/home/masaharu/Projects/bridge-standards-research/260726_設計基準/道路橋示方書・同解説　Ⅳ　下部構造編.pdf,1eca48174656818582f28b44d1d7a1ff015dc8599424b3e1d28a7e85e3021cd6,EVD-DS01-013; print ISBN; external licensed copy; Phase 1 substructure body OUT_OF_SCOPE
LOCAL-V,V,道路橋示方書・同解説 V 上下部接続部編（local print title）,licensed_image_pdf,Ver2.00 改訂版第1刷,,978-4-88950-815-4,print,日本道路協会,2026-04-01,Ver2.00 plus 20260331 overlay,2026-07-27,selected_topics,ADOPTED_WITH_CONDITION,/home/masaharu/Projects/bridge-standards-research/260726_設計基準/道路橋示方書・同解説　Ⅴ　上下部接続部編.pdf,1f06b4b40cb7e48018c23329f75e6c6cc4c331fb21ec5f47d9c49de9372f82c0,EVD-DS01-014; print ISBN; local title 上下部接続部編; JRA product page uses 上下部接続部構造編; title variance ADOPTED_WITH_CONDITION; selected V topics only
