source_gap_id,jis_number,jis_title,edition_year,revision_status,issuing_body,material_or_product,cited_by_primary_standard,citing_volume,citing_chapter,citing_clause,citing_table,applicability,replacement_standard,equivalence_status,project_specific_override,adoption_status,evidence_location,evidence_checksum,reviewed_by,reviewed_at,notes
JIS-001,,,,,,,,,,,,"Acceptance blocked until: (a) original gap-generation provenance mapping this source_gap_id to a requirement_id and 道路橋示方書 R7 volume/chapter/clause/table locator, OR supervisor record that JIS-001..034 are synthetic placeholders requiring supersession by a new cited-JIS inventory; (b) human visual confirmation against licensed 道路橋示方書・同解説 Ver2.00 + 20260331 errata overlay; (c) JIS standard designation (number/title) and JISC official approval/establishment/status metadata for each actually cited JIS; (d) supervisor equivalence decision if cited edition differs from current JIS.",,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/handoffs/APOLLO-FRAME-HANDOFF-20260726-001/apollo_frame_team_handoff/standards/jis_source_gaps.csv (source_gap_id=JIS-001),6172927555afe28f442d6ea94c938452bceedfa6809d62d09d6e83f2afdb98fd,Codex; Grok 4.5 independent audit,2026-07-27,Historical handoff placeholder slot JIS-001 — not evidence of a distinct identified JIS (immutable jis_source_gaps.csv SHA256 6172927555afe28f442d6ea94c938452bceedfa6809d62d09d6e83f2afdb98fd). Acquisition owner EXTERNAL_JIS_RESEARCH; method licensed copies via JSA or other licensed official provider / organizational standards library — no 道示/DDB substitution per handoff interim_treatment. Non-duplication: one register row per source_gap_id; after identification duplicate jis_number values require supervisor merge before any row advances beyond BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT. Row not resolved at DS-02.
JIS-002,,,,,,,,,,,,"Acceptance blocked until: (a) original gap-generation provenance mapping this source_gap_id to a requirement_id and 道路橋示方書 R7 volume/chapter/clause/table locator, OR supervisor record that JIS-001..034 are synthetic placeholders requiring supersession by a new cited-JIS inventory; (b) human visual confirmation against licensed 道路橋示方書・同解説 Ver2.00 + 20260331 errata overlay; (c) JIS standard designation (number/title) and JISC official approval/establishment/status metadata for each actually cited JIS; (d) supervisor equivalence decision if cited edition differs from current JIS.",,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/handoffs/APOLLO-FRAME-HANDOFF-20260726-001/apollo_frame_team_handoff/standards/jis_source_gaps.csv (source_gap_id=JIS-002),6172927555afe28f442d6ea94c938452bceedfa6809d62d09d6e83f2afdb98fd,Codex; Grok 4.5 independent audit,2026-07-27,Historical handoff placeholder slot JIS-002 — not evidence of a distinct identified JIS (immutable jis_source_gaps.csv SHA256 6172927555afe28f442d6ea94c938452bceedfa6809d62d09d6e83f2afdb98fd). Acquisition owner EXTERNAL_JIS_RESEARCH; method licensed copies via JSA or other licensed official provider / organizational standards library — no 道示/DDB substitution per handoff interim_treatment. Non-duplication: one register row per source_gap_id; after identification duplicate jis_number values require supervisor merge before any row advances beyond BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT. Row not resolved at DS-02.
JIS-003,,,,,,,,,,,,"Acceptance blocked until: (a) original gap-generation provenance mapping this source_gap_id to a requirement_id and 道路橋示方書 R7 volume/chapter/clause/table locator, OR supervisor record that JIS-001..034 are synthetic placeholders requiring supersession by a new cited-JIS inventory; (b) human visual confirmation against licensed 道路橋示方書・同解説 Ver2.00 + 20260331 errata overlay; (c) JIS standard designation (number/title) and JISC official approval/establishment/status metadata for each actually cited JIS; (d) supervisor equivalence decision if cited edition differs from current JIS.",,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/handoffs/APOLLO-FRAME-HANDOFF-20260726-001/apollo_frame_team_handoff/standards/jis_source_gaps.csv (source_gap_id=JIS-003),6172927555afe28f442d6ea94c938452bceedfa6809d62d09d6e83f2afdb98fd,Codex; Grok 4.5 independent audit,2026-07-27,Historical handoff placeholder slot JIS-003 — not evidence of a distinct identified JIS (immutable jis_source_gaps.csv SHA256 6172927555afe28f442d6ea94c938452bceedfa6809d62d09d6e83f2afdb98fd). Acquisition owner EXTERNAL_JIS_RESEARCH; method licensed copies via JSA or other licensed official provider / organizational standards library — no 道示/DDB substitution per handoff interim_treatment. Non-duplication: one register row per source_gap_id; after identification duplicate jis_number values require supervisor merge before any row advances beyond BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT. Row not resolved at DS-02.
JIS-004,,,,,,,,,,,,"Acceptance blocked until: (a) original gap-generation provenance mapping this source_gap_id to a requirement_id and 道路橋示方書 R7 volume/chapter/clause/table locator, OR supervisor record that JIS-001..034 are synthetic placeholders requiring supersession by a new cited-JIS inventory; (b) human visual confirmation against licensed 道路橋示方書・同解説 Ver2.00 + 20260331 errata overlay; (c) JIS standard designation (number/title) and JISC official approval/establishment/status metadata for each actually cited JIS; (d) supervisor equivalence decision if cited edition differs from current JIS.",,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/handoffs/APOLLO-FRAME-HANDOFF-20260726-001/apollo_frame_team_handoff/standards/jis_source_gaps.csv (source_gap_id=JIS-004),6172927555afe28f442d6ea94c938452bceedfa6809d62d09d6e83f2afdb98fd,Codex; Grok 4.5 independent audit,2026-07-27,Historical handoff placeholder slot JIS-004 — not evidence of a distinct identified JIS (immutable jis_source_gaps.csv SHA256 6172927555afe28f442d6ea94c938452bceedfa6809d62d09d6e83f2afdb98fd). Acquisition owner EXTERNAL_JIS_RESEARCH; method licensed copies via JSA or other licensed official provider / organizational standards library — no 道示/DDB substitution per handoff interim_treatment. Non-duplication: one register row per source_gap_id; after identification duplicate jis_number values require supervisor merge before any row advances beyond BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT. Row not resolved at DS-02.
JIS-005,,,,,,,,,,,,"Acceptance blocked until: (a) original gap-generation provenance mapping this source_gap_id to a requirement_id and 道路橋示方書 R7 volume/chapter/clause/table locator, OR supervisor record that JIS-001..034 are synthetic placeholders requiring supersession by a new cited-JIS inventory; (b) human visual confirmation against licensed 道路橋示方書・同解説 Ver2.00 + 20260331 errata overlay; (c) JIS standard designation (number/title) and JISC official approval/establishment/status metadata for each actually cited JIS; (d) supervisor equivalence decision if cited edition differs from current JIS.",,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/handoffs/APOLLO-FRAME-HANDOFF-20260726-001/apollo_frame_team_handoff/standards/jis_source_gaps.csv (source_gap_id=JIS-005),6172927555afe28f442d6ea94c938452bceedfa6809d62d09d6e83f2afdb98fd,Codex; Grok 4.5 independent audit,2026-07-27,Historical handoff placeholder slot JIS-005 — not evidence of a distinct identified JIS (immutable jis_source_gaps.csv SHA256 6172927555afe28f442d6ea94c938452bceedfa6809d62d09d6e83f2afdb98fd). Acquisition owner EXTERNAL_JIS_RESEARCH; method licensed copies via JSA or other licensed official provider / organizational standards library — no 道示/DDB substitution per handoff interim_treatment. Non-duplication: one register row per source_gap_id; after identification duplicate jis_number values require supervisor merge before any row advances beyond BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT. Row not resolved at DS-02.
JIS-006,,,,,,,,,,,,"Acceptance blocked until: (a) original gap-generation provenance mapping this source_gap_id to a requirement_id and 道路橋示方書 R7 volume/chapter/clause/table locator, OR supervisor record that JIS-001..034 are synthetic placeholders requiring supersession by a new cited-JIS inventory; (b) human visual confirmation against licensed 道路橋示方書・同解説 Ver2.00 + 20260331 errata overlay; (c) JIS standard designation (number/title) and JISC official approval/establishment/status metadata for each actually cited JIS; (d) supervisor equivalence decision if cited edition differs from current JIS.",,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/handoffs/APOLLO-FRAME-HANDOFF-20260726-001/apollo_frame_team_handoff/standards/jis_source_gaps.csv (source_gap_id=JIS-006),6172927555afe28f442d6ea94c938452bceedfa6809d62d09d6e83f2afdb98fd,Codex; Grok 4.5 independent audit,2026-07-27,Historical handoff placeholder slot JIS-006 — not evidence of a distinct identified JIS (immutable jis_source_gaps.csv SHA256 6172927555afe28f442d6ea94c938452bceedfa6809d62d09d6e83f2afdb98fd). Acquisition owner EXTERNAL_JIS_RESEARCH; method licensed copies via JSA or other licensed official provider / organizational standards library — no 道示/DDB substitution per handoff interim_treatment. Non-duplication: one register row per source_gap_id; after identification duplicate jis_number values require supervisor merge before any row advances beyond BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT. Row not resolved at DS-02.
JIS-007,,,,,,,,,,,,"Acceptance blocked until: (a) original gap-generation provenance mapping this source_gap_id to a requirement_id and 道路橋示方書 R7 volume/chapter/clause/table locator, OR supervisor record that JIS-001..034 are synthetic placeholders requiring supersession by a new cited-JIS inventory; (b) human visual confirmation against licensed 道路橋示方書・同解説 Ver2.00 + 20260331 errata overlay; (c) JIS standard designation (number/title) and JISC official approval/establishment/status metadata for each actually cited JIS; (d) supervisor equivalence decision if cited edition differs from current JIS.",,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/handoffs/APOLLO-FRAME-HANDOFF-20260726-001/apollo_frame_team_handoff/standards/jis_source_gaps.csv (source_gap_id=JIS-007),6172927555afe28f442d6ea94c938452bceedfa6809d62d09d6e83f2afdb98fd,Codex; Grok 4.5 independent audit,2026-07-27,Historical handoff placeholder slot JIS-007 — not evidence of a distinct identified JIS (immutable jis_source_gaps.csv SHA256 6172927555afe28f442d6ea94c938452bceedfa6809d62d09d6e83f2afdb98fd). Acquisition owner EXTERNAL_JIS_RESEARCH; method licensed copies via JSA or other licensed official provider / organizational standards library — no 道示/DDB substitution per handoff interim_treatment. Non-duplication: one register row per source_gap_id; after identification duplicate jis_number values require supervisor merge before any row advances beyond BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT. Row not resolved at DS-02.
JIS-008,,,,,,,,,,,,"Acceptance blocked until: (a) original gap-generation provenance mapping this source_gap_id to a requirement_id and 道路橋示方書 R7 volume/chapter/clause/table locator, OR supervisor record that JIS-001..034 are synthetic placeholders requiring supersession by a new cited-JIS inventory; (b) human visual confirmation against licensed 道路橋示方書・同解説 Ver2.00 + 20260331 errata overlay; (c) JIS standard designation (number/title) and JISC official approval/establishment/status metadata for each actually cited JIS; (d) supervisor equivalence decision if cited edition differs from current JIS.",,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/handoffs/APOLLO-FRAME-HANDOFF-20260726-001/apollo_frame_team_handoff/standards/jis_source_gaps.csv (source_gap_id=JIS-008),6172927555afe28f442d6ea94c938452bceedfa6809d62d09d6e83f2afdb98fd,Codex; Grok 4.5 independent audit,2026-07-27,Historical handoff placeholder slot JIS-008 — not evidence of a distinct identified JIS (immutable jis_source_gaps.csv SHA256 6172927555afe28f442d6ea94c938452bceedfa6809d62d09d6e83f2afdb98fd). Acquisition owner EXTERNAL_JIS_RESEARCH; method licensed copies via JSA or other licensed official provider / organizational standards library — no 道示/DDB substitution per handoff interim_treatment. Non-duplication: one register row per source_gap_id; after identification duplicate jis_number values require supervisor merge before any row advances beyond BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT. Row not resolved at DS-02.
JIS-009,,,,,,,,,,,,"Acceptance blocked until: (a) original gap-generation provenance mapping this source_gap_id to a requirement_id and 道路橋示方書 R7 volume/chapter/clause/table locator, OR supervisor record that JIS-001..034 are synthetic placeholders requiring supersession by a new cited-JIS inventory; (b) human visual confirmation against licensed 道路橋示方書・同解説 Ver2.00 + 20260331 errata overlay; (c) JIS standard designation (number/title) and JISC official approval/establishment/status metadata for each actually cited JIS; (d) supervisor equivalence decision if cited edition differs from current JIS.",,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/handoffs/APOLLO-FRAME-HANDOFF-20260726-001/apollo_frame_team_handoff/standards/jis_source_gaps.csv (source_gap_id=JIS-009),6172927555afe28f442d6ea94c938452bceedfa6809d62d09d6e83f2afdb98fd,Codex; Grok 4.5 independent audit,2026-07-27,Historical handoff placeholder slot JIS-009 — not evidence of a distinct identified JIS (immutable jis_source_gaps.csv SHA256 6172927555afe28f442d6ea94c938452bceedfa6809d62d09d6e83f2afdb98fd). Acquisition owner EXTERNAL_JIS_RESEARCH; method licensed copies via JSA or other licensed official provider / organizational standards library — no 道示/DDB substitution per handoff interim_treatment. Non-duplication: one register row per source_gap_id; after identification duplicate jis_number values require supervisor merge before any row advances beyond BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT. Row not resolved at DS-02.
JIS-010,,,,,,,,,,,,"Acceptance blocked until: (a) original gap-generation provenance mapping this source_gap_id to a requirement_id and 道路橋示方書 R7 volume/chapter/clause/table locator, OR supervisor record that JIS-001..034 are synthetic placeholders requiring supersession by a new cited-JIS inventory; (b) human visual confirmation against licensed 道路橋示方書・同解説 Ver2.00 + 20260331 errata overlay; (c) JIS standard designation (number/title) and JISC official approval/establishment/status metadata for each actually cited JIS; (d) supervisor equivalence decision if cited edition differs from current JIS.",,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,docs/apollo/handoffs/APOLLO-FRAME-HANDOFF-20260726-001/apollo_frame_team_handoff/standards/jis_source_gaps.csv (source_gap_id=JIS-010),6172927555afe28f442d6ea94c938452bceedfa6809d62d09d6e83f2afdb98fd,Codex; Grok 4.5 independent audit,2026-07-27,Historical handoff placeholder slot JIS-010 — not evidence of a distinct identified JIS (immutable jis_source_gaps.csv SHA256 6172927555afe28f442d6ea94c938452bceedfa6809d62d09d6e83f2afdb98fd). Acquisition owner EXTERNAL_JIS_RESEARCH; method licensed copies via JSA or other licensed official provider / organizational standards library — no 道示/DDB substitution per handoff interim_treatment. Non-duplication: one register row per source_gap_id; after identification duplicate jis_number values require supervisor merge before any row advances beyond BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT. Row not resolved at DS-02.
