file_name,file_path,file_size_bytes,page_count,pdf_metadata_title,official_title,publication_date,edition,publisher,text_status,title_match_status,cover_page,toc_page_range,main_subject,review_status,notes
2021_デザインデータブック.pdf,source://bridge-standards-research/260726_設計基準/2021_デザインデータブック.pdf,80763462,306,20210500 デザインデータブック〔2021年版〕（橋建協）.xdw,デザインデータブック〔2021年版〕（'21 Design Data Book）,2021年,2021年版,一般社団法人 日本橋梁建設協会,IMAGE_SCAN,MATCH,1,5-6（画像確認）,橋梁計画・部材設計の参考データ集,PARTIALLY_REVIEWED,表紙・目次は画像確認。メタデータは変換元.xdw名。pdftotextは実質不可
20220101_合成桁の設計例と解説令和4年1月_日本橋梁建設協会.pdf,source://bridge-standards-research/260726_設計基準/20220101_合成桁の設計例と解説令和4年1月_日本橋梁建設協会.pdf,9342643,233,20220101_合成桁の設計例と解説令和4年1月_日本橋梁建設協会.xbd,合成桁の設計例と解説 ～道示 平成29年11月版対応～,令和4年1月,道示平成29年11月版対応版,一般社団法人 日本橋梁建設協会,PARTIAL_TEXT,MATCH,1,4-（画像確認・I.設計計算編）,合成桁橋の設計計算例,PARTIALLY_REVIEWED,表紙・目次は画像確認。一部ページ番号等のみテキスト抽出
20220102_令和4年1月 鋼橋構造詳細の手引き(改訂3版).pdf,source://bridge-standards-research/260726_設計基準/20220102_令和4年1月 鋼橋構造詳細の手引き(改訂3版).pdf,10814102,127,20220102_令和4年1月 鋼橋構造詳細の手引き(改訂3版).xdw,鋼橋構造詳細の手引き,令和4年1月,改訂3版,一般社団法人 日本橋梁建設協会,IMAGE_SCAN,MATCH,1,3-（画像確認・I桁編）,鋼橋の構造詳細・細部設計,PARTIALLY_REVIEWED,表紙・目次は画像確認。pdftotextは実質不可
H31道路橋支承便覧.pdf,source://bridge-standards-research/260726_設計基準/H31道路橋支承便覧.pdf,28566679,616,,道路橋支承便覧,平成30年12月,平成30年12月版（表紙）,公益社団法人 日本道路協会,IMAGE_SCAN,MINOR_DIFFERENCE,1,12-13+（画像確認）,道路橋支承部の設計・製作・維持管理,PARTIALLY_REVIEWED,ファイル名はH31だが表紙は平成30年12月。メタデータTitle空欄
R2鋼道路橋設計便覧.pdf,source://bridge-standards-research/260726_設計基準/R2鋼道路橋設計便覧.pdf,16403402,325,,鋼道路橋設計便覧,令和2年9月,令和2年版,公益社団法人 日本道路協会,IMAGE_SCAN,MATCH,1,6+（画像確認）,鋼道路橋の設計便覧,PARTIALLY_REVIEWED,表紙・目次は画像確認。メタデータTitle空欄
道路橋示方書・同解説　Ⅰ　共通編.pdf,source://bridge-standards-research/260726_設計基準/道路橋示方書・同解説　Ⅰ　共通編.pdf,201333703,388,道路橋示方書・同解説　Ⅰ　共通編.xbd,道路橋示方書・同解説　Ⅰ　共通編,令和7年10月,令和7年10月版,公益社団法人 日本道路協会,IMAGE_SCAN,MATCH,1,15-20（画像確認）,道路橋の共通設計基準・荷重・材料,PARTIALLY_REVIEWED,表紙・目次は画像確認。pdftotextは実質不可
道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,source://bridge-standards-research/260726_設計基準/道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,66301903,821,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.xdw,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編,令和7年10月,令和7年10月版,公益社団法人 日本道路協会,IMAGE_SCAN,MATCH,1,14+（画像確認）,鋼部材・鋼上部構造の設計基準,PARTIALLY_REVIEWED,表紙・目次は画像確認
道路橋示方書・同解説　Ⅲ　コンクリート部材・コンクリート上部構造編.pdf,source://bridge-standards-research/260726_設計基準/道路橋示方書・同解説　Ⅲ　コンクリート部材・コンクリート上部構造編.pdf,45896740,519,道路橋示方書・同解説　Ⅲ　コンクリート部材・コンクリート上部構造編.xdw,道路橋示方書・同解説　Ⅲ　コンクリート部材・コンクリート上部構造編,令和7年10月,令和7年10月版,公益社団法人 日本道路協会,IMAGE_SCAN,MATCH,1,14+（画像確認）,コンクリート部材・上部構造の設計基準,PARTIALLY_REVIEWED,表紙・目次は画像確認
道路橋示方書・同解説　Ⅳ　下部構造編.pdf,source://bridge-standards-research/260726_設計基準/道路橋示方書・同解説　Ⅳ　下部構造編.pdf,65235035,740,道路橋示方書・同解説　Ⅳ　下部構造編.xdw,道路橋示方書・同解説　Ⅳ　下部構造編,令和7年10月,令和7年10月版,公益社団法人 日本道路協会,IMAGE_SCAN,MATCH,1,14+（画像確認）,下部構造の設計基準,PARTIALLY_REVIEWED,表紙・目次は画像確認
道路橋示方書・同解説　Ⅴ　上下部接続部編.pdf,source://bridge-standards-research/260726_設計基準/道路橋示方書・同解説　Ⅴ　上下部接続部編.pdf,21135544,210,道路橋示方書・同解説　Ⅴ　上下部接続部編.xdw,道路橋示方書・同解説　Ⅴ　上下部接続部編,令和7年10月,令和7年10月版,公益社団法人 日本道路協会,IMAGE_SCAN,MATCH,1,14+（画像確認）,上下部接続部の設計基準,PARTIALLY_REVIEWED,表紙・目次は画像確認
