file_name,official_title,document_type,cover_date,edition_label,revision_label,colophon_publication_date,colophon_revision_date,referenced_standard_edition,pdf_version,version_status,source_format,source_format_status,errata_status,phase1_priority,phase1_reason,pages_checked,review_status,notes
道路橋示方書・同解説　Ⅰ　共通編.pdf,道路橋示方書・同解説　Ⅰ　共通編,STANDARD_COMMENTARY,令和7年10月,令和7年10月版,NOT_STATED,令和7年10月31日（Ver.1.00）,令和7年12月19日（Ver.2.00）,NOT_APPLICABLE,Ver.2.00,CONFIRMED,IMAGE_PDF_EXPORT,INFERRED,NOT_STATED,PHASE1_CORE,荷重・材料・共通設計要件の基準本文・解説。Phase1の直接根拠,1-2（表紙）; 384-388（奥付・案内）; 15-20（目次・前回）,CONFIRMED,奥付はVer履歴表形式（Ⅱ〜Ⅴと体裁が異なる）。Creator/Producer: Distiller 26.0・変換元.xbd。画像主体でテキスト抽出不可
道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編,STANDARD_COMMENTARY,令和7年10月,令和7年10月版,改訂版第1刷,令和8年1月9日,NOT_STATED,NOT_APPLICABLE,Ver.2.00,CONFIRMED,IMAGE_PDF_EXPORT,INFERRED,NOT_STATED,PHASE1_CORE,非合成鋼鈑桁の部材・上部構造照査の基準本文・解説,1-2（表紙）; 814-821（奥付・案内）,CONFIRMED,奥付p.815。ISBN 978-4-88950-812-3。電子版Ver.2.00対応明記
道路橋示方書・同解説　Ⅲ　コンクリート部材・コンクリート上部構造編.pdf,道路橋示方書・同解説　Ⅲ　コンクリート部材・コンクリート上部構造編,STANDARD_COMMENTARY,令和7年10月,令和7年10月版,改訂版第1刷,令和8年1月9日,NOT_STATED,NOT_APPLICABLE,Ver.2.00,CONFIRMED,IMAGE_PDF_EXPORT,INFERRED,NOT_STATED,PHASE1_CORE,RC床版・コンクリート部材の基準本文・解説,1（表紙）; 514-519（奥付・案内）,CONFIRMED,奥付p.514。ISBN 978-4-88950-813-0
道路橋示方書・同解説　Ⅳ　下部構造編.pdf,道路橋示方書・同解説　Ⅳ　下部構造編,STANDARD_COMMENTARY,令和7年10月,令和7年10月版,改訂版第1刷,令和8年1月9日,NOT_STATED,NOT_APPLICABLE,Ver.2.00,CONFIRMED,IMAGE_PDF_EXPORT,INFERRED,NOT_STATED,PHASE1_SUPPORT,Phase1は下部構造詳細設計の主対象外。反力・境界条件の参照用,1（表紙）; 735-740（奥付・案内）,CONFIRMED,奥付p.735。ISBN 978-4-88950-814-7
道路橋示方書・同解説　Ⅴ　上下部接続部編.pdf,道路橋示方書・同解説　Ⅴ　上下部接続部編,STANDARD_COMMENTARY,令和7年10月,令和7年10月版,改訂版第1刷,令和8年1月9日,NOT_STATED,NOT_APPLICABLE,Ver.2.00,CONFIRMED,IMAGE_PDF_EXPORT,INFERRED,NOT_STATED,PHASE1_SUPPORT,支承・上下部接続・落橋防止等。Phase1で一部参照,1-2（表紙）; 205-210（奥付・案内）,CONFIRMED,奥付p.205（初回候補p.194-196は本文）。ISBN 978-4-88950-815-4
R2鋼道路橋設計便覧.pdf,鋼道路橋設計便覧,DESIGN_MANUAL,令和2年9月,令和2年版,改訂版第11刷,令和2年10月28日,昭和55年8月20日（改訂版第1刷）,道路橋示方書 平成29年11月版,NOT_STATED,NOT_STATED,PAPER_SCAN,INFERRED,NOT_STATED,PHASE1_CORE,鋼橋設計便覧。鈑桁設計の実務照査・細目。道示と併用（H29版対応）,1（表紙）; 321-325（奥付）,PARTIALLY_CONFIRMED,表紙は令和2年9月・奥付刷次は令和2年10月28日。DocuWorks由来スキャン。ISBN 978-4-88950-286-2。対応道示は序文参照（本文未再確認）
H31道路橋支承便覧.pdf,道路橋支承便覧（平成30年改訂版）,DESIGN_MANUAL,平成30年12月,平成30年改訂版,改訂版第1刷,平成31年2月8日,平成3年7月10日（初版第1刷）,道路橋示方書 平成29年11月版,NOT_STATED,NOT_STATED,PAPER_SCAN,INFERRED,NOT_STATED,PHASE1_SUPPORT,支承選定・反力・境界条件の補助参照。Phase1の主設計根拠ではない,1（表紙）; 612-616（奥付）,PARTIALLY_CONFIRMED,ファイル名H31と表紙平成30年12月の表記差。奥付は平成31年2月8日発行。ISBN 978-4-88950-273-2
2021_デザインデータブック.pdf,デザインデータブック〔2021年版〕（'21 Design Data Book）,DESIGN_DATA_BOOK,2021年,2021年版,改訂新版,2021年5月,NOT_STATED,UNCONFIRMED,NOT_STATED,NOT_STATED,IMAGE_PDF_EXPORT,INFERRED,NOT_STATED,PHASE1_SUPPORT,標準寸法・実務データの参照。基準要求ではない,1（表紙）; 302-306（奥付）; 5-6（目次・前回）,PARTIALLY_CONFIRMED,奥付に版歴（初版1977〜改訂新版2021年5月）。変換元.xdw・Distiller。対応道示版はまえがき未確認
20220102_令和4年1月 鋼橋構造詳細の手引き(改訂3版).pdf,鋼橋構造詳細の手引き,DETAILING_GUIDE,令和4年1月,改訂3版,改訂3版,令和4年1月,平成25年6月（改訂2版）,NOT_STATED,NOT_STATED,NOT_STATED,PAPER_SCAN,INFERRED,NOT_STATED,PHASE1_SUPPORT,I桁・鋼橋詳細の実務手引き。基準の補助資料,1（表紙）; 123-127（奥付）; 3-6（目次・前回）,CONFIRMED,受領印・資料室押印あり（紙スキャン）。対応道示版の明記なし
20220101_合成桁の設計例と解説令和4年1月_日本橋梁建設協会.pdf,合成桁の設計例と解説 ～道示 平成29年11月版対応～,DESIGN_EXAMPLE,令和4年1月,道示平成29年11月版対応版,改訂（2022年1月）,2022年1月,NOT_STATED,道路橋示方書 平成29年11月版,NOT_STATED,NOT_STATED,PAPER_SCAN,INFERRED,NOT_STATED,FUTURE,合成桁橋の設計例。Phase1対象（非合成鋼鈑桁）外,1（表紙）; 229-233（奥付）,CONFIRMED,奥付に道示H29/11版対応明記。受領印あり
