evidence_id,research_result_id,handoff_id,document_id,pdf_filename,pdf_sha256,pdf_page_index,pdf_page_number,printed_page_label,image_path,image_sha256,dpi,image_type,manual_verified,notes
EVID-PKG003-001,R5B-PKG003-0001,H5A-0002,DOC-RBS-I,道路橋示方書・同解説　Ⅰ　共通編.pdf,91e0e96028f057e18d768ce5f068a04853dc442b438165206a304916948f66b3,385,386,-367-,research/stage5b/page-images/evidence/DOC-RBS-I_pdfp0386_300dpi-R5B-PKG003-0002c-386.png,c49f323459b1afdba6800e1c215a45382e1a5f163fba3fa6891d023a28500eef,300,EVIDENCE_IMAGE,YES,
EVID-PKG003-002,R5B-PKG003-0002,H5A-0075,DOC-RBS-I,道路橋示方書・同解説　Ⅰ　共通編.pdf,91e0e96028f057e18d768ce5f068a04853dc442b438165206a304916948f66b3,232,233,-213-,research/stage5b/page-images/evidence/DOC-RBS-I_pdfp0233_300dpi-R5B-PKG003-0075-233.png,6393d903a644f0ff9bde2b1142429028c3c33b8f7ce450fd12110c37f7b18659,300,EVIDENCE_IMAGE,YES,
EVID-PKG003-003,R5B-PKG003-0003,H5A-0236,DOC-RBS-I,道路橋示方書・同解説　Ⅰ　共通編.pdf,91e0e96028f057e18d768ce5f068a04853dc442b438165206a304916948f66b3,231,232,-212-,research/stage5b/page-images/evidence/DOC-RBS-I_pdfp0232_300dpi-R5B-PKG003-0236c-232.png,cc318517840b422f21e0c203d13a42a777d8d6cab52f5991ea24db092e9de54a,300,EVIDENCE_IMAGE,YES,
EVID-PKG003-004,R5B-PKG003-0004,H5A-0237,DOC-RBS-I,道路橋示方書・同解説　Ⅰ　共通編.pdf,91e0e96028f057e18d768ce5f068a04853dc442b438165206a304916948f66b3,233,234,-214-,research/stage5b/page-images/evidence/DOC-RBS-I_pdfp0234_300dpi-R5B-PKG003-0237-234.png,2e3e1d186e5fde306459403a6831328a58f2e6d8d52405d517c139e26ca154dc,300,EVIDENCE_IMAGE,YES,
EVID-PKG003-005,R5B-PKG003-0005,H5A-0238,DOC-RBS-I,道路橋示方書・同解説　Ⅰ　共通編.pdf,91e0e96028f057e18d768ce5f068a04853dc442b438165206a304916948f66b3,102,103,-83-,research/stage5b/page-images/evidence/DOC-RBS-I_pdfp0109_300dpi-R5B-PKG003-0236b-109.png,e7417d6fc92be383963c0e5f5a4dec4a7cd8fa881418e1a2c0c85eb624543ada,300,EVIDENCE_IMAGE,YES,
EVID-PKG003-006,R5B-PKG003-0006,H5A-0239,DOC-RBS-I,道路橋示方書・同解説　Ⅰ　共通編.pdf,91e0e96028f057e18d768ce5f068a04853dc442b438165206a304916948f66b3,102,103,-83-,research/stage5b/page-images/evidence/DOC-RBS-I_pdfp0109_300dpi-R5B-PKG003-0236b-109.png,e7417d6fc92be383963c0e5f5a4dec4a7cd8fa881418e1a2c0c85eb624543ada,300,EVIDENCE_IMAGE,YES,
EVID-PKG003-007,R5B-PKG003-0007,H5A-0240,DOC-RBS-I,道路橋示方書・同解説　Ⅰ　共通編.pdf,91e0e96028f057e18d768ce5f068a04853dc442b438165206a304916948f66b3,232,233,-213-,research/stage5b/page-images/evidence/DOC-RBS-I_pdfp0233_300dpi-R5B-PKG003-0075-233.png,6393d903a644f0ff9bde2b1142429028c3c33b8f7ce450fd12110c37f7b18659,300,EVIDENCE_IMAGE,YES,
EVID-PKG003-008,R5B-PKG003-0008,H5A-0241,DOC-RBS-I,道路橋示方書・同解説　Ⅰ　共通編.pdf,91e0e96028f057e18d768ce5f068a04853dc442b438165206a304916948f66b3,271,272,-253-,research/stage5b/page-images/evidence/DOC-RBS-I_pdfp0272_300dpi-R5B-PKG003-0241-272.png,b0104fa44ba519d83a499817bbb5dc444a68cba0aaf6db5c19fb3dcaf6de17fe,300,EVIDENCE_IMAGE,YES,
EVID-PKG003-009,R5B-PKG003-0009,H5A-0242,DOC-RBS-I,道路橋示方書・同解説　Ⅰ　共通編.pdf,91e0e96028f057e18d768ce5f068a04853dc442b438165206a304916948f66b3,271,272,-253-,research/stage5b/page-images/evidence/DOC-RBS-I_pdfp0272_300dpi-R5B-PKG003-0242-272.png,b0104fa44ba519d83a499817bbb5dc444a68cba0aaf6db5c19fb3dcaf6de17fe,300,EVIDENCE_IMAGE,YES,
EVID-PKG003-010,R5B-PKG003-0010,H5A-0254,DOC-RBS-I,道路橋示方書・同解説　Ⅰ　共通編.pdf,91e0e96028f057e18d768ce5f068a04853dc442b438165206a304916948f66b3,232,233,-213-,research/stage5b/page-images/evidence/DOC-RBS-I_pdfp0233_300dpi-R5B-PKG003-0075-233.png,6393d903a644f0ff9bde2b1142429028c3c33b8f7ce450fd12110c37f7b18659,300,EVIDENCE_IMAGE,YES,
EVID-PKG003-011,R5B-PKG003-0011,H5A-0255,DOC-RBS-I,道路橋示方書・同解説　Ⅰ　共通編.pdf,91e0e96028f057e18d768ce5f068a04853dc442b438165206a304916948f66b3,102,103,-83-,research/stage5b/page-images/evidence/DOC-RBS-I_pdfp0109_300dpi-R5B-PKG003-0236b-109.png,e7417d6fc92be383963c0e5f5a4dec4a7cd8fa881418e1a2c0c85eb624543ada,300,EVIDENCE_IMAGE,YES,
EVID-PKG003-012,R5B-PKG003-0012,H5A-0256,DOC-RBS-I,道路橋示方書・同解説　Ⅰ　共通編.pdf,91e0e96028f057e18d768ce5f068a04853dc442b438165206a304916948f66b3,102,103,-83-,research/stage5b/page-images/evidence/DOC-RBS-I_pdfp0109_300dpi-R5B-PKG003-0236b-109.png,e7417d6fc92be383963c0e5f5a4dec4a7cd8fa881418e1a2c0c85eb624543ada,300,EVIDENCE_IMAGE,YES,
EVID-PKG003-013,R5B-PKG003-0001,H5A-0002,DOC-RBS-I,道路橋示方書・同解説　Ⅰ　共通編.pdf,91e0e96028f057e18d768ce5f068a04853dc442b438165206a304916948f66b3,374,375,-356-,research/stage5b/page-images/evidence/DOC-RBS-I_pdfp0375_300dpi-R5B-PKG003-0002b-375.png,fab8e9d466c1667dfdde6ebc41274cf0e64bc168268c2a42834bf780e3f9da92,300,EVIDENCE_IMAGE,YES,9.3 設計計算定数
EVID-PKGPKG-013,R5B-PKG004-0001,H5A-0030,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,116,117,-88-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0117_300dpi-R5B-PKG004-0001.png,3ac7a36f8d4c62f6f21fc8161578a2cd7faf8a00675b1ede71cf62832ae2214b,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-014,R5B-PKG004-0002,H5A-0093,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,116,117,-88-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0117_300dpi-R5B-PKG004-0002.png,3ac7a36f8d4c62f6f21fc8161578a2cd7faf8a00675b1ede71cf62832ae2214b,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-015,R5B-PKG004-0003,H5A-0094,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,116,117,-88-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0117_300dpi-R5B-PKG004-0003.png,3ac7a36f8d4c62f6f21fc8161578a2cd7faf8a00675b1ede71cf62832ae2214b,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-016,R5B-PKG004-0004,H5A-0095,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,116,117,-88-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0117_300dpi-R5B-PKG004-0004.png,3ac7a36f8d4c62f6f21fc8161578a2cd7faf8a00675b1ede71cf62832ae2214b,300,EVIDENCE_IMAGE,YES,
EVID-PKGPKG-017,R5B-PKG004-0005,H5A-0096,DOC-RBS-II,道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,ac2eb2756b35271ec8f3a4300580630585d1494a5dd9e017c41b8e727ff859ca,116,117,-88-,research/stage5b/page-images/evidence/DOC-RBS-II_pdfp0117_300dpi-R5B-PKG004-0005.png,3ac7a36f8d4c62f6f21fc8161578a2cd7faf8a00675b1ede71cf62832ae2214b,300,EVIDENCE_IMAGE,YES,
