handoff_id,package_id,scope_action,handoff_status,research_result_id,linked_primary_result_id,result_relation,blocking_for_apollo_design,historical_status,target_status,notes
H5A-0002,PKG-003-RBS-I,EXTERNAL_STANDARD_LOOKUP,RESEARCHED,R5B-PKG003-0001,,,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0004,PKG-003-RBS-I,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG003-0001,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0002
H5A-0006,PKG-003-RBS-I,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG003-0001,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0002
H5A-0008,PKG-003-RBS-I,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG003-0001,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0002
H5A-0010,PKG-003-RBS-I,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG003-0001,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0002
H5A-0075,PKG-003-RBS-I,EXTERNAL_STANDARD_LOOKUP,RESEARCHED,R5B-PKG003-0002,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0236,PKG-003-RBS-I,EXTERNAL_STANDARD_LOOKUP,RESEARCHED,R5B-PKG003-0003,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0237,PKG-003-RBS-I,EXTERNAL_STANDARD_LOOKUP,RESEARCHED,R5B-PKG003-0004,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0238,PKG-003-RBS-I,EXTERNAL_STANDARD_LOOKUP,RESEARCHED,R5B-PKG003-0005,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0239,PKG-003-RBS-I,EXTERNAL_STANDARD_LOOKUP,RESEARCHED,R5B-PKG003-0006,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0240,PKG-003-RBS-I,EXTERNAL_STANDARD_LOOKUP,RESEARCHED,R5B-PKG003-0007,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0241,PKG-003-RBS-I,EXTERNAL_STANDARD_LOOKUP,RESEARCHED,R5B-PKG003-0008,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0242,PKG-003-RBS-I,EXTERNAL_STANDARD_LOOKUP,RESEARCHED,R5B-PKG003-0009,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0254,PKG-003-RBS-I,EXTERNAL_STANDARD_LOOKUP,RESEARCHED,R5B-PKG003-0010,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0255,PKG-003-RBS-I,EXTERNAL_STANDARD_LOOKUP,RESEARCHED,R5B-PKG003-0011,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0256,PKG-003-RBS-I,EXTERNAL_STANDARD_LOOKUP,RESEARCHED,R5B-PKG003-0012,,,YES,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
