research_result_id,run_id,package_id,handoff_id,linked_primary_result_id,result_relation,feature_id,manual_id,verification_question,topic,required_source_type,evidence_class,document_id,document_title,document_edition,pdf_filename,pdf_sha256,pdf_page_index,pdf_page_number,printed_page_label,chapter,section,clause,table_id,figure_id,anchor_phrase,located_text_summary,applicability_conditions,exclusions,cross_references,errata_status,historical_status,target_status,ocr_used,manual_image_verified,evidence_image_path,evidence_image_sha256,numeric_content_present,formula_present,table_present,location_status,confidence_status,supervisor_review_status,unresolved_reason,notes
R5B-PKG003-0001,LR-20260726-001,PKG-003-RBS-I,H5A-0002,,,F4-P1-007,MAN-021,APOLLOが扱う力・長さ・応力の単位系が、適用対象の道路橋示方書の表記・換算慣行と矛盾しないか確認する。,unit_system:単位系選択,RBS_COMMON,STANDARD_REQUIREMENT,DOC-RBS-I,道路橋示方書・同解説　Ⅰ　共通編,令和7年10月版 Ver.2.00（表紙・奥付確認済み・Target未選定）,道路橋示方書・同解説　Ⅰ　共通編.pdf,91e0e96028f057e18d768ce5f068a04853dc442b438165206a304916948f66b3,385,386,-367-,付録,SI単位系への換算率表,付録,換算率表,UNKNOWN,SI単位系への換算率表,付録に力(N)、応力(Pa/N/mm²)等のSI換算率表。本文・表ではkN/m²、N/mm²、kN等を使用。9.3で設計計算定数は材料特性に応じ適切設定。,設計計算に用いる単位・換算は本文規定と付録換算表に従う,APOLLO内部単位設定の適合判定は本調査対象外,9.3 設計計算に用いる定数（p356）,UNKNOWN,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,NO,YES,research/stage5b/page-images/evidence/DOC-RBS-I_pdfp0386_300dpi-R5B-PKG003-0002c-386.png,c49f323459b1afdba6800e1c215a45382e1a5f163fba3fa6891d023a28500eef,YES,YES,YES,LOCATED,HIGH,APPROVED,,証拠: 換算率表+9.3
R5B-PKG003-0002,LR-20260726-001,PKG-003-RBS-I,H5A-0075,,,F4-P2-010,MAN-006,「床版設計荷重指定」について、適用年版の道路橋示方書に定義・載荷方法・組合せ規則がどう規定されているか確認する。,slab_load_input:床版設計荷重指定,RBS_COMMON,STANDARD_REQUIREMENT,DOC-RBS-I,道路橋示方書・同解説　Ⅰ　共通編,令和7年10月版 Ver.2.00（表紙・奥付確認済み・Target未選定）,道路橋示方書・同解説　Ⅰ　共通編.pdf,91e0e96028f057e18d768ce5f068a04853dc442b438165206a304916948f66b3,232,233,-213-,8章,8.2,(4),表-8.2.1,図-8.2.1,床版及び床組を設計する場合の活荷重,8.2(4)で床版・床組設計時の活荷重（T荷重配置、群集荷重、表-8.2.1係数）を規定。組合せは3.3参照。,床版及び床組を設計する場合,数値確定・APOLLO入力値照合は対象外,3.3 作用の組合せ; 図-8.2.1 T荷重; 表-8.2.1,UNKNOWN,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,NO,YES,research/stage5b/page-images/evidence/DOC-RBS-I_pdfp0233_300dpi-R5B-PKG003-0075-233.png,6393d903a644f0ff9bde2b1142429028c3c33b8f7ce450fd12110c37f7b18659,YES,NO,YES,LOCATED,HIGH,APPROVED,,APOLLO用語「床版設計荷重指定」は道示上は8.2活荷重の床版適用規定に対応
R5B-PKG003-0003,LR-20260726-001,PKG-003-RBS-I,H5A-0236,,,F4-P5-015,MAN-005,「路面荷重」について、適用年版の道路橋示方書に定義・載荷方法・組合せ規則がどう規定されているか確認する。,live_load:路面荷重,RBS_COMMON,STANDARD_REQUIREMENT,DOC-RBS-I,道路橋示方書・同解説　Ⅰ　共通編,令和7年10月版 Ver.2.00（表紙・奥付確認済み・Target未選定）,道路橋示方書・同解説　Ⅰ　共通編.pdf,91e0e96028f057e18d768ce5f068a04853dc442b438165206a304916948f66b3,231,232,-212-,8章,8.2,(1)-(2),UNKNOWN,UNKNOWN,8.2 活荷重,8.2で活荷重（T/L荷重、A/B活荷重区分、載荷方法）を規定。3.1(1)で活荷重(L)を作用として列挙。3.3で組合せ規則。,道路橋の設計状況設定・活荷重載荷,路面荷重という単語は道示索引外。活荷重規定として所在,3.1 作用の種類; 3.3 作用の組合せ; 8.2 活荷重,UNKNOWN,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,NO,YES,research/stage5b/page-images/evidence/DOC-RBS-I_pdfp0232_300dpi-R5B-PKG003-0236c-232.png,cc318517840b422f21e0c203d13a42a777d8d6cab52f5991ea24db092e9de54a,YES,NO,NO,LOCATED,HIGH,APPROVED,,組合せ証拠はpdf109(3.3)も関連
R5B-PKG003-0004,LR-20260726-001,PKG-003-RBS-I,H5A-0237,,,F4-P5-016,MAN-005,「片持部荷重」について、適用年版の道路橋示方書に定義・載荷方法・組合せ規則がどう規定されているか確認する。,live_load:片持部荷重,RBS_COMMON,STANDARD_REQUIREMENT,DOC-RBS-I,道路橋示方書・同解説　Ⅰ　共通編,令和7年10月版 Ver.2.00（表紙・奥付確認済み・Target未選定）,道路橋示方書・同解説　Ⅰ　共通編.pdf,91e0e96028f057e18d768ce5f068a04853dc442b438165206a304916948f66b3,233,234,-214-,8章,8.2,(5)1,表-8.2.2,図-8.2.3,ゲルバー桁の片持ち部分,「片持部荷重」という用語の独立定義は未確認。8.2(5)1でゲルバー桁片持ち部の支間長Lの取り方（図-8.2.3）とL荷重適用を規定。,ゲルバー桁の片持ち・吊り出し部を含む主桁設計,一般片持床版等への直接対応は本範囲未確認（Ⅱ/Ⅲ編要確認）,図-8.2.2 L荷重; 表-8.2.2,UNKNOWN,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,NO,YES,research/stage5b/page-images/evidence/DOC-RBS-I_pdfp0234_300dpi-R5B-PKG003-0237-234.png,2e3e1d186e5fde306459403a6831328a58f2e6d8d52405d517c139e26ca154dc,YES,NO,YES,PARTIALLY_LOCATED,MEDIUM,APPROVED,CROSS_REFERENCE_NOT_YET_CHECKED,APOLLO用語と道示用語の対応は監督レビュー要
R5B-PKG003-0005,LR-20260726-001,PKG-003-RBS-I,H5A-0238,,,F4-P5-017,MAN-005,「その他面荷重」について、適用年版の道路橋示方書に定義・載荷方法・組合せ規則がどう規定されているか確認する。,arbitrary_load:その他面荷重,RBS_COMMON,STANDARD_REQUIREMENT,DOC-RBS-I,道路橋示方書・同解説　Ⅰ　共通編,令和7年10月版 Ver.2.00（表紙・奥付確認済み・Target未選定）,道路橋示方書・同解説　Ⅰ　共通編.pdf,91e0e96028f057e18d768ce5f068a04853dc442b438165206a304916948f66b3,102,103,-83-,3章,3.1,(1)22,UNKNOWN,UNKNOWN,その他,"道示は記号別作用(D,L,I等)として規定。3.1(1)に「その他」作用が列挙。APOLLOの任意面荷重用語の直接定義は未確認。",設計状況設定時の作用列挙,ユーザー定義任意荷重の載荷手順は道示Ⅰでは明示なし,3.3 作用の組合せ,UNKNOWN,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,NO,YES,research/stage5b/page-images/evidence/DOC-RBS-I_pdfp0109_300dpi-R5B-PKG003-0236b-109.png,e7417d6fc92be383963c0e5f5a4dec4a7cd8fa881418e1a2c0c85eb624543ada,NO,NO,NO,PARTIALLY_LOCATED,MEDIUM,APPROVED,NOT_FOUND_IN_SEARCHED_SCOPE,検索範囲: 道示Ⅰ 3章・8章目次・8.2
R5B-PKG003-0006,LR-20260726-001,PKG-003-RBS-I,H5A-0239,,,F4-P5-018,MAN-005,「その他線荷重」について、適用年版の道路橋示方書に定義・載荷方法・組合せ規則がどう規定されているか確認する。,arbitrary_load:その他線荷重,RBS_COMMON,STANDARD_REQUIREMENT,DOC-RBS-I,道路橋示方書・同解説　Ⅰ　共通編,令和7年10月版 Ver.2.00（表紙・奥付確認済み・Target未選定）,道路橋示方書・同解説　Ⅰ　共通編.pdf,91e0e96028f057e18d768ce5f068a04853dc442b438165206a304916948f66b3,102,103,-83-,3章,3.1,(1),UNKNOWN,UNKNOWN,作用の種類,3.1(1)で荷重・影響を記号別に列挙。線荷重という独立カテゴリ名は未確認。L荷重等の分布荷重規定は8.2参照。,設計状況の作用設定,任意線荷重の直接定義なし,8.2 活荷重,UNKNOWN,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,NO,YES,research/stage5b/page-images/evidence/DOC-RBS-I_pdfp0109_300dpi-R5B-PKG003-0236b-109.png,e7417d6fc92be383963c0e5f5a4dec4a7cd8fa881418e1a2c0c85eb624543ada,NO,NO,NO,PARTIALLY_LOCATED,MEDIUM,APPROVED,NOT_FOUND_IN_SEARCHED_SCOPE,H5A-0238と同根拠
R5B-PKG003-0007,LR-20260726-001,PKG-003-RBS-I,H5A-0240,,,F4-P5-019,MAN-005,「その他点荷重」について、適用年版の道路橋示方書に定義・載荷方法・組合せ規則がどう規定されているか確認する。,arbitrary_load:その他点荷重,RBS_COMMON,STANDARD_REQUIREMENT,DOC-RBS-I,道路橋示方書・同解説　Ⅰ　共通編,令和7年10月版 Ver.2.00（表紙・奥付確認済み・Target未選定）,道路橋示方書・同解説　Ⅰ　共通編.pdf,91e0e96028f057e18d768ce5f068a04853dc442b438165206a304916948f66b3,232,233,-213-,8章,8.2,(4)1,表-8.2.1,図-8.2.1,T荷重,集中荷重としてT荷重（図-8.2.1）の載荷位置・載荷面を8.2(4)で規定。任意点荷重用語の直接定義は未確認。,床版・床組設計時の集中荷重,任意点荷重の自由配置規定は未確認,3.3 作用の組合せ,UNKNOWN,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,NO,YES,research/stage5b/page-images/evidence/DOC-RBS-I_pdfp0233_300dpi-R5B-PKG003-0075-233.png,6393d903a644f0ff9bde2b1142429028c3c33b8f7ce450fd12110c37f7b18659,YES,NO,YES,PARTIALLY_LOCATED,MEDIUM,APPROVED,CROSS_REFERENCE_NOT_YET_CHECKED,T荷重は集中載荷の規定例
R5B-PKG003-0008,LR-20260726-001,PKG-003-RBS-I,H5A-0241,,,F4-P5-020,MAN-005,「支点沈下バネ」について、適用年版の道路橋示方書に定義・載荷方法・組合せ規則がどう規定されているか確認する。,arbitrary_load:支点沈下バネ,RBS_COMMON,STANDARD_REQUIREMENT,DOC-RBS-I,道路橋示方書・同解説　Ⅰ　共通編,令和7年10月版 Ver.2.00（表紙・奥付確認済み・Target未選定）,道路橋示方書・同解説　Ⅰ　共通編.pdf,91e0e96028f057e18d768ce5f068a04853dc442b438165206a304916948f66b3,271,272,-253-,8章,8.14,(1)-(3),UNKNOWN,UNKNOWN,支点移動の影響,「支点沈下バネ」用語は未確認。8.14で支点移動の影響(SD)と部材力算定方法を規定。バネ定数の明示規定は本頁未確認。,不静定構造・支点変位の長期影響,解析モデル上のバネ要素設定は道示外（実務判断）,3.1(14) 支点移動の影響(SD),UNKNOWN,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,NO,YES,research/stage5b/page-images/evidence/DOC-RBS-I_pdfp0272_300dpi-R5B-PKG003-0241-272.png,b0104fa44ba519d83a499817bbb5dc444a68cba0aaf6db5c19fb3dcaf6de17fe,YES,NO,NO,PARTIALLY_LOCATED,MEDIUM,APPROVED,CROSS_REFERENCE_NOT_YET_CHECKED,APOLLOバネ入力と道示SD規定の対応要レビュー
R5B-PKG003-0009,LR-20260726-001,PKG-003-RBS-I,H5A-0242,,,F4-P5-021,MAN-005,「水平荷重」について、適用年版の道路橋示方書に定義・載荷方法・組合せ規則がどう規定されているか確認する。,arbitrary_load:水平荷重,RBS_COMMON,STANDARD_REQUIREMENT,DOC-RBS-I,道路橋示方書・同解説　Ⅰ　共通編,令和7年10月版 Ver.2.00（表紙・奥付確認済み・Target未選定）,道路橋示方書・同解説　Ⅰ　共通編.pdf,91e0e96028f057e18d768ce5f068a04853dc442b438165206a304916948f66b3,271,272,-253-,8章,8.14-8.15,8.15(1),UNKNOWN,UNKNOWN,遠心荷重,水平方向荷重は3.1で遠心(CF)・制動(BK)・風(WS/WL)等として列挙。8.15で遠心荷重、8.17で風荷重を規定（本packageでは8.15頁を確認）。,曲線部・交通状況に応じた水平荷重,「水平荷重」総称の単一定義は未確認,3.1 作用の種類; 8.17 風の影響,UNKNOWN,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,NO,YES,research/stage5b/page-images/evidence/DOC-RBS-I_pdfp0272_300dpi-R5B-PKG003-0242-272.png,b0104fa44ba519d83a499817bbb5dc444a68cba0aaf6db5c19fb3dcaf6de17fe,YES,NO,NO,PARTIALLY_LOCATED,MEDIUM,APPROVED,CROSS_REFERENCE_NOT_YET_CHECKED,風荷重詳細は8.17（別頁）要参照
R5B-PKG003-0010,LR-20260726-001,PKG-003-RBS-I,H5A-0254,,,F4-P5-034,MULTI,「point_load (covered under arbitrary_load)」について、適用年版の道路橋示方書に定義・載荷方法・組合せ規則がどう規定されているか確認する。,point_load:point_load (covered under arbitrary_load),RBS_COMMON,STANDARD_REQUIREMENT,DOC-RBS-I,道路橋示方書・同解説　Ⅰ　共通編,令和7年10月版 Ver.2.00（表紙・奥付確認済み・Target未選定）,道路橋示方書・同解説　Ⅰ　共通編.pdf,91e0e96028f057e18d768ce5f068a04853dc442b438165206a304916948f66b3,232,233,-213-,8章,8.2,(4)1,表-8.2.1,図-8.2.1,T荷重,H5A-0240と同根拠。集中荷重(T荷重)規定が該当候補。,床版・床組の集中荷重,任意点荷重の自由定義は未確認,R5B-PKG003-0007,UNKNOWN,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,NO,YES,research/stage5b/page-images/evidence/DOC-RBS-I_pdfp0233_300dpi-R5B-PKG003-0075-233.png,6393d903a644f0ff9bde2b1142429028c3c33b8f7ce450fd12110c37f7b18659,YES,NO,YES,PARTIALLY_LOCATED,MEDIUM,APPROVED,CROSS_REFERENCE_NOT_YET_CHECKED,0240と同一候補頁
