case_id,quantity_id,entity_type,entity_id,component,member_end,unit,expected_value,derivation_formula,derivation_checksum,coordinate_system,sign_convention,member_end_convention,absolute_tolerance,relative_tolerance,zero_threshold,comparison_rule,approval_status
AG-ASYM-RC,M_AT_LOAD,equilibrium_check,LOAD_POINT,mz,,kN_m,16,P*a*(L-a)/L,82ae9ac0fc6014c356faa20d80801dcc67783a893b579685df98094b9e435901,Global X from left to right support,Downward load -P; reactions positive upward,Support nodes N_LEFT and N_RIGHT,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)",TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-ASYM-RC,N_LEFT_FY,node_reaction,N_LEFT,fy,,kN,8,P*(L-a)/L,4f8fda43c5ed80262f5ac8ee18f40e391a05e95b416e2f70ff6c342f71fe8b79,Global X from left to right support,Downward load -P; reactions positive upward,Support nodes N_LEFT and N_RIGHT,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)",TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-ASYM-RC,N_RIGHT_FY,node_reaction,N_RIGHT,fy,,kN,4,P*a/L,ffa8f1eabe164af713b37b17814d1052f1cfe9e43f1872bce3cb9a2b1515f0fa,Global X from left to right support,Downward load -P; reactions positive upward,Support nodes N_LEFT and N_RIGHT,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)",TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-AXIAL,N1_FX,node_reaction,N1,fx,,kN,-50,-F,3fda74c9f600b3ccfa445a9a0555aaaf07ebe11c08aab314463a4c5c33fa62e1,Global X along bar axis,Positive axial force is tension; elongation positive in +X; fixed-end reaction opposes applied end force,I at N1 fixed end; J at N2 loaded end,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)",TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-AXIAL,N2_UX,node_displacement,N2,ux,,m,0.00004878048780487804878048780487804878048780487804878,F*L/(E*A),7cd69cf19c33bc1b27e8e514a89a3e73ed0c0652e2e610834c1c2c81e2cd0251,Global X along bar axis,Positive axial force is tension; elongation positive in +X; fixed-end reaction opposes applied end force,I at N1 fixed end; J at N2 loaded end,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)",TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-CANT-P,N1_FY,node_reaction,N1,fy,,kN,10,P,a7cc6ed2354d5a1cdc1617cdbea7470199ece00d7503e143f76771abe3203a05,Global X along member axis; local Y weak axis; displacements in global Y,Positive load acts in +Y; downward load is -P; positive reaction opposes load,I at fixed end N1; J at free end N2,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)",TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-CANT-P,N1_MZ,node_reaction,N1,mz,,kN_m,40,P*L,201c128eebc8baa7af73cfa66f9453c98b0a3d06838bb333128b83ea7d2755e0,Global X along member axis; local Y weak axis; displacements in global Y,Positive load acts in +Y; downward load is -P; positive reaction opposes load,I at fixed end N1; J at free end N2,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)",TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-CANT-P,N2_RZ,node_displacement,N2,rz,,rad,-0.0039024390243902439024390243902439024390243902439024,-P*L^2/(2*E*I),089563a5cc6d53c664630a9a9910203f4a80543d47915be0fba1b16bd2aa6cfd,Global X along member axis; local Y weak axis; displacements in global Y,Positive load acts in +Y; downward load is -P; positive reaction opposes load,I at fixed end N1; J at free end N2,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)",TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-CANT-P,N2_UY,node_displacement,N2,uy,,m,-0.010406504065040650406504065040650406504065040650407,-P*L^3/(3*E*I),345b37f47b891d8623e819ffd72072ae17adb32793e3297c89599f0cf6cb8a15,Global X along member axis; local Y weak axis; displacements in global Y,Positive load acts in +Y; downward load is -P; positive reaction opposes load,I at fixed end N1; J at free end N2,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)",TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-LC-LIN,COMB_FY,load_combination,COMBINED,fy,,kN,13,f1*q1+f2*q2,177bee2785246ba3ad6c41e41b1513fd002146d083af5a7dffa66cc7b50a723e,Scalar reaction combination without spatial DOF,Positive reaction upward; combination is linear superposition,NOT_APPLICABLE,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)",TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-SS-CL,M1_MZ_I,member_section_result,M1,mz,I,kN_m,0,0,2f37e7a5250909a0f6f7ea210dc2f44fa29c29daf1d22e518efec0d89d06e0b8,Global X along member axis; local Y weak axis; displacements in global Y,Section bending moment sagging positive; distinct from FE nodal end-action vector convention.,Members M1 (N1-N2) and M2 (N2-N3); I-J follows increasing X,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)",TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-SS-CL,M1_MZ_J,member_section_result,M1,mz,J,kN_m,10,P*L/4,662608f6c228d6867c0456b505b200627aa634ae4e42f9e176d2b0ad99fe0bf7,Global X along member axis; local Y weak axis; displacements in global Y,Section bending moment sagging positive; distinct from FE nodal end-action vector convention.,Members M1 (N1-N2) and M2 (N2-N3); I-J follows increasing X,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)",TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-SS-CL,M2_MZ_I,member_section_result,M2,mz,I,kN_m,10,P*L/4,011ae142e4eeda11289fce180b4176479242f6ad7e2b8dade4b835e793b9bbd3,Global X along member axis; local Y weak axis; displacements in global Y,Section bending moment sagging positive; distinct from FE nodal end-action vector convention.,Members M1 (N1-N2) and M2 (N2-N3); I-J follows increasing X,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)",TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-SS-CL,M2_MZ_J,member_section_result,M2,mz,J,kN_m,0,0,bdff5fc447df1bbd5000f290b533a61e0a595677f77893d35bc8788a35df0d55,Global X along member axis; local Y weak axis; displacements in global Y,Section bending moment sagging positive; distinct from FE nodal end-action vector convention.,Members M1 (N1-N2) and M2 (N2-N3); I-J follows increasing X,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)",TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-SS-CL,N1_FY,node_reaction,N1,fy,,kN,5,P/2,2f40d48055b366e4d1a69c8d04e06d7973709d83c0cd523fa10fe8925ce5df2f,Global X along member axis; local Y weak axis; displacements in global Y,Positive load acts in +Y; downward load is -P; reactions positive upward,Members M1 (N1-N2) and M2 (N2-N3); I-J follows increasing X,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)",TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-SS-CL,N2_UY,node_displacement,N2,uy,,m,-0.00065040650406504065040650406504065040650406504065041,-P*L^3/(48*E*I),cb40ed67ed9e9c8630476e6075d3a2c36d225137edb46191a48afc9200116874,Global X along member axis; local Y weak axis; displacements in global Y,Positive load acts in +Y; downward load is -P; reactions positive upward,Members M1 (N1-N2) and M2 (N2-N3); I-J follows increasing X,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)",TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-SS-CL,N3_FY,node_reaction,N3,fy,,kN,5,P/2,5a05d98eac7b9177f743a14d2848c4e99eb51a7e075f8de811909ea61d56703c,Global X along member axis; local Y weak axis; displacements in global Y,Positive load acts in +Y; downward load is -P; reactions positive upward,Members M1 (N1-N2) and M2 (N2-N3); I-J follows increasing X,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)",TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-SS-UDL,M1_MZ_I,member_section_result,M1,mz,I,kN_m,0,0,7d530e1dab91617dd02cc6beabb439f1c0133e515e61ac3d334e796718eb4d3e,Global X along member axis; local member Y for distributed load,Section bending moment sagging positive; distinct from FE nodal end-action vector convention.,Members M1 and M2; I-J follows increasing X,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)",TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-SS-UDL,M1_MZ_J,member_section_result,M1,mz,J,kN_m,4,w*L^2/8,e3677e9bb6d52510598395cf6308370459f475f7373a36a07a40ff62bceb3a03,Global X along member axis; local member Y for distributed load,Section bending moment sagging positive; distinct from FE nodal end-action vector convention.,Members M1 and M2; I-J follows increasing X,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)",TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-SS-UDL,M2_MZ_I,member_section_result,M2,mz,I,kN_m,4,w*L^2/8,e368e81d22463df9264cc6b7030cdbc516041783f41747f2998c5673bf692b7d,Global X along member axis; local member Y for distributed load,Section bending moment sagging positive; distinct from FE nodal end-action vector convention.,Members M1 and M2; I-J follows increasing X,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)",TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-SS-UDL,M2_MZ_J,member_section_result,M2,mz,J,kN_m,0,0,dbc4f9566b7ad77f7884b0876c2704c29d294fa8f9b6c9cf4c2de211bcda0e3a,Global X along member axis; local member Y for distributed load,Section bending moment sagging positive; distinct from FE nodal end-action vector convention.,Members M1 and M2; I-J follows increasing X,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)",TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-SS-UDL,N1_FY,node_reaction,N1,fy,,kN,4,w*L/2,e23c35809e049aca0a448bb263a2338dca36177b97d8dbf3801d751fc0288c9d,Global X along member axis; local member Y for distributed load,Positive distributed load in +Y; applied load is -w; reactions positive upward,Members M1 and M2; I-J follows increasing X,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)",TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-SS-UDL,N2_UY,node_displacement,N2,uy,,m,-0.0003252032520325203252032520325203252032520325203252,-5*w*L^4/(384*E*I),e9c8a8390d897bb97a07255c6227f9caebd6ff47d375e6edc7150260789508f5,Global X along member axis; local member Y for distributed load,Positive distributed load in +Y; applied load is -w; reactions positive upward,Members M1 and M2; I-J follows increasing X,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)",TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-SS-UDL,N3_FY,node_reaction,N3,fy,,kN,4,w*L/2,f6bfcfd755663be29a856a5f52d53e9b0d4cc56f78349100523318e4d5a0e27d,Global X along member axis; local member Y for distributed load,Positive distributed load in +Y; applied load is -w; reactions positive upward,Members M1 and M2; I-J follows increasing X,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)",TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-TORSION,N1_MX,node_reaction,N1,mx,,kN_m,-5,-T,2a636af584ee5e86a5bad02a0e417511ef6a21edc5fe6bf28bcb1d1307383602,Global X along member axis; rotation rx about X,Positive torque about +X; fixed-end reaction torque opposes applied end torque,I at N1 fixed end; J at N2 free end,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)",TOOLING_REVIEWED_NOT_GOLD_APPROVED
AG-TORSION,N2_RX,node_displacement,N2,rx,,rad,0.0050731707317073170731707317073170731707317073170732,T*L/(G*J),43e71ff886a4ecdaf3bba2b4ff539a30400ca5ed0f4ca6a8c6cb4d9d4ba8de0c,Global X along member axis; rotation rx about X,Positive torque about +X; fixed-end reaction torque opposes applied end torque,I at N1 fixed end; J at N2 free end,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)",TOOLING_REVIEWED_NOT_GOLD_APPROVED
