trace_id,ea_stage,deliverable_path,checkpoint_sha,linked_blocker_ids,linked_control_ids,enablement_verdict,closure_verdict,canonical_register_path,status_note
ETM-001,EA-00,docs/apollo/evidence-collection/00_inventory/current_blocker_snapshot.csv,fa3c9d0afe5a59860a2bc28c740c3466b464279e,BLK-S1-001;BLK-S1-002;BLK-S1-003;BLK-S1-004;BLK-S1-005;BLK-S1-006;BLK-S1-007;BLK-S1-008;BLK-S1-009;DTR-06;PKG-R7-V;PKG-DS03;PKG-DS04;PKG-SCOPE-P1B;BLK-S1-011;PKG-DS06;AN-BLK-001;AN-BLK-002;AN-BLK-003;AN-BLK-004;AN-BLK-005;AN-BLK-006;AN-BLK-007;AN-BLK-008;AN-BLK-009;AN-BLK-010;GOLD-BLK-001;GOLD-BLK-002;GOLD-BLK-003;GOLD-BLK-004;GOLD-BLK-005;GOLD-BLK-006;GOLD-BLK-007;GOLD-BLK-008;PAR-BLK-001;PAR-BLK-002;PAR-BLK-003;PAR-BLK-004;PAR-BLK-005;PAR-BLK-006;PAR-BLK-007;PAR-BLK-008;EXT-ID-001;EXT-ID-002;EXT-ID-003;GOLD-001;GOLD-002;GOLD-003;GOLD-004;GOLD-005;GOLD-006;GOLD-007;GOLD-008;GOLD-009;GOLD-010;GOLD-011;GOLD-012;GOLD-013;GOLD-014;GOLD-015;GOLD-016;PAR-001;PAR-002;PAR-003;PAR-004;PAR-005;PAR-006;PAR-007;PAR-008;PAR-009;PAR-010;PAR-011;PAR-012;PAR-013;PAR-014;PAR-015,,COMPLETE,BLOCKED,docs/apollo/evidence-collection/00_inventory/current_blocker_snapshot.csv,76-row snapshot; 0 resolved
ETM-002,EA-00,docs/apollo/evidence-collection/00_inventory/blocker_reconciliation_report.md,fa3c9d0afe5a59860a2bc28c740c3466b464279e,BLK-S1-001;BLK-S1-002;BLK-S1-003;BLK-S1-004;BLK-S1-005;BLK-S1-006;BLK-S1-007;BLK-S1-008;BLK-S1-009;DTR-06;PKG-R7-V;PKG-DS03;PKG-DS04;PKG-SCOPE-P1B;BLK-S1-011;PKG-DS06;AN-BLK-001;AN-BLK-002;AN-BLK-003;AN-BLK-004;AN-BLK-005;AN-BLK-006;AN-BLK-007;AN-BLK-008;AN-BLK-009;AN-BLK-010;GOLD-BLK-001;GOLD-BLK-002;GOLD-BLK-003;GOLD-BLK-004;GOLD-BLK-005;GOLD-BLK-006;GOLD-BLK-007;GOLD-BLK-008;PAR-BLK-001;PAR-BLK-002;PAR-BLK-003;PAR-BLK-004;PAR-BLK-005;PAR-BLK-006;PAR-BLK-007;PAR-BLK-008;EXT-ID-001;EXT-ID-002;EXT-ID-003;GOLD-001;GOLD-002;GOLD-003;GOLD-004;GOLD-005;GOLD-006;GOLD-007;GOLD-008;GOLD-009;GOLD-010;GOLD-011;GOLD-012;GOLD-013;GOLD-014;GOLD-015;GOLD-016;PAR-001;PAR-002;PAR-003;PAR-004;PAR-005;PAR-006;PAR-007;PAR-008;PAR-009;PAR-010;PAR-011;PAR-012;PAR-013;PAR-014;PAR-015,,COMPLETE,BLOCKED,docs/apollo/evidence-collection/00_inventory/current_blocker_snapshot.csv,Reconciled with final_report.txt qualified
ETM-003,EA-00,docs/apollo/evidence-collection/00_inventory/executable_work_items.csv,fa3c9d0afe5a59860a2bc28c740c3466b464279e,PAR-BLK-006;GOLD-BLK-001;GOLD-BLK-002;GOLD-BLK-004;GOLD-BLK-006;BLK-S1-006;BLK-S1-002;BLK-S1-005;BLK-S1-004;PKG-SCOPE-P1B;EXT-ID-001;EXT-ID-002;EXT-ID-003;AN-BLK-002;AN-BLK-008;GOLD-BLK-003;GOLD-BLK-005;GOLD-BLK-007;GOLD-BLK-008;PAR-BLK-005,WI-001;WI-002;WI-003;WI-004;WI-005;WI-006;WI-007;WI-008;WI-009;WI-010;WI-011;WI-012;WI-013;WI-014;WI-015;WI-016;WI-017;WI-018;WI-019;WI-020,COMPLETE,PARTIAL,docs/apollo/evidence-collection/00_inventory/executable_work_items.csv,Enablement work items; closure external
ETM-004,EA-00,docs/apollo/evidence-collection/00_inventory/evidence_acquisition_sequence.md,fa3c9d0afe5a59860a2bc28c740c3466b464279e,BLK-S1-001;BLK-S1-002;BLK-S1-003;BLK-S1-004;BLK-S1-005;BLK-S1-006;BLK-S1-007;BLK-S1-008;BLK-S1-009;DTR-06;PKG-R7-V;PKG-DS03;PKG-DS04;PKG-SCOPE-P1B;BLK-S1-011;PKG-DS06;AN-BLK-001;AN-BLK-002;AN-BLK-003;AN-BLK-004;AN-BLK-005;AN-BLK-006;AN-BLK-007;AN-BLK-008;AN-BLK-009;AN-BLK-010;GOLD-BLK-001;GOLD-BLK-002;GOLD-BLK-003;GOLD-BLK-004;GOLD-BLK-005;GOLD-BLK-006;GOLD-BLK-007;GOLD-BLK-008;PAR-BLK-001;PAR-BLK-002;PAR-BLK-003;PAR-BLK-004;PAR-BLK-005;PAR-BLK-006;PAR-BLK-007;PAR-BLK-008;EXT-ID-001;EXT-ID-002;EXT-ID-003;GOLD-001;GOLD-002;GOLD-003;GOLD-004;GOLD-005;GOLD-006;GOLD-007;GOLD-008;GOLD-009;GOLD-010;GOLD-011;GOLD-012;GOLD-013;GOLD-014;GOLD-015;GOLD-016;PAR-001;PAR-002;PAR-003;PAR-004;PAR-005;PAR-006;PAR-007;PAR-008;PAR-009;PAR-010;PAR-011;PAR-012;PAR-013;PAR-014;PAR-015,STAGE-00;STAGE-01;STAGE-02;STAGE-03;STAGE-04;STAGE-05,COMPLETE,BLOCKED,docs/apollo/evidence-collection/00_inventory/current_blocker_snapshot.csv,Staged acquisition order
ETM-005,EA-01,docs/apollo/evidence-collection/01_harness/evidence_harness_spec.md,46f11c139df5ab0c8184e11e36eae22c2eaa4e19,AN-BLK-002;AN-BLK-006;AN-BLK-007;AN-BLK-008,,COMPLETE,BLOCKED,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv,Harness tooling; 200 tests PASS
ETM-006,EA-01,docs/apollo/evidence-collection/01_harness/harness_validation_report.md,60b44f3f2605a4d5b62cd93cf9e4a6727192d339,AN-BLK-001;AN-BLK-002;AN-BLK-003;AN-BLK-004;AN-BLK-005;AN-BLK-006;AN-BLK-007;AN-BLK-008;AN-BLK-009;AN-BLK-010,,COMPLETE,BLOCKED,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv,Adversarial audit repairs closed
ETM-007,EA-02,docs/apollo/evidence-collection/02_analytical_golden/analytical_golden_review.md,f3945c7a47318c2c4ed45de2a4936b64917d09e9,GOLD-BLK-001;GOLD-BLK-002;GOLD-001;GOLD-002;GOLD-003;GOLD-004;GOLD-005,,COMPLETE,TOOLING_REVIEWED_NOT_GOLD_APPROVED,docs/apollo/design-standards/07_golden/golden_blocker_register.csv,Tolerance freeze 4dd51a92
ETM-008,EA-02,docs/apollo/evidence-collection/02_analytical_golden/tolerance_freeze_register.csv,f3945c7a47318c2c4ed45de2a4936b64917d09e9,GOLD-BLK-002,,COMPLETE,BLOCKED,docs/apollo/design-standards/07_golden/golden_blocker_register.csv,Frozen before comparison
ETM-009,EA-03,docs/apollo/evidence-collection/03_external_run_package/external_run_package_review.md,c8d601e8593069e9f28341e34c3d654f084ef2c4,AN-BLK-001;AN-BLK-002;AN-BLK-003;AN-BLK-004;AN-BLK-005;AN-BLK-006;AN-BLK-007;AN-BLK-008;AN-BLK-009;AN-BLK-010;EXT-ID-001;EXT-ID-002;EXT-ID-003,,COMPLETE,BLOCKED,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv,TOOLING_COMPLETE_NOT_MACHINE_EVIDENCE
ETM-010,EA-03,docs/apollo/evidence-collection/03_external_run_package/execution_runbook.md,c8d601e8593069e9f28341e34c3d654f084ef2c4,AN-BLK-002;AN-BLK-003;AN-BLK-004;AN-BLK-005;AN-BLK-006;AN-BLK-007;AN-BLK-008;AN-BLK-009;AN-BLK-010,,COMPLETE,BLOCKED,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv,No Analyzer in PATH at preflight
