gap_id,feature_id,requirement_id,topic,required_jis_family,required_product_or_material,known_reference,missing_primary_source,reason_source_is_required,design_freeze_blocking,interim_treatment,owner,priority,notes
JIS-001,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,UNKNOWN,UNKNOWN,JIS原本不在。道示等で代用しない。,JIS primary source not in handoff package,BLOCKED_BY_SOURCE_GAP,YES,HOLD — do not invent from secondary sources,EXTERNAL_JIS_RESEARCH,P0,"Accepted as managed gap, not Stage5 failure"
JIS-002,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,UNKNOWN,UNKNOWN,JIS原本不在。道示等で代用しない。,JIS primary source not in handoff package,BLOCKED_BY_SOURCE_GAP,YES,HOLD — do not invent from secondary sources,EXTERNAL_JIS_RESEARCH,P0,"Accepted as managed gap, not Stage5 failure"
JIS-003,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,UNKNOWN,UNKNOWN,JIS原本不在。道示等で代用しない。,JIS primary source not in handoff package,BLOCKED_BY_SOURCE_GAP,YES,HOLD — do not invent from secondary sources,EXTERNAL_JIS_RESEARCH,P0,"Accepted as managed gap, not Stage5 failure"
JIS-004,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,UNKNOWN,UNKNOWN,JIS原本不在。道示等で代用しない。,JIS primary source not in handoff package,BLOCKED_BY_SOURCE_GAP,YES,HOLD — do not invent from secondary sources,EXTERNAL_JIS_RESEARCH,P0,"Accepted as managed gap, not Stage5 failure"
JIS-005,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,UNKNOWN,UNKNOWN,JIS原本不在。道示等で代用しない。,JIS primary source not in handoff package,BLOCKED_BY_SOURCE_GAP,YES,HOLD — do not invent from secondary sources,EXTERNAL_JIS_RESEARCH,P0,"Accepted as managed gap, not Stage5 failure"
JIS-006,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,UNKNOWN,UNKNOWN,JIS原本不在。道示等で代用しない。,JIS primary source not in handoff package,BLOCKED_BY_SOURCE_GAP,YES,HOLD — do not invent from secondary sources,EXTERNAL_JIS_RESEARCH,P0,"Accepted as managed gap, not Stage5 failure"
JIS-007,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,UNKNOWN,UNKNOWN,JIS原本不在。道示等で代用しない。,JIS primary source not in handoff package,BLOCKED_BY_SOURCE_GAP,YES,HOLD — do not invent from secondary sources,EXTERNAL_JIS_RESEARCH,P0,"Accepted as managed gap, not Stage5 failure"
JIS-008,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,UNKNOWN,UNKNOWN,JIS原本不在。道示等で代用しない。,JIS primary source not in handoff package,BLOCKED_BY_SOURCE_GAP,YES,HOLD — do not invent from secondary sources,EXTERNAL_JIS_RESEARCH,P0,"Accepted as managed gap, not Stage5 failure"
JIS-009,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,UNKNOWN,UNKNOWN,JIS原本不在。道示等で代用しない。,JIS primary source not in handoff package,BLOCKED_BY_SOURCE_GAP,YES,HOLD — do not invent from secondary sources,EXTERNAL_JIS_RESEARCH,P0,"Accepted as managed gap, not Stage5 failure"
JIS-010,UNKNOWN,,BLOCKED_BY_SOURCE_GAP,UNKNOWN,UNKNOWN,JIS原本不在。道示等で代用しない。,JIS primary source not in handoff package,BLOCKED_BY_SOURCE_GAP,YES,HOLD — do not invent from secondary sources,EXTERNAL_JIS_RESEARCH,P0,"Accepted as managed gap, not Stage5 failure"
