unknown_id,feature_id,original_reason,candidate_manual_id,candidate_page,additional_evidence,external_lookup_needed,resolution_status,design_freeze_blocking,grok_review_status,notes
UNK-001,F4-P4-034,Stage4で当該カテゴリの明示記述が不足,UNKNOWN,NONE,NONE,UNDECIDED,REMAINS_UNKNOWN,UNDECIDED,ACCEPTED_AS_UNKNOWN,Stage5A UNKNOWN retained; package backlog UNKNOWN_NEEDS_REVIEW tracked separately in open/backlog
UNK-002,F4-P4-035,Stage4で当該カテゴリの明示記述が不足,UNKNOWN,NONE,NONE,UNDECIDED,REMAINS_UNKNOWN,UNDECIDED,ACCEPTED_AS_UNKNOWN,Stage5A UNKNOWN retained; package backlog UNKNOWN_NEEDS_REVIEW tracked separately in open/backlog
UNK-003,F4-P4-036,Stage4で当該カテゴリの明示記述が不足,UNKNOWN,NONE,NONE,UNDECIDED,REMAINS_UNKNOWN,UNDECIDED,ACCEPTED_AS_UNKNOWN,Stage5A UNKNOWN retained; package backlog UNKNOWN_NEEDS_REVIEW tracked separately in open/backlog
UNK-004,F4-P4-037,Stage4で当該カテゴリの明示記述が不足,UNKNOWN,NONE,NONE,UNDECIDED,REMAINS_UNKNOWN,UNDECIDED,ACCEPTED_AS_UNKNOWN,Stage5A UNKNOWN retained; package backlog UNKNOWN_NEEDS_REVIEW tracked separately in open/backlog
UNK-005,F4-P4-038,Stage4で当該カテゴリの明示記述が不足,UNKNOWN,NONE,NONE,UNDECIDED,REMAINS_UNKNOWN,UNDECIDED,ACCEPTED_AS_UNKNOWN,Stage5A UNKNOWN retained; package backlog UNKNOWN_NEEDS_REVIEW tracked separately in open/backlog
UNK-006,F4-P4-039,Stage4で当該カテゴリの明示記述が不足,UNKNOWN,NONE,NONE,UNDECIDED,REMAINS_UNKNOWN,UNDECIDED,ACCEPTED_AS_UNKNOWN,Stage5A UNKNOWN retained; package backlog UNKNOWN_NEEDS_REVIEW tracked separately in open/backlog
UNK-007,F4-P4-040,Stage4で当該カテゴリの明示記述が不足,UNKNOWN,NONE,NONE,UNDECIDED,REMAINS_UNKNOWN,UNDECIDED,ACCEPTED_AS_UNKNOWN,Stage5A UNKNOWN retained; package backlog UNKNOWN_NEEDS_REVIEW tracked separately in open/backlog
UNK-008,F4-P5-033,Stage4で当該カテゴリの明示記述が不足,UNKNOWN,NONE,NONE,UNDECIDED,REMAINS_UNKNOWN,UNDECIDED,ACCEPTED_AS_UNKNOWN,Stage5A UNKNOWN retained; package backlog UNKNOWN_NEEDS_REVIEW tracked separately in open/backlog
UNK-009,F4-P5-037,Stage4で当該カテゴリの明示記述が不足,UNKNOWN,NONE,NONE,UNDECIDED,REMAINS_UNKNOWN,UNDECIDED,ACCEPTED_AS_UNKNOWN,Stage5A UNKNOWN retained; package backlog UNKNOWN_NEEDS_REVIEW tracked separately in open/backlog
UNK-010,F4-P5-038,Stage4で当該カテゴリの明示記述が不足,UNKNOWN,NONE,NONE,UNDECIDED,REMAINS_UNKNOWN,UNDECIDED,ACCEPTED_AS_UNKNOWN,Stage5A UNKNOWN retained; package backlog UNKNOWN_NEEDS_REVIEW tracked separately in open/backlog
UNK-011,F4-P5-046,Stage4で当該カテゴリの明示記述が不足,UNKNOWN,NONE,NONE,UNDECIDED,REMAINS_UNKNOWN,UNDECIDED,ACCEPTED_AS_UNKNOWN,Stage5A UNKNOWN retained; package backlog UNKNOWN_NEEDS_REVIEW tracked separately in open/backlog
UNK-012,F4-P5-047,Stage4で当該カテゴリの明示記述が不足,UNKNOWN,NONE,NONE,UNDECIDED,REMAINS_UNKNOWN,UNDECIDED,ACCEPTED_AS_UNKNOWN,Stage5A UNKNOWN retained; package backlog UNKNOWN_NEEDS_REVIEW tracked separately in open/backlog
UNK-013,F4-P5-048,Stage4で当該カテゴリの明示記述が不足,UNKNOWN,NONE,NONE,UNDECIDED,REMAINS_UNKNOWN,UNDECIDED,ACCEPTED_AS_UNKNOWN,Stage5A UNKNOWN retained; package backlog UNKNOWN_NEEDS_REVIEW tracked separately in open/backlog
UNK-014,F4-P5-050,Stage4で当該カテゴリの明示記述が不足,UNKNOWN,NONE,NONE,UNDECIDED,REMAINS_UNKNOWN,UNDECIDED,ACCEPTED_AS_UNKNOWN,Stage5A UNKNOWN retained; package backlog UNKNOWN_NEEDS_REVIEW tracked separately in open/backlog
UNK-015,F4-P5-051,Stage4で当該カテゴリの明示記述が不足,UNKNOWN,NONE,NONE,UNDECIDED,REMAINS_UNKNOWN,UNDECIDED,ACCEPTED_AS_UNKNOWN,Stage5A UNKNOWN retained; package backlog UNKNOWN_NEEDS_REVIEW tracked separately in open/backlog
