control_id,screen_id,label,test_id,html_type,input_mode,value_type,commit_trigger,validation_trigger,drawer_or_inline,ime_relevant,save_reload_relevant,enabled_condition,source_file,status,notes
AUI-C-0001,SCR-04,Project name,project-name-input,CompositionAwareInput,text,string,blur/blur,onValueChange,inline,YES,YES,always,ApolloPhase1Shell.tsx:1663,NOT_VERIFIED,"data-testid=apollo-project-name-input"
AUI-C-0002,SCR-04,Project description,project-description-input,CompositionAwareTextarea,text,string,blur/blur,onValueChange,inline,YES,YES,always,ApolloPhase1Shell.tsx:1674,NOT_VERIFIED,"data-testid=apollo-project-description-input"
AUI-C-0003,SCR-04,Bridge system select,bridge-system-select,select,select,enum,change,change,inline,NO,YES,always,BridgeStructureInputPanel.tsx:458,NOT_VERIFIED,"data-testid=apollo-bridge-system-select; SIMPLE_SINGLE/CONTINUOUS"
AUI-C-0004,SCR-04,Span length input,bridge-input-spanLength,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,inline,YES,YES,!isContinuous,BridgeStructureInputPanel.tsx:111,NOT_VERIFIED,"data-testid=apollo-bridge-input-spanLength"
AUI-C-0005,SCR-04,Bridge length input,bridge-input-bridgeLength,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,inline,YES,YES,!isContinuous,BridgeStructureInputPanel.tsx:111,NOT_VERIFIED,"data-testid=apollo-bridge-input-bridgeLength; read-only when continuous"
AUI-C-0006,SCR-04,Width input,bridge-input-width,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,inline,YES,YES,always,BridgeStructureInputPanel.tsx:111,NOT_VERIFIED,"data-testid=apollo-bridge-input-width"
AUI-C-0007,SCR-04,Girder count input,bridge-input-girderCount,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,inline,YES,YES,always,BridgeStructureInputPanel.tsx:111,NOT_VERIFIED,"data-testid=apollo-bridge-input-girderCount; integer"
AUI-C-0008,SCR-04,Girder spacing input,bridge-input-girderSpacing,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,inline,YES,YES,always,BridgeStructureInputPanel.tsx:111,NOT_VERIFIED,"data-testid=apollo-bridge-input-girderSpacing"
AUI-C-0009,SCR-04,Girder depth input,bridge-input-girderDepth,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,inline,YES,YES,always,BridgeStructureInputPanel.tsx:111,NOT_VERIFIED,"data-testid=apollo-bridge-input-girderDepth"
AUI-C-0010,SCR-04,Top flange width input,bridge-input-topFlangeWidth,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,inline,YES,YES,always,BridgeStructureInputPanel.tsx:111,NOT_VERIFIED,"data-testid=apollo-bridge-input-topFlangeWidth"
AUI-C-0011,SCR-04,Top flange thickness input,bridge-input-topFlangeThickness,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,inline,YES,YES,always,BridgeStructureInputPanel.tsx:111,NOT_VERIFIED,"data-testid=apollo-bridge-input-topFlangeThickness"
AUI-C-0012,SCR-04,Bottom flange width input,bridge-input-bottomFlangeWidth,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,inline,YES,YES,always,BridgeStructureInputPanel.tsx:111,NOT_VERIFIED,"data-testid=apollo-bridge-input-bottomFlangeWidth"
AUI-C-0013,SCR-04,Bottom flange thickness input,bridge-input-bottomFlangeThickness,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,inline,YES,YES,always,BridgeStructureInputPanel.tsx:111,NOT_VERIFIED,"data-testid=apollo-bridge-input-bottomFlangeThickness"
AUI-C-0014,SCR-04,Web thickness input,bridge-input-webThickness,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,inline,YES,YES,always,BridgeStructureInputPanel.tsx:111,NOT_VERIFIED,"data-testid=apollo-bridge-input-webThickness"
AUI-C-0015,SCR-04,Deck thickness input,bridge-input-deckThickness,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,inline,YES,YES,always,BridgeStructureInputPanel.tsx:111,NOT_VERIFIED,"data-testid=apollo-bridge-input-deckThickness"
AUI-C-0016,SCR-04,Cross beam spacing input,bridge-input-crossBeamSpacing,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,inline,YES,YES,always,BridgeStructureInputPanel.tsx:111,NOT_VERIFIED,"data-testid=apollo-bridge-input-crossBeamSpacing"
AUI-C-0017,SCR-04,Stiffener spacing input,bridge-input-stiffenerSpacing,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,inline,YES,YES,always,BridgeStructureInputPanel.tsx:111,NOT_VERIFIED,"data-testid=apollo-bridge-input-stiffenerSpacing; optional"
AUI-C-0018,SCR-04,Sway bracing interval input,bridge-input-swayBracingInterval,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,inline,YES,YES,always,BridgeStructureInputPanel.tsx:111,NOT_VERIFIED,"data-testid=apollo-bridge-input-swayBracingInterval; optional integer"
AUI-C-0019,SCR-04,Steel unit weight input,bridge-input-steelUnitWeight,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,inline,YES,YES,always,BridgeStructureInputPanel.tsx:111,NOT_VERIFIED,"data-testid=apollo-bridge-input-steelUnitWeight; optional"
AUI-C-0020,SCR-04,RC unit weight input,bridge-input-rcUnitWeight,CompositionAwareInput,decimal,number,Enter/blur,commitApolloNumericDraft,inline,YES,YES,always,BridgeStructureInputPanel.tsx:111,NOT_VERIFIED,"data-testid=apollo-bridge-input-rcUnitWeight; optional"
AUI-C-0021,SCR-04,Upper lateral bracing checkbox,bridge-input-upperLateralBracingEnabled,checkbox,checkbox,boolean,change,change,inline,NO,YES,always,BridgeStructureInputPanel.tsx:687,NOT_VERIFIED,"data-testid=apollo-bridge-input-upperLateralBracingEnabled"
AUI-C-0022,SCR-04,Lower lateral bracing checkbox,bridge-input-lateralBracingEnabled,checkbox,checkbox,boolean,change,change,inline,NO,YES,always,BridgeStructureInputPanel.tsx:704,NOT_VERIFIED,"data-testid=apollo-bridge-input-lateralBracingEnabled"
AUI-C-0023,SCR-04,Continuous span count display,continuous-span-count,text,static,number,N/A,N/A,inline,NO,YES,isContinuous,BridgeStructureInputPanel.tsx:586,NOT_VERIFIED,"data-testid=apollo-continuous-span-count; read-only display"
