test_id,control_id,environment,operation,input_value,attempts,pass_count,fail_count,result,symptom,error_id,active_element_before,active_element_after,value_before,value_after,canonical_value,save_reload_value,evidence,notes
"B-TXT-001","AUI-C-0001","browser(zorin)","fill","テスト橋梁A",1,1,0,"PASS","","","","","200m級 5径間連続橋","テスト橋梁A","","","",""
"B-TXT-002","AUI-C-0002","browser(zorin)","fill","ZorinOSブラウザ監査用テスト",1,1,0,"PASS","","","","","橋長200m、5径間連続橋、Apollo操作確認用サンプル","ZorinOSブラウザ監査用テスト","","","",""
"B-SEL-001","AUI-C-0003","browser(zorin)","select","CONTINUOUS",1,1,0,"PASS","","","","","SIMPLE_SINGLE","CONTINUOUS","","","evidence_browser/020_bridge_system.png",""
"B-NUM-SL","AUI-C-0004","browser(zorin)","fill","40.0",1,1,0,"PASS","","","","","60","40","","","",""
"B-NUM-W","AUI-C-0006","browser(zorin)","fill","12.5",1,1,0,"PASS","","","","","","12.5","","","",""
"B-NUM-GC","AUI-C-0007","browser(zorin)","fill","5",1,1,0,"PASS","","","","","","5","","","",""
"B-NUM-GS","AUI-C-0008","browser(zorin)","fill","2.5",1,1,0,"PASS","","","","","","2.5","","","",""
"B-NUM-GD","AUI-C-0009","browser(zorin)","fill","2.0",1,1,0,"PASS","","","","","","2","","","",""
"B-NUM-TFW","AUI-C-0010","browser(zorin)","fill","0.5",1,1,0,"PASS","","","","","","0.5","","","",""
"B-NUM-TFT","AUI-C-0011","browser(zorin)","fill","0.05",1,1,0,"PASS","","","","","","0.05","","","",""
"B-NUM-BFW","AUI-C-0012","browser(zorin)","fill","0.5",1,1,0,"PASS","","","","","","0.5","","","",""
"B-NUM-BFT","AUI-C-0013","browser(zorin)","fill","0.05",1,1,0,"PASS","","","","","","0.05","","","",""
"B-NUM-WT","AUI-C-0014","browser(zorin)","fill","0.02",1,1,0,"PASS","","","","","","0.02","","","",""
"B-NUM-DT","AUI-C-0015","browser(zorin)","fill","0.25",1,1,0,"PASS","","","","","","0.25","","","",""
"B-NUM-CBS","AUI-C-0016","browser(zorin)","fill","5.0",1,1,0,"PASS","","","","","","5","","","",""
"B-CHK-upper","AUI-C-0021","browser(zorin)","click","toggle",1,1,0,"PASS","","","","","false","true","","","evidence_browser/040_chk_upper.png",""
"B-CHK-lower","AUI-C-0022","browser(zorin)","click","toggle",1,1,0,"PASS","","","","","false","true","","","evidence_browser/040_chk_lower.png",""
"B-CF-V","AUI-C-0105","browser(zorin)","click","V",1,1,0,"PASS","","","","","","","","","",""
"B-CF-IV","AUI-C-0105","browser(zorin)","click","INVERTED_V",1,0,0,"NOT_APPLICABLE","Pattern disabled","","","","","","","","",""
"B-CF-X","AUI-C-0105","browser(zorin)","click","X",1,0,0,"NOT_APPLICABLE","Pattern disabled","","","","","","","","",""
"B-CF-UD","AUI-C-0106","browser(zorin)","fill","0.5",1,1,0,"PASS","","","","","0.0125","0.5","","","",""
"B-CF-LD","AUI-C-0107","browser(zorin)","fill","0.3",1,1,0,"PASS","","","","","1.985","0.3","","","",""
"B-APP-LEFT_CURB","AUI-C-0121","browser(zorin)","select","PROVIDED",1,1,0,"PASS","","","","","NOT_PROVIDED","PROVIDED","","","",""
"B-APP-RIGHT_CURB","AUI-C-0121","browser(zorin)","select","PROVIDED",1,1,0,"PASS","","","","","NOT_PROVIDED","PROVIDED","","","",""
"B-APP-LEFT_WALL_RAILING","AUI-C-0121","browser(zorin)","select","PROVIDED",1,1,0,"PASS","","","","","NOT_PROVIDED","PROVIDED","","","",""
"B-APP-RIGHT_WALL_RAILING","AUI-C-0121","browser(zorin)","select","PROVIDED",1,1,0,"PASS","","","","","NOT_PROVIDED","PROVIDED","","","",""
"B-APP-MEDIAN","AUI-C-0121","browser(zorin)","select","PROVIDED",1,1,0,"PASS","","","","","NOT_PROVIDED","PROVIDED","","","",""
"B-APP-OPTIONAL_BARRIER","AUI-C-0121","browser(zorin)","select","PROVIDED",1,1,0,"PASS","","","","","NOT_PROVIDED","PROVIDED","","","",""
"B-PAV-PROVIDED","AUI-C-0112","browser(zorin)","click","PROVIDED",1,1,0,"PASS","","","","","","","","","",""
"B-PAV-EXPLICIT_NONE","AUI-C-0112","browser(zorin)","click","EXPLICIT_NONE",1,1,0,"PASS","","","","","","","","","",""
"B-PAV-NOT_PROVIDED","AUI-C-0112","browser(zorin)","click","NOT_PROVIDED",1,1,0,"PASS","","","","","","","","","",""
"B-ACT-001","AUI-C-0046","browser(zorin)","click","undo",1,1,0,"PASS","","","","","","","","","",""
"B-ACT-002","AUI-C-0047","browser(zorin)","click","redo",1,1,0,"PASS","","","","","","","","","",""
"B-SAVE-001","AUI-C-0087","browser(zorin)","click","save",1,1,0,"PASS","","","","","","","","","",""
"B-SAVE-002","AUI-C-0088","browser(zorin)","click","reload",1,1,0,"PASS","","","","","","","","","",""
"B-KB-001","AUI-C-0148","browser(zorin)","keydown","Ctrl+Z",1,1,0,"PASS","","","","","","","","","",""
"B-KB-002","AUI-C-0149","browser(zorin)","keydown","Ctrl+Y",1,1,0,"PASS","","","","","","","","","",""
"B-DRAWER-001","AUI-C-0145","browser(zorin)","click","detail escape",1,1,0,"PASS","","","","","","","","","",""
"B-DRAWER-002","AUI-C-0145","browser(zorin)","keydown","Escape",1,1,0,"PASS","","","","","","","","","",""
