source_id,title,publisher,edition,publication_date,file_path_or_url,document_type,authority_level,scope,chapters,status,rights_note,notes
SRC-R7-1,道路橋示方書・同解説 I 共通編,公益社団法人 日本道路協会,令和7年10月版 (Ver2.00 + 2026-03-31 正誤表 overlay),2025-11-05 (e-book Ver1.00) / 2025-12-19 (Ver2.00),local-archive/restricted-pdf/bridge-standards/260726_設計基準/道路橋示方書・同解説　Ⅰ　共通編.pdf,document:design_standard (image scan),ADOPTED_WITH_CONDITION (版・正誤表) / 条文マッピング BLOCKED,Phase1 共通設計基準・荷重・材料,1章 総則/2章 橋の耐荷性能/8章 荷重/9章 使用材料/10章 付属物等/11章 記録,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT (clause citation requires human visual confirmation),ライセンス購入済みローカル画像PDF。リポジトリ外保管。転載禁止,DS-01 EVD-DS01-010/005。テキスト層なし(IMAGE_SCAN)。
SRC-R7-2,道路橋示方書・同解説 II 鋼部材・鋼上部構造編,公益社団法人 日本道路協会,令和7年10月版 (Ver2.00 改訂版第1刷 + 2026-03-31 正誤表 overlay),2025-11-05 / 2025-12-19,local-archive/restricted-pdf/bridge-standards/260726_設計基準/道路橋示方書・同解説　Ⅱ　鋼部材・鋼上部構造編.pdf,document:design_standard (image scan),ADOPTED_WITH_CONDITION (版・正誤表) / 条文マッピング BLOCKED,Phase1 鋼部材・鋼上部構造設計,1章 総則/2章 調査/3章 設計の基本/以降 鋼部材照査,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT (clause citation requires human visual confirmation),ライセンス購入済みローカル画像PDF。リポジトリ外保管。転載禁止,DS-01 EVD-DS01-011/006。印刷ISBN 978-4-88950-812-3。テキスト層なし。
SRC-R7-3,道路橋示方書・同解説 III コンクリート部材・コンクリート上部構造編,公益社団法人 日本道路協会,令和7年10月版 (Ver2.00 改訂版第1刷 + 2026-03-31 正誤表 overlay),2025-11-05 / 2025-12-19,local-archive/restricted-pdf/bridge-standards/260726_設計基準/道路橋示方書・同解説　Ⅲ　コンクリート部材・コンクリート上部構造編.pdf,document:design_standard (image scan),ADOPTED_WITH_CONDITION (版・正誤表) / 条文マッピング BLOCKED,Phase1 RC床版・コンクリート部材,1章 総則/2章 調査/3章 設計の基本/以降 床版・コンクリート照査,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT (clause citation requires human visual confirmation),ライセンス購入済みローカル画像PDF。リポジトリ外保管。転載禁止,DS-01 EVD-DS01-012/007。印刷ISBN 978-4-88950-813-0。テキスト層なし。
SRC-R7-4,道路橋示方書・同解説 IV 下部構造編,公益社団法人 日本道路協会,令和7年10月版 (Ver2.00 改訂版第1刷 + 2026-03-31 正誤表 overlay),2025-11-05 / 2025-12-19,local-archive/restricted-pdf/bridge-standards/260726_設計基準/道路橋示方書・同解説　Ⅳ　下部構造編.pdf,document:design_standard (image scan),REFERENCE_ONLY,Phase1 では下部構造本体は対象外,1章 総則/2章 調査/3章 設計の基本/以降 下部構造,REFERENCE_ONLY,ライセンス購入済みローカル画像PDF。リポジトリ外保管。転載禁止,DS-01 EVD-DS01-013/008。印刷ISBN 978-4-88950-814-7。Phase1 OUT_OF_SCOPE。
SRC-R7-5,道路橋示方書・同解説 V 上下部接続部編,公益社団法人 日本道路協会,令和7年10月版 (Ver2.00 改訂版第1刷 + 2026-03-31 正誤表 overlay),2025-11-05 / 2025-12-19,local-archive/restricted-pdf/bridge-standards/260726_設計基準/道路橋示方書・同解説　Ⅴ　上下部接続部編.pdf,document:design_standard (image scan),ADOPTED_WITH_CONDITION (selected topics),Phase1 支承・伸縮・接続部の selected topics,1章 総則/2章 調査/3章 設計の基本/以降 上下部接続部,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT (clause citation requires human visual confirmation),ライセンス購入済みローカル画像PDF。リポジトリ外保管。転載禁止,DS-01 EVD-DS01-014/009。印刷ISBN 978-4-88950-815-4。題名揺れ(上下部接続部構造編)を ADOPTED_WITH_CONDITION で記録。
SRC-R7-ERR-20251212,道路橋示方書・同解説 令和7年改訂版 正誤表 (2025-12-12),公益社団法人 日本道路協会,20251212,2025-12-12,https://www.road.or.jp/img/books/corrigenda/pdf/20251212.pdf,document:errata (web),SUPERSEDED_EQUIVALENT (Ver2.00 に反映済),全体,全体,SUPERSEDED_EQUIVALENT,公式公開PDF。URLを記録。転載禁止,DS-01 EVD-DS01-003。SHA256 50c3a1f0... 監査証跡用。
SRC-R7-ERR-20260331,道路橋示方書・同解説 令和7年改訂版 正誤表 (2026-03-31),公益社団法人 日本道路協会,20260331,2026-03-31,https://www.road.or.jp/img/books/corrigenda/pdf/20260331.pdf,document:errata (web),ADOPTED_WITH_CONDITION (active overlay on Ver2.00),全体,全体,ADOPTED_WITH_CONDITION,公式公開PDF。URLを記録。転載禁止,DS-01 EVD-DS01-004。SHA256 22b8767d... 電子/紙へ未反映の項目あり。採用基準は Ver2.00 + 本正誤表。
SRC-MLIT-20250822,「橋、高架の道路等の技術基準」（道路橋示方書）の改定について (報道発表資料),国土交通省,報道発表資料,2025-08-22,https://www.mlit.go.jp/report/press/content/001906067.pdf,document:official_press_release,ADOPTED (metadata),全体(適用開始 2026-04-01 等),全体,ADOPTED,公式報道発表資料。転載禁止,DS-01 EVD-DS01-001。SHA256 60ef4608...
SRC-R2-STEEL-HANDBOOK,鋼道路橋設計便覧,公益社団法人 日本道路協会,令和2年版,令和2年9月,local-archive/restricted-pdf/bridge-standards/260726_設計基準/R2鋼道路橋設計便覧.pdf,document:manual (image scan),REFERENCE_ONLY,Phase1 鋼道路橋の設計便覧,1章 総論/2章 構造計画/6章 鋼桁/7章 コンクリート床版を有する桁構造/8章 連結/9章 骨組構造,REFERENCE_ONLY,ライセンス購入済みローカル画像PDF。リポジトリ外保管。転載禁止,DS-01 で支持便覧として REFERENCE_ONLY。道示と同格にしない。
SRC-H31-BEARING-HANDBOOK,道路橋支承便覧,公益社団法人 日本道路協会,平成30年12月版 (ファイル名 H31 表記),平成30年12月,local-archive/restricted-pdf/bridge-standards/260726_設計基準/H31道路橋支承便覧.pdf,document:manual (image scan),REFERENCE_ONLY,Phase1 支承部の設計・製作・維持管理,1章 総論/2章 支承部の設計の基本/3章 使用材料/4章 支承部の設計,REFERENCE_ONLY,ライセンス購入済みローカル画像PDF。リポジトリ外保管。転載禁止,ファイル名 H31 と表紙(平成30年12月)の差異を記録。
