exchange_id,data_name,from_system,to_system,file_format,transfer_mode,statement_summary,evidence_manual_id,evidence_pdf_page,evidence_section,classification,unknowns
DX-001,線形条件,Align,ユーザー入力,UNKNOWN,manual,Align 基本データより作成,MAN-021,9,2-2-1,Evidence,Align詳細項目 UNKNOWN
DX-002,線形データ,Align,SuperDesigner,.alg,manual_select,既存線形データ取込時に拡張子．ａｌｇを選択,MAN-021,12,2-2-2,Evidence,NONE
DX-003,設計データベース,SuperDesigner,SuperDrawing,.mdb,auto/manual,工事名．ｍｄｂを参照選択,MAN-021,17,2-3-2,Evidence,NONE
DX-004,設計データベース,SuperDesigner,ユーザー/単体,.mdb,manual,既存データ選択で橋梁名称.mdb,MAN-002,6,1.3,Evidence,NONE
DX-005,Analyzer入力データ,SuperDesigner,Analyzer,.stm（名称記載）,auto,解析データ作成で自動生成,MAN-007,3,1,Evidence,全形式仕様 UNKNOWN
DX-006,解析結果/断面力,Analyzer,SuperDesigner,UNKNOWN,auto,断面力変換で自動設計へ読込,MAN-002;MAN-007,8;3,2.1(2);1,Evidence,受け渡しバイナリ形式 UNKNOWN
DX-007,計算書,SuperDesigner/単体,MS-Word,RTF,auto+manual_edit,RTF出力、物件固有の後編集が可能,MAN-021;MAN-061,8;21,2-1-2;4.x,Evidence,NONE
DX-008,図面中間/CAD,SuperDrawing,AutoCAD/RCCAD,DWG or GSP,auto+manual,DWGまたはGSP選択。GSP→DWG変換可,MAN-021,17;19,2-3-2,Evidence,NONE
DX-009,材料データ,SuperDrawing,y-Mater,NPDATA.txt,auto,材料出力ボタンで生成、y-Materが読込,MAN-021,19,2-3-2,Evidence,y-Mater出力 UNKNOWN
DX-010,Splice単体データ,ユーザー,Splice,.spl,manual,ファイル開くの拡張子 .spl,MAN-063,4,2-1(3),Evidence,設計MDBとの同期条件 UNKNOWN
DX-011,フォルダ配置,Apollo,ファイルシステム,dirs,auto,"y-Design-Bridge/工事名/{Align,Design,Draw}",MAN-021,27,4-1(5),Evidence,NONE
