feature_id,feature_category,feature_name,subfeature_name,phase_class,purpose,input_name,input_type,unit,default_value,constraint,options,automatic_decision,validation_rule,process,calculation_reference,output,report,drawing,integration,upstream_feature,downstream_feature,manual_id,pdf_page,book_page,section,screen_name,table_name,figure_name,classification,evidence_text_summary,interpretation,unknowns,oss_mapping,adoption_candidate,status
F4-5-001,analysis_input_generation,解析データ作成,NONE,Phase1_required,解析データ作成,主桁仮定剛度,NONE,NONE,NONE,仮定剛度を指定可能,NONE,NONE,NONE,NONE,NONE,APOLLO Analyzer 入力データ,APOLLO Analyzer 入力データ,NONE,Analyzer,NONE,NONE,MAN-007,4,NONE,第6章 格子解析,NONE,NONE,NONE,Evidence,「解析データ作成」: 自動設計のデータより APOLLO Analyzer 入力データを自動生成,NONE,Analyzer physical file format not stated in extract,NONE,NONE,extracted
F4-5-002,analysis_input_generation,主桁仮定剛度,NONE,Phase1_required,主桁仮定剛度,剛度入力方法,NONE,NONE,NONE,パネル毎に指定,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,MAN-007,4,NONE,2.1 主桁仮定剛度,NONE,NONE,NONE,Evidence,剛度入力方法を選択し、各パネル毎の仮定剛度を指定して下さい。,NONE,NONE,NONE,NONE,extracted
F4-5-003,analysis_input_generation,横桁・対傾構仮定剛度,NONE,Phase1_required,横桁・対傾構仮定剛度,剛度入力方法,NONE,NONE,NONE,横桁毎に指定,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,MAN-007,5,NONE,2.2 横桁・対傾構仮定剛度,NONE,NONE,NONE,Evidence,剛度入力方法を選択し、各横桁毎の仮定剛度を指定して下さい。,NONE,NONE,NONE,NONE,extracted
F4-5-004,analysis_input_generation,仮定鋼重,NONE,Phase1_required,仮定鋼重,仮定鋼重,NONE,NONE,NONE,実鋼重は概算値,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,MAN-007,5,NONE,2.3 仮定鋼重,NONE,NONE,NONE,Evidence,仮定鋼重を指定して下さい。（実鋼重とは、コントロール画面「鋼重計算」にて算出した概算値となっています。）,NONE,NONE,NONE,NONE,extracted
F4-5-005,analysis_model,Analyzer骨組み任意指定,NONE,Phase1_required,Analyzer骨組み任意指定,骨組み任意指定,NONE,NONE,NONE,任意骨組みが作成可能,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Analyzer,NONE,NONE,MAN-007,6,NONE,2.4 Analyzer骨組み任意指定,NONE,NONE,NONE,Evidence,"Analyzer 荷重載荷位置データの出力方法 にて、◎x,y,z 座標で指定＋骨組み任意指定 を選択する事により、任意骨組みの解析データが作成可能です",NONE,Analyzer physical file format not stated in extract,NONE,NONE,extracted
F4-5-006,analysis_model,節点変更,NONE,Phase1_required,節点変更,節点番号,NONE,NONE,NONE,変更・追加・削除が可能,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,MAN-007,6,NONE,2.4.1 節点変更,NONE,NONE,NONE,Evidence,格子節点の変更、追加、削除が可能です。格子解析にて使用されている節点番号を NAME に指定し、条件を指定して下さい。,NONE,NONE,NONE,NONE,extracted
F4-5-007,analysis_model,要素変更,NONE,Phase1_required,要素変更,要素番号,NONE,NONE,NONE,変更・追加・削除が可能,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,MAN-007,7,NONE,2.4.2 要素変更,NONE,NONE,NONE,Evidence,格子要素の変更、追加、削除が可能です。格子解析にて使用されている要素番号を NAME に指定し、条件を指定して下さい。,NONE,NONE,NONE,NONE,extracted
F4-5-008,analysis_model,支点変更,NONE,Phase1_required,支点変更,支点番号,NONE,NONE,NONE,変更・追加・削除が可能,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,MAN-007,7,NONE,2.4.3 支点変更,NONE,NONE,NONE,Evidence,格子支点の変更、追加、削除が可能です。格子解析にて使用されている支点番号を NAME に指定し、条件を指定して下さい。,NONE,NONE,NONE,NONE,extracted
F4-5-009,analysis_execution,構造解析,NONE,Phase1_required,構造解析,NONE,NONE,NONE,NONE,APOLLO Analyzer を実行,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,MAN-007,8,NONE,3 構造解析,NONE,NONE,NONE,Evidence,解析実行状況のダイアログが表示され、解析終了と同時にダイアログは消えます。,NONE,NONE,NONE,NONE,extracted
F4-5-010,section_force_conversion,断面力変換,NONE,Phase1_required,断面力変換,NONE,NONE,NONE,NONE,APOLLO Analyzer 結果を自動設計の結果として読み込み,NONE,NONE,NONE,NONE,NONE,断面力結果が計算書として出力,断面力結果が計算書として出力,NONE,NONE,NONE,NONE,MAN-007,9,NONE,4 断面力変換,NONE,NONE,NONE,Evidence,断面力変換実行状況のダイアログが表示され、解析終了と同時にダイアログは消えます。,NONE,NONE,NONE,NONE,extracted
