feature_id,category,name,manual_id,hint,notes
F4-P1-001,project_management,工事名フォルダ,MAN-021,MAN-021 2-2-2 ②,numeric/formula/year TBD in Stage5
F4-P1-002,project_management,新規作成,MAN-021,MAN-021 2-2-2 ①; MAN-002 1.2,numeric/formula/year TBD in Stage5
F4-P1-003,project_management,既存データ選択,MAN-002,MAN-002 1.3,numeric/formula/year TBD in Stage5
F4-P1-004,alignment_import,線形データ取込,MAN-021,MAN-021 2-2-2 ④,numeric/formula/year TBD in Stage5
F4-P1-005,longitudinal_alignment,縦断線定義,MAN-021,MAN-021 2-2-2 ⑤,numeric/formula/year TBD in Stage5
F4-P1-006,cross_section_lines,横断線定義,MAN-021,MAN-021 2-2-2 ⑤,numeric/formula/year TBD in Stage5
F4-P1-007,unit_system,単位系選択,MAN-021,MAN-021 4-2-1,numeric/formula/year TBD in Stage5
F4-P1-008,unit_system,単位系自動変換なし,MAN-021,MAN-021 4-2-1,numeric/formula/year TBD in Stage5
F4-P1-009,unit_system,ハンチ単位伝播,MAN-021,MAN-021 4-2-1,numeric/formula/year TBD in Stage5
F4-P1-010,unit_system,単体プログラム単位設定,MAN-021,MAN-021 4-2-1,numeric/formula/year TBD in Stage5
F4-P1-011,unit_system,デフォルト単位ルト単位値,MAN-021,MAN-021 4-2-1,numeric/formula/year TBD in Stage5
F4-P1-012,bridge_basic_conditions,適用規模_主桁本数,MAN-021,MAN-021 3-2,numeric/formula/year TBD in Stage5
F4-P1-013,bridge_basic_conditions,適用規模_主桁本数_鋼床版,MAN-021,MAN-021 3-2,numeric/formula/year TBD in Stage5
F4-P1-014,bridge_basic_conditions,適用規模_横断線数,MAN-021,MAN-021 3-2,numeric/formula/year TBD in Stage5
F4-P1-015,bridge_basic_conditions,適用規模_格点数_RC鈑桁,MAN-021,MAN-021 3-2,numeric/formula/year TBD in Stage5
F4-P1-016,alignment,線形計算実行,MAN-021,MAN-021 2-2-1,numeric/formula/year TBD in Stage5
F4-P1-017,project_management,フォルダ構成,MAN-021,MAN-021 4-1 (5),numeric/formula/year TBD in Stage5
F4-P1-018,girder_layout,コントロールプログラム,MAN-021; MAN-002,左上から右下へガイドに沿って実行,numeric/formula/year TBD in Stage5
F4-P1-019,project_management,設計DB,MAN-021; MAN-002,設計データはMS-Accessに保存される,numeric/formula/year TBD in Stage5
F4-P1-020,bridge_basic_conditions,単位系ヘルプ記載,MAN-021,MAN-021 4-2-1,numeric/formula/year TBD in Stage5
