manual_id,relative_path,filename,sha256,page_count,product,module,bridge_type,doc_type,title,edition,issue_date,toc_summary,toc_status,phase1_relevance,survey_priority,research_status,duplicate_or_revision_note,classification_basis,extraction_notes
MAN-001,01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_00.pdf,Grider_I_00.pdf,ea20162a245b4028a2a9e63f9be372ca792353ded87320266890341a161691eb,2,APOLLO,非合成鈑桁マニュアル群,非合成・RC床版・鋼鈑桁,ユーザーズマニュアル分割冊,APOLLO SuperDesigner 鋼橋自動設計システム ユーザーズ・マニュアル 非合成鈑桁（多主桁）,UNKNOWN,UNKNOWN,第１章   はじめに|第２章   線形計算|第３章   ハンチ計算|第４章   設計データ入力・変更|第５章   ＲＣ床版|第６章   格子解析|第７章   断面計算|第８章   添接計算|第９章   たわみ剛比|第１０章    床組設計|第１１章    主桁補剛材|第１２章    鋼重計算|第１３章    疲労照査,EXTRACTED_HEAD,high,P0,p0_head_extracted,分冊シリーズ目次冊。章対応: MAN-002=第1章 … MAN-014=第13章（表紙章名と一致）,path_plus_head_text,subtitle: 非合成鈑桁（多主桁）
MAN-002,01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_01.pdf,Grider_I_01.pdf,034a95cd2188b212f07a156e3e7fdd2a70f1633cbf7c9a72257be17d016727f3,14,APOLLO,非合成鈑桁マニュアル群,非合成・RC床版・鋼鈑桁,ユーザーズマニュアル分割冊,APOLLO SuperDesigner 鋼橋自動設計システム ユーザーズ・マニュアル 非合成鈑桁（多主桁）,UNKNOWN,UNKNOWN,第１章   はじめに,EXTRACTED_HEAD,high,P0,p0_head_extracted,完全一致重複なし（Stage0）。版関係は個別UNKNOWN,path_plus_head_text,subtitle: 非合成鈑桁（多主桁）
MAN-003,01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_02.pdf,Grider_I_02.pdf,e28d38553a5d9d12fef79e7dd78322723d2d4871cdad79b9d1eaa8669693154e,19,APOLLO,非合成鈑桁マニュアル群,非合成・RC床版・鋼鈑桁,ユーザーズマニュアル分割冊,APOLLO SuperDesigner 鋼橋自動設計システム ユーザーズ・マニュアル 非合成鈑桁（多主桁）,UNKNOWN,UNKNOWN,第２章   線形計算,EXTRACTED_HEAD,high,P0,p0_head_extracted,完全一致重複なし（Stage0）。版関係は個別UNKNOWN,path_plus_head_text,subtitle: 非合成鈑桁（多主桁）
MAN-004,01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_03.pdf,Grider_I_03.pdf,ce9ff3acf5465899c8c5ca2f7a975ea21f67b9d9a31421bdfc3f719f355cdccd,7,APOLLO,非合成鈑桁マニュアル群,非合成・RC床版・鋼鈑桁,ユーザーズマニュアル分割冊,APOLLO SuperDesigner 鋼橋自動設計システム ユーザーズ・マニュアル 非合成鈑桁（多主桁）,UNKNOWN,UNKNOWN,第３章   ハンチ計算,EXTRACTED_HEAD,high,P0,p0_head_extracted,完全一致重複なし（Stage0）。版関係は個別UNKNOWN,path_plus_head_text,subtitle: 非合成鈑桁（多主桁）
MAN-005,01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_04.pdf,Grider_I_04.pdf,b5f95000b4fdd359c2db89bfc59f4a92b2d42e0a9ed5051ef67361c3006e1403,34,APOLLO,非合成鈑桁マニュアル群,非合成・RC床版・鋼鈑桁,ユーザーズマニュアル分割冊,APOLLO SuperDesigner 鋼橋自動設計システム ユーザーズ・マニュアル 非合成鈑桁（多主桁）,UNKNOWN,UNKNOWN,第４章   設計データ入力・変更,EXTRACTED_HEAD,high,P0,p0_head_extracted,完全一致重複なし（Stage0）。版関係は個別UNKNOWN,path_plus_head_text,subtitle: 非合成鈑桁（多主桁）
MAN-006,01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_05.pdf,Grider_I_05.pdf,b601ff51aa5f8dbf2dcde5e0c794fa8f298fb91dd9adc64787ce534f3d50a4af,11,APOLLO,非合成鈑桁マニュアル群,非合成・RC床版・鋼鈑桁,ユーザーズマニュアル分割冊,APOLLO SuperDesigner 鋼橋自動設計システム ユーザーズ・マニュアル 非合成鈑桁（多主桁）,UNKNOWN,UNKNOWN,第５章   ＲＣ床版,EXTRACTED_HEAD,high,P0,p0_head_extracted,完全一致重複なし（Stage0）。版関係は個別UNKNOWN,path_plus_head_text,subtitle: 非合成鈑桁（多主桁）
MAN-007,01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_06.pdf,Grider_I_06.pdf,0decd466d76f6dfe719e3b69799f1be3e37a82c1d37f394e80aad4d02ea89ed6,12,APOLLO,非合成鈑桁マニュアル群,非合成・RC床版・鋼鈑桁,ユーザーズマニュアル分割冊,APOLLO SuperDesigner 鋼橋自動設計システム ユーザーズ・マニュアル 非合成鈑桁（多主桁）,UNKNOWN,UNKNOWN,第６章   格子解析,EXTRACTED_HEAD,high,P0,p0_head_extracted,完全一致重複なし（Stage0）。版関係は個別UNKNOWN,path_plus_head_text,subtitle: 非合成鈑桁（多主桁）
MAN-008,01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_07.pdf,Grider_I_07.pdf,280f7fa17cee5facca1222528192e1761bb9c0a5e14a319c5ccfd048f6d161c9,29,APOLLO,非合成鈑桁マニュアル群,非合成・RC床版・鋼鈑桁,ユーザーズマニュアル分割冊,APOLLO SuperDesigner 鋼橋自動設計システム ユーザーズ・マニュアル 非合成鈑桁（多主桁）,UNKNOWN,UNKNOWN,第７章   断面計算,EXTRACTED_HEAD,high,P0,p0_head_extracted,完全一致重複なし（Stage0）。版関係は個別UNKNOWN,path_plus_head_text,subtitle: 非合成鈑桁（多主桁）
MAN-009,01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_08.pdf,Grider_I_08.pdf,efc17a18d8026d110a3b49dbfdc5c9516675ccc6ad8c048fec20ab086f73901b,23,APOLLO,非合成鈑桁マニュアル群,非合成・RC床版・鋼鈑桁,ユーザーズマニュアル分割冊,APOLLO SuperDesigner 鋼橋自動設計システム ユーザーズ・マニュアル 非合成鈑桁（多主桁）,UNKNOWN,UNKNOWN,第８章   添接計算,EXTRACTED_HEAD,high,P0,p0_head_extracted,完全一致重複なし（Stage0）。版関係は個別UNKNOWN,path_plus_head_text,subtitle: 非合成鈑桁（多主桁）
MAN-010,01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_09.pdf,Grider_I_09.pdf,792072d03d668e7580f326224c49850b798f69f52d7249ad538e9e32b2624eac,6,APOLLO,非合成鈑桁マニュアル群,非合成・RC床版・鋼鈑桁,ユーザーズマニュアル分割冊,APOLLO SuperDesigner 鋼橋自動設計システム ユーザーズ・マニュアル 非合成鈑桁（多主桁）,UNKNOWN,UNKNOWN,第９章   たわみ剛比,EXTRACTED_HEAD,high,P0,p0_head_extracted,完全一致重複なし（Stage0）。版関係は個別UNKNOWN,path_plus_head_text,subtitle: 非合成鈑桁（多主桁）
