handoff_id,priority,topic,verification_question,required_source_type,historical_or_target,manual_id,pdf_page,feature_id,expected_output,blocking_for_apollo_design,notes
H5A-0001,P1,unit_system:単位系選択,単位系切替・自動変換有無はAPOLLO仕様として整理する。外部基準の単位定義との対応表が必要かだけ Stage5B で確認する。,APOLLO_MANUAL_ONLY,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,MAN-021,27,F4-P1-007,条文・表・適用条件の所在メモ（適合判定・数値転記はしない）,NO,Do not copy APOLLO OCR full text
H5A-0002,P1,unit_system:単位系選択,APOLLOが扱う力・長さ・応力の単位系が、適用対象の道路橋示方書の表記・換算慣行と矛盾しないか確認する。,RBS_COMMON,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,MAN-021,27,F4-P1-007,条文・表・適用条件の所在メモ（適合判定・数値転記はしない）,NO,Do not copy APOLLO OCR full text
H5A-0003,P1,unit_system:単位系自動変換なし,単位系切替・自動変換有無はAPOLLO仕様として整理する。外部基準の単位定義との対応表が必要かだけ Stage5B で確認する。,APOLLO_MANUAL_ONLY,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,MAN-021,27,F4-P1-008,条文・表・適用条件の所在メモ（適合判定・数値転記はしない）,NO,Do not copy APOLLO OCR full text
H5A-0004,P1,unit_system:単位系自動変換なし,APOLLOが扱う力・長さ・応力の単位系が、適用対象の道路橋示方書の表記・換算慣行と矛盾しないか確認する。,RBS_COMMON,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,MAN-021,27,F4-P1-008,条文・表・適用条件の所在メモ（適合判定・数値転記はしない）,NO,Do not copy APOLLO OCR full text
H5A-0005,P1,unit_system:ハンチ単位伝播,単位系切替・自動変換有無はAPOLLO仕様として整理する。外部基準の単位定義との対応表が必要かだけ Stage5B で確認する。,APOLLO_MANUAL_ONLY,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,MAN-021,27,F4-P1-009,条文・表・適用条件の所在メモ（適合判定・数値転記はしない）,NO,Do not copy APOLLO OCR full text
H5A-0006,P1,unit_system:ハンチ単位伝播,APOLLOが扱う力・長さ・応力の単位系が、適用対象の道路橋示方書の表記・換算慣行と矛盾しないか確認する。,RBS_COMMON,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,MAN-021,27,F4-P1-009,条文・表・適用条件の所在メモ（適合判定・数値転記はしない）,NO,Do not copy APOLLO OCR full text
H5A-0007,P1,unit_system:単体プログラム単位設定,単位系切替・自動変換有無はAPOLLO仕様として整理する。外部基準の単位定義との対応表が必要かだけ Stage5B で確認する。,APOLLO_MANUAL_ONLY,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,MAN-021,27,F4-P1-010,条文・表・適用条件の所在メモ（適合判定・数値転記はしない）,NO,Do not copy APOLLO OCR full text
H5A-0008,P1,unit_system:単体プログラム単位設定,APOLLOが扱う力・長さ・応力の単位系が、適用対象の道路橋示方書の表記・換算慣行と矛盾しないか確認する。,RBS_COMMON,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,MAN-021,27,F4-P1-010,条文・表・適用条件の所在メモ（適合判定・数値転記はしない）,NO,Do not copy APOLLO OCR full text
H5A-0009,P1,unit_system:デフォルト単位ルト単位値,単位系切替・自動変換有無はAPOLLO仕様として整理する。外部基準の単位定義との対応表が必要かだけ Stage5B で確認する。,APOLLO_MANUAL_ONLY,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,MAN-021,27,F4-P1-011,条文・表・適用条件の所在メモ（適合判定・数値転記はしない）,NO,Do not copy APOLLO OCR full text
H5A-0010,P1,unit_system:デフォルト単位ルト単位値,APOLLOが扱う力・長さ・応力の単位系が、適用対象の道路橋示方書の表記・換算慣行と矛盾しないか確認する。,RBS_COMMON,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,MAN-021,27,F4-P1-011,条文・表・適用条件の所在メモ（適合判定・数値転記はしない）,NO,Do not copy APOLLO OCR full text
H5A-0011,P1,bridge_basic_conditions:適用規模_主桁本数,主桁本数上限等のソフト制限はAPOLLO仕様として記録する。,APOLLO_MANUAL_ONLY,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,MAN-021,22,F4-P1-012,条文・表・適用条件の所在メモ（適合判定・数値転記はしない）,NO,Do not copy APOLLO OCR full text
H5A-0012,P0,bridge_basic_conditions:適用規模_主桁本数,実橋の主桁本数・支間はプロジェクト決定。Phase1対象（4〜6本等）は調査スコープであり基準が一意決定する値ではない。,APOLLO_MANUAL_ONLY,HISTORICAL_BASELINE_UNKNOWN_EDITION; TARGET_STANDARD_NOT_SELECTED,MAN-021,22,F4-P1-012,条文・表・適用条件の所在メモ（適合判定・数値転記はしない）,NO,Do not copy APOLLO OCR full text
