priority,stage5a_class,row_count,feature_count,blocking_yes_rows
P0,JIS_TRACEABILITY_REQUIRED,23,23,23
P0,MULTIPLE_SOURCES_REQUIRED,23,23,23
P0,PROJECT_DECISION,11,11,0
P0,STANDARD_TRACEABILITY_REQUIRED,102,102,102
P1,DESIGN_PRACTICE_TRACEABILITY_REQUIRED,47,47,0
P1,MANUAL_DEFINED,5,5,0
P1,PROJECT_DECISION,11,11,0
P1,SOFTWARE_SPECIFIC,24,24,0
P1,STANDARD_TRACEABILITY_REQUIRED,37,37,0
P2,SOFTWARE_SPECIFIC,103,103,0
P2,STANDARD_TRACEABILITY_REQUIRED,5,5,0
P3,SOFTWARE_SPECIFIC,2,2,0
P3,UNKNOWN,15,15,0
