feature_id,disposition,feature_category,feature_name,catalog_phase_class,phase_note,blocker_ids,authoritative_source
F4-P1-001,PHASE1_REQUIRED,project_management,工事名フォルダ,Phase1_required,1,BLK-S1-001,../04_gap_analysis/feature281_disposition.csv
F4-P1-002,PHASE1_REQUIRED,project_management,新規作成,Phase1_required,1,BLK-S1-001,../04_gap_analysis/feature281_disposition.csv
F4-P1-003,PHASE1_REQUIRED,project_management,既存データ選択,Phase1_required,1,BLK-S1-001,../04_gap_analysis/feature281_disposition.csv
F4-P1-004,PHASE1_REQUIRED,alignment_import,線形データ取込,Phase1_required,1,BLK-S1-001,../04_gap_analysis/feature281_disposition.csv
F4-P1-005,PHASE1_REQUIRED,longitudinal_alignment,縦断線定義,Phase1_required,1,BLK-S1-001,../04_gap_analysis/feature281_disposition.csv
F4-P1-006,PHASE1_REQUIRED,cross_section_lines,横断線定義,Phase1_required,1,BLK-S1-001,../04_gap_analysis/feature281_disposition.csv
F4-P1-007,PHASE1_REQUIRED,unit_system,単位系選択,Phase1_required,1,BLK-S1-001,../04_gap_analysis/feature281_disposition.csv
F4-P1-008,PHASE1_REQUIRED,unit_system,単位系自動変換なし,Phase1_required,1,BLK-S1-001,../04_gap_analysis/feature281_disposition.csv
F4-P1-009,PHASE1_REQUIRED,unit_system,ハンチ単位伝播,Phase1_required,1,BLK-S1-001,../04_gap_analysis/feature281_disposition.csv
F4-P1-010,PHASE1_SUPPORTING,unit_system,単体プログラム単位設定,Phase1_optional,1,BLK-S1-001,../04_gap_analysis/feature281_disposition.csv
F4-P1-011,PHASE1_SUPPORTING,unit_system,デフォルト単位ルト単位値,Phase1_optional,1,BLK-S1-001,../04_gap_analysis/feature281_disposition.csv
F4-P1-012,PHASE1_REQUIRED,bridge_basic_conditions,適用規模_主桁本数,Phase1_required,1,BLK-S1-001,../04_gap_analysis/feature281_disposition.csv
F4-P1-013,PHASE1_REQUIRED,bridge_basic_conditions,適用規模_主桁本数_鋼床版,Phase1_required,1,BLK-S1-001,../04_gap_analysis/feature281_disposition.csv
F4-P1-014,PHASE1_REQUIRED,bridge_basic_conditions,適用規模_横断線数,Phase1_required,1,BLK-S1-001,../04_gap_analysis/feature281_disposition.csv
F4-P1-015,PHASE1_SUPPORTING,bridge_basic_conditions,適用規模_格点数_RC鈑桁,Phase1_optional,1,BLK-S1-001,../04_gap_analysis/feature281_disposition.csv
F4-P1-016,PHASE1_REQUIRED,alignment,線形計算実行,Phase1_required,1,BLK-S1-001,../04_gap_analysis/feature281_disposition.csv
F4-P1-017,PHASE1_REQUIRED,project_management,フォルダ構成,Phase1_required,1,BLK-S1-001,../04_gap_analysis/feature281_disposition.csv
F4-P1-018,PHASE1_REQUIRED,girder_layout,コントロールプログラム,Phase1_required,1,BLK-S1-001,../04_gap_analysis/feature281_disposition.csv
F4-P1-020,PHASE1_SUPPORTING,bridge_basic_conditions,単位系ヘルプ記載,Phase1_optional,1,BLK-S1-001,../04_gap_analysis/feature281_disposition.csv
F4-P1-021,PHASE1_REQUIRED,alignment,線形計算起動,Phase1_required,1,BLK-S1-001,../04_gap_analysis/feature281_disposition.csv
F4-P1-023,PHASE1_REQUIRED,alignment,座標系指定,Phase1_required,1,BLK-S1-001,../04_gap_analysis/feature281_disposition.csv
F4-P1-024,PHASE1_REQUIRED,alignment,中心線作成,Phase1_required,1,BLK-S1-001,../04_gap_analysis/feature281_disposition.csv
F4-P1-028,PHASE1_REQUIRED,cross_slope,幅員線作成,Phase1_required,1,BLK-S1-001,../04_gap_analysis/feature281_disposition.csv
F4-P1-029,PHASE1_REQUIRED,alignment,橋台橋脚線作成,Phase1_required,1,BLK-S1-001,../04_gap_analysis/feature281_disposition.csv
F4-P1-030,PHASE1_REQUIRED,longitudinal_alignment,縦断勾配指定,Phase1_required,1,BLK-S1-001,../04_gap_analysis/feature281_disposition.csv
F4-P1-031,PHASE1_REQUIRED,cross_slope,横断勾配指定,Phase1_required,1,BLK-S1-001,../04_gap_analysis/feature281_disposition.csv
F4-P1-032,PHASE1_REQUIRED,cross_slope,高さ形状指定,Phase1_required,1,BLK-S1-001,../04_gap_analysis/feature281_disposition.csv
F4-P1-033,PHASE1_REQUIRED,member_line_assignment,橋形状設定,Phase1_required,1,BLK-S1-001,../04_gap_analysis/feature281_disposition.csv
F4-P1-034,PHASE1_REQUIRED,member_line_assignment,橋形状入力,Phase1_required,1,BLK-S1-001,../04_gap_analysis/feature281_disposition.csv
F4-P1-035,PHASE1_REQUIRED,cross_section_lines,横桁線作成,Phase1_required,1,BLK-S1-001,../04_gap_analysis/feature281_disposition.csv
F4-P1-036,PHASE1_REQUIRED,girder_layout,桁作成,Phase1_required,1,BLK-S1-001,../04_gap_analysis/feature281_disposition.csv
F4-P1-037,PHASE1_REQUIRED,alignment,座標変換,Phase1_required,1,BLK-S1-001,../04_gap_analysis/feature281_disposition.csv
F4-P1-038,PHASE1_REQUIRED,cross_section_lines,出力指定,Phase1_required,1,BLK-S1-001,../04_gap_analysis/feature281_disposition.csv
F4-P1-040,PHASE1_REQUIRED,cross_section_lines,線属性指定,Phase1_required,1,BLK-S1-001,../04_gap_analysis/feature281_disposition.csv
F4-P1-041,PHASE1_REQUIRED,longitudinal_alignment,線形計算変換,Phase1_required,1,BLK-S1-001,../04_gap_analysis/feature281_disposition.csv
