item,category,calc_raw,calc_unit,calc_locator,drawing_raw,drawing_unit,drawing_locator,normalized_value,normalized_unit,parity,discrepancy,phase2_action,source_status,human_confirmation
bridge_type,structure,鋼3径間連続少数鈑桁橋(非合成桁,合成断面担保),,calc_pdf_p7,鋼3径間連続少数鈑桁橋(非合成桁,合成断面担保),,drawing_pdf_p9,鋼3径間連続少数鈑桁橋,,MATCH,,confirm,SOURCE_CONFIRMED,
bridge_length,geometry,134.001,m (ACL上),calc_pdf_p7,134.001,m (ACL上),drawing_pdf_p9,134.001,m,MATCH,,confirm,SOURCE_CONFIRMED,
girder_length,geometry,133.151,m (ACL上),calc_pdf_p7,133.151,m (ACL上),drawing_pdf_p9,133.151,m,MATCH,,confirm,SOURCE_CONFIRMED,
span_1,geometry,40.201,m (ACL上),calc_pdf_p7,40.201,m (ACL上),drawing_pdf_p9,40.201,m,MATCH,,confirm,SOURCE_CONFIRMED,
span_2,geometry,51.000,m (ACL上),calc_pdf_p7,51.000,m (ACL上),drawing_pdf_p9,51.000,m,MATCH,,confirm,SOURCE_CONFIRMED,
span_3,geometry,40.200,m (ACL上),calc_pdf_p7,40.200,m (ACL上),drawing_pdf_p9,40.200,m,MATCH,,confirm,SOURCE_CONFIRMED,
total_width,geometry,8.010,m,calc_pdf_p7,8.010,m,drawing_pdf_p9,8.010,m,MATCH,,confirm,SOURCE_CONFIRMED,
effective_width,geometry,7.000,m (車道幅),calc_pdf_p7,7.000,m (車道幅),drawing_pdf_p9,7.000,m,MATCH,,confirm,SOURCE_CONFIRMED,
main_girder_1,member,AG1,,calc_pdf_p7,AG1,,drawing_pdf_p9,AG1,,MATCH,,confirm,SOURCE_CONFIRMED,
main_girder_2,member,AG2,,calc_pdf_p7,AG2,,drawing_pdf_p9,AG2,,MATCH,,confirm,SOURCE_CONFIRMED,
support_pier_1,member,PU15,,calc_pdf_p7,PU15,,drawing_pdf_p9,PU15,,MATCH,,confirm,SOURCE_CONFIRMED,
support_pier_2,member,PR1,,calc_pdf_p7,PR1,,drawing_pdf_p9,PR1,,MATCH,,confirm,SOURCE_CONFIRMED,
support_pier_3,member,PR2,,calc_pdf_p7,PR2,,drawing_pdf_p9,PR2,,MATCH,,confirm,SOURCE_CONFIRMED,
support_abutment_2,member,A2,,calc_pdf_p7,AR2,,drawing_pdf_p9,A2/AR2,,PARTIAL,calc uses A2 drawing uses AR2,"confirm physical identity, note notation",SOURCE_CONFIRMED,"calc=A2 drawing=AR2 same physical abutment"
skew_angle_PU15,geometry,94°14′27″,,calc_pdf_p7,94°14′27″,,drawing_pdf_p9,94°14′27″,,MATCH,,confirm,SOURCE_CONFIRMED,
skew_angle_PR1_PR2_AR2,geometry,90°00′00″,,calc_pdf_p7,90°00′00″,,drawing_pdf_p9,90°00′00″,,MATCH,,confirm,SOURCE_CONFIRMED,
curve_R1,geometry,R=160m (左まわり),m,calc_pdf_p7,R=160m (左まわり),m,drawing_pdf_p9,160,m,MATCH,,confirm,SOURCE_CONFIRMED,
curve_R2,geometry,R=3000m (右まわり),m,calc_pdf_p7,R=3000m (右まわり),m,drawing_pdf_p9,3000,m,MATCH,,confirm,SOURCE_CONFIRMED,
vertical_grade_start,geometry,i=6.000%,%,calc_pdf_p7,i=6.000%,%,drawing_pdf_p9,6.000,%,MATCH,,confirm,SOURCE_CONFIRMED,
vertical_grade_end,geometry,i=0.100%,%,calc_pdf_p7,i=0.100%,%,drawing_pdf_p9,0.100,%,MATCH,,confirm,SOURCE_CONFIRMED,
