calculation_chapter,calculation_section,calculation_range_printed,calculation_range_pdf,drawing_group,drawing_sheet_range,relationship_type,evidence_strength,direct_reference,source_status,notes
Ch1,設計条件,1-10,6-15,位置図・橋梁一般図・上部工構造一般図,1-9,SHARED_ENTITY_AND_VALUE,STRONG,NOT_FOUND,SOURCE_CONFIRMED,Design conditions replicated verbatim on drawing sheet 8 title block
Ch2,合成床版の設計,11-109,16-114,合成床版割付図・スタッド配置図,84,39-44,SHARED_ENTITY_ONLY,MODERATE,NOT_FOUND,SOURCE_CONFIRMED,
3.1,主構断面力の計算,111-285,116-290,主桁AG1/AG2,21-38,SHARED_ENTITY_ONLY,MODERATE,NOT_FOUND,SOURCE_CONFIRMED,
3.2,主桁の設計,286-669,291-674,主桁AG1/AG2,21-38,SHARED_ENTITY_AND_VALUE,STRONG,NOT_FOUND,SOURCE_CONFIRMED,Section dimensions should match girder detail drawings
3.3,横桁の設計,670-759,675-764,横桁,45-60,SHARED_ENTITY_ONLY,MODERATE,NOT_FOUND,SOURCE_CONFIRMED,
3.4,端部ブラケットの設計,760-782,765-787,横桁,45-60,SHARED_ENTITY_ONLY,MODERATE,NOT_FOUND,SOURCE_CONFIRMED,
3.5,横構の設計,783-811,788-816,上下横構,61-71,SHARED_ENTITY_ONLY,MODERATE,NOT_FOUND,SOURCE_CONFIRMED,
3.6,巻き立てコンクリートの設計,812-835,817-840,巻き立てコンクリート,72-83,SHARED_ENTITY_ONLY,MODERATE,NOT_FOUND,SOURCE_CONFIRMED,
3.7,疲労設計,837-865,842-870,,,NO_RELATION_FOUND,NONE,NOT_FOUND,SOURCE_CONFIRMED,Fatigue is verification-only; no direct drawing output
4.1,主構断面力の計算(合成),867-1277,872-1282,主桁AG1/AG2,21-38,SHARED_ENTITY_ONLY,MODERATE,NOT_FOUND,SOURCE_CONFIRMED,
4.2,主桁の設計(合成),1278-2020,1283-2025,主桁AG1/AG2,21-38,SHARED_ENTITY_AND_VALUE,STRONG,NOT_FOUND,SOURCE_CONFIRMED,
5.1,支承の設計,2022-2184,2027-2189,支承詳細図,85-88,SHARED_ENTITY_ONLY,MODERATE,NOT_FOUND,SOURCE_CONFIRMED,
5.2,段差防止構造の設計,2185-2192,2190-2197,段差防止構造,135-136,SHARED_ENTITY_ONLY,MODERATE,NOT_FOUND,SOURCE_CONFIRMED,
5.3,排水の設計,2193-2200,2198-2205,上部工排水装置・橋面排水工,101-115,SHARED_ENTITY_ONLY,MODERATE,NOT_FOUND,SOURCE_CONFIRMED,
5.4,伸縮装置の設計,2201-2221,2206-2226,伸縮装置,89-92,SHARED_ENTITY_ONLY,MODERATE,NOT_FOUND,SOURCE_CONFIRMED,
