chapter,section,title,toc_printed_start,observed_pdf_start,observed_pdf_end,observed_printed_start,observed_printed_end,numbering_segment,category,status,locator,notes
1,ch1,第1章 設計条件,1,6,15,1,10,1-10,design_conditions,SOURCE_CONFIRMED,calc_pdf_p6,
1,1.1,設計条件,2,7,9,2,4,2-4,design_conditions,SOURCE_CONFIRMED,calc_pdf_p7,
1,1.2,上部工構造一般図,3,8,9,3,4,3-4,design_conditions,SOURCE_CONFIRMED,calc_pdf_p8,
1,1.3,基本寸法一覧,5,10,15,5,10,5-10,design_conditions,SOURCE_CONFIRMED,calc_pdf_p10,
2,ch2,第2章 合成床版の設計,11,16,114,11,109,11-109,composite_deck,SOURCE_CONFIRMED,calc_pdf_p16,
2,2.1,一般部,12,17,69,12,64,12-64,composite_deck,SOURCE_CONFIRMED,calc_pdf_p17,
2,2.2,桁端部,65,70,114,65,109,65-109,composite_deck,SOURCE_CONFIRMED,calc_pdf_p70,
3,ch3,第3章 非合成桁の設計,110,115,870,110,865,110-865,non_composite_girder,SOURCE_CONFIRMED,calc_pdf_p115,
3,3.1,主構断面力の計算,111,116,290,111,285,111-285,main_frame_force,SOURCE_CONFIRMED,calc_pdf_p116,
3,3.1.1,解析方針,112,117,117,112,112,112,main_frame_force,SOURCE_CONFIRMED,calc_pdf_p117,
3,3.1.2,荷重強度,113,118,139,113,134,113-134,main_frame_force,SOURCE_CONFIRMED,calc_pdf_p118,
3,3.1.3,格点座標,135,140,140,135,135,135,main_frame_force,SOURCE_CONFIRMED,calc_pdf_p140,
3,3.1.4,格点番号および部材番号,136,141,141,136,136,136,main_frame_force,SOURCE_CONFIRMED,calc_pdf_p141,
3,3.1.5,仮定剛度,137,142,143,137,138,137-138,main_frame_force,SOURCE_CONFIRMED,calc_pdf_p142,
3,3.1.6,格子解析データ,139,144,179,139,174,139-174,main_frame_force,SOURCE_CONFIRMED,calc_pdf_p144,
3,3.1.7,格子解析結果,175,180,221,175,216,175-216,main_frame_force,SOURCE_CONFIRMED,calc_pdf_p180,
3,3.1.8,反力および活荷重回転角,217,222,276,217,271,217-271,main_frame_force,SOURCE_CONFIRMED,calc_pdf_p222,
