sheet_number,pdf_page,catalog_title,title_block_title,group,part,scale,bridge_name,work_name,route_name,date,revision,numbering_parity,catalog_title_parity,source_status,locator,notes
1,3,位置図,旭高架橋 Aランプ PU15ｰAR2 位置図,location,1,,旭高架橋 Aランプ PU15-AR2,上部工（金沢IC Aランプ）,一般国道247号（西知多道路）,令和5年3月,NOT_FOUND,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p3,
2,4,橋梁一般図（その1）,旭高架橋 Aランプ PU15ｰAR2 橋梁一般図(その1),general,1,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p4,
3,5,橋梁一般図（その2）,旭高架橋 Aランプ PU15ｰAR2 橋梁一般図(その2),general,2,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p5,
4,6,橋梁一般図（その3）,旭高架橋 Aランプ PU15ｰAR2 橋梁一般図(その3),general,3,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p6,
5,7,数量総括表（その1）,旭高架橋 Aランプ PU15ｰAR2 数量総括表(その1),quantities,1,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p7,
6,8,数量総括表（その2）,旭高架橋 Aランプ PU15ｰAR2 数量総括表(その2),quantities,2,,旭高架橋 Aランプ PU15-AR2,上部工（金沢IC Aランプ）,一般国道247号（西知多道路）,令和5年3月,NOT_FOUND,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p8,
7,9,数量総括表（その3）,旭高架橋 Aランプ PU15ｰAR2 数量総括表(その3),quantities,3,,旭高架橋 Aランプ PU15-AR2,上部工（金沢IC Aランプ）,一般国道247号（西知多道路）,令和5年3月,NOT_FOUND,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p9,
8,10,上部工構造一般図（その1）,旭高架橋 Aランプ PU15ｰAR2 上部工構造一般図(その1),structure_general,1,S=1:200,旭高架橋 Aランプ PU15-AR2,上部工（金沢IC Aランプ）,一般国道247号（西知多道路）,令和5年3月,NOT_FOUND,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p10,
9,11,上部工構造一般図（その2）,旭高架橋 Aランプ PU15ｰAR2 上部工構造一般図(その2),structure_general,2,S=1:50,旭高架橋 Aランプ PU15-AR2,上部工（金沢IC Aランプ）,一般国道247号（西知多道路）,令和5年3月,NOT_FOUND,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p11,
10,12,線形図（その1）,旭高架橋 Aランプ PU15ｰAR2 線形図(その1),alignment,1,,旭高架橋 Aランプ PU15-AR2,,,,,MATCH,MATCH,SOURCE_CONFIRMED,drawing_pdf_p12,
