source,pdf_page,printed_page,drawing_sheet,chapter_id,section_id,anchor_kind,summary,entity,paired_anchor,classification,method,locator
calc,1,,,cover,cover,表紙,令和3年度 道路改良工事の内橋梁詳細設計業務（知－5） 第18編 上部工設計計算書（ランプ橋）,business_name,drawing_pdf_p1,SOURCE_CONFIRMED,text_extract,calc_pdf_p1
calc,2,,,title,title,タイトル,金沢IC Aランプ橋 3径間連続鈑桁橋,title,calc_pdf_p1,SOURCE_CONFIRMED,text_extract,calc_pdf_p2
calc,3,,,toc,toc,目次,設計条件 合成床版 非合成桁 合成桁 付属物,structure,calc_pdf_p3-5,SOURCE_CONFIRMED,text_extract,calc_pdf_p3
calc,6,1,ch1,1.1,章開始,第1章 設計条件,chapter_start,drawing_pdf_p8,SOURCE_CONFIRMED,text_extract,calc_pdf_p6
calc,7,2,ch1,1.1,設計条件,設計条件一覧: 橋長 桁長 支間長 幅員 線形 R=160 R=3000,design_conditions,drawing_pdf_p8,SOURCE_CONFIRMED,text_extract,calc_pdf_p7
calc,8,3,ch1,1.2,一般図,上部工構造一般図(その1),general_arrangement,drawing_pdf_p8,SOURCE_CONFIRMED,text_extract,calc_pdf_p8
calc,10,5,ch1,1.3,基本寸法一覧,基本寸法一覧,basic_dimensions,drawing_pdf_p13-16,SOURCE_CONFIRMED,text_extract,calc_pdf_p10
calc,11,11,ch2,2,章開始,第2章 合成床版の設計,chapter_start,drawing_pdf_p84,SOURCE_CONFIRMED,text_extract,calc_pdf_p11
calc,110,110,ch3,3,章開始,第3章 非合成桁の設計,chapter_start,drawing_pdf_p21-38,SOURCE_CONFIRMED,text_extract,calc_pdf_p110
calc,866,866,ch4,4,章開始,第4章 合成桁の設計,chapter_start,drawing_pdf_p21-38,SOURCE_CONFIRMED,text_extract,calc_pdf_p866
calc,2021,2021,ch5,5,章開始,第5章 付属物の設計,chapter_start,drawing_pdf_p85-92,SOURCE_CONFIRMED,text_extract,calc_pdf_p2021
calc,2221,2221,,end,end,END,END ----- 2221,end_marker,,SOURCE_CONFIRMED,text_extract,calc_pdf_p2221
drawing,1,,,cover,cover,表紙,令和3年度 道路改良工事の内橋梁詳細設計業務（知－5） 上部工（金沢IC Aランプ）,business_name,calc_pdf_p1,SOURCE_CONFIRMED,text_extract,drawing_pdf_p1
drawing,2,,,catalog,catalog,図面目録,全141葉 図面名称一覧,sheet_catalog,calc_pdf_p3,SOURCE_CONFIRMED,text_extract,drawing_pdf_p2
drawing,3,,1,,,位置図,旭高架橋 Aランプ PU15-AR2 位置図,location_map,,SOURCE_CONFIRMED,text_extract,drawing_pdf_p3
drawing,5,,2-4,,,橋梁一般図(その1-3),3 sheets,general_arrangement,calc_pdf_p8,SOURCE_CONFIRMED,text_extract,drawing_pdf_p5-7
drawing,9,,8,ch1,1.2,上部工構造一般図(その1),上部工構造一般図 設計条件一覧,general_arrangement,calc_pdf_p8,SOURCE_CONFIRMED,text_extract,drawing_pdf_p9
drawing,141,,141,,,架設計画図,架設計画図,erection_plan,,SOURCE_CONFIRMED,text_extract,drawing_pdf_p141
apollo_manual,1,,,,cover,表紙,Apollo SuperDesigner & SuperDrawing 鋼橋の自動設計製図システム 2002年4月,title,,SOURCE_CONFIRMED,text_extract,manual_pdf_p1
