formula_id,pdf_page_number,printed_page_number,chapter_id,section_id,formula_label_raw,expression_raw,variable_symbols,semantic_class,source_locator,confidence,verification_status
CH2-FML-001,19,14,CH2,CAL-SEC-2.1,合成床版厚算定式,hc=25×L+110=223mm,L,deck_thickness,calc_pdf_p19,HIGH,UNVERIFIED
CH2-FML-002,20,15,CH2,CAL-SEC-2.1,膜作用主鉄筋方向曲げモーメント,My=βy×p0×a² =0.01250×6.325×0.625²=0.031 kN･m/m,βy|p0|a,deck_moment,calc_pdf_p20,HIGH,UNVERIFIED
CH2-FML-003,20,15,CH2,CAL-SEC-2.1,膜作用配力筋方向曲げモーメント,Mx=βx×p0×a² =0.04170×6.325×0.625²=0.103 kN･m/m,βx|p0|a,deck_moment,calc_pdf_p20,HIGH,UNVERIFIED
CH2-FML-004,21,16,CH2,CAL-SEC-2.1,梁モデル荷重強度,wd=0.625×p0=0.625×6.325=3.95 kN/m,p0,load_intensity,calc_pdf_p21,HIGH,UNVERIFIED
CH2-FML-005,22,17,CH2,CAL-SEC-2.1,舗装死荷重曲げモーメント,Md=w×L²/8=(22.5×0.080)×4.512²/8=4.58 kN･m/m,w|L,deck_moment,calc_pdf_p22,HIGH,UNVERIFIED
CH2-FML-006,22,17,CH2,CAL-SEC-2.1,T荷重支間割増係数,K=1.125+(L-4.0)/26=1.145,L,increase_factor,calc_pdf_p22,HIGH,UNVERIFIED
CH2-FML-007,22,17,CH2,CAL-SEC-2.1,活荷重曲げモーメント主鉄筋方向,Mly=(0.12L+0.07)×P×K=(0.12×4.512+0.07)×100×1.145=70.01 kN･m/m,L|P|K,deck_moment,calc_pdf_p22,HIGH,UNVERIFIED
CH2-FML-008,22,17,CH2,CAL-SEC-2.1,活荷重曲げモーメント配力筋方向,Mlx=(0.10L+0.04)×P=(0.10×4.512+0.04)×100=49.12 kN･m/m,L|P,deck_moment,calc_pdf_p22,HIGH,UNVERIFIED
CH2-FML-009,23,18,CH2,CAL-SEC-2.1,張出部T荷重活荷重曲げモーメント,Mly=-P×L/(1.3L+0.25)×K×α=-100×1.004/(1.3×1.004+0.25)×1.00×1.00=-64.56 kN･m/m,P|L|K|α,deck_moment,calc_pdf_p23,HIGH,UNVERIFIED
CH2-FML-010,30,25,CH2,CAL-SEC-2.1,疲労応力度照査鋼板下面,σfy=My/W=0.031×10⁶/10667=2.9 N/mm²,My|W,stress_check,calc_pdf_p30,HIGH,UNVERIFIED
CH2-FML-011,31,26,CH2,CAL-SEC-2.1,スタッドせん断力算定式,Vd=k1×k2×(0.04L+0.72)×P=29.61 kN/m,k1|k2|L|P,shear_force,calc_pdf_p31,HIGH,UNVERIFIED
