table_id,pdf_page_number,printed_page_number,chapter_id,section_id,title_raw,header_raw,row_key,column_key,cell_raw_text,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,source_locator,confidence,verification_status
CH2-TBL-001,18,13,CH2,CAL-SEC-2.1,各部構成,構成項目|値|単位,総幅員,値,8032,8032,mm,8032,mm,deck_property,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-002,18,13,CH2,CAL-SEC-2.1,各部構成,構成項目|値|単位,舗装厚,値,80,80,mm,80,mm,deck_property,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-003,18,13,CH2,CAL-SEC-2.1,各部構成,構成項目|値|単位,床版支間長(支間部),値,4512,4512,mm,4512,mm,deck_property,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-004,18,13,CH2,CAL-SEC-2.1,各部構成,構成項目|値|単位,床版支間長(張出部),値,1760,1760,mm,1760,mm,deck_property,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-005,18,13,CH2,CAL-SEC-2.1,材料(鋼板),項目|値|単位,材質,,,SM490Y,,SM490Y,,material,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-006,18,13,CH2,CAL-SEC-2.1,材料(鋼板),項目|値|単位,引張応力度制限値,,,210,N/mm2,210,N/mm2,material,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-007,18,13,CH2,CAL-SEC-2.1,材料(鋼板),項目|値|単位,引張降伏強度,,,355,N/mm2,355,N/mm2,material,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-008,18,13,CH2,CAL-SEC-2.1,材料(鋼板),項目|値|単位,圧縮降伏強度,,,355,N/mm2,355,N/mm2,material,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-009,18,13,CH2,CAL-SEC-2.1,材料(横リブ),項目|値|単位,材質,,,SS400,,SS400,,material,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-010,18,13,CH2,CAL-SEC-2.1,材料(横リブ),項目|値|単位,引張降伏強度,,,235,N/mm2,235,N/mm2,material,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-011,18,13,CH2,CAL-SEC-2.1,材料(横リブ),項目|値|単位,圧縮降伏強度,,,235,N/mm2,235,N/mm2,material,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-012,18,13,CH2,CAL-SEC-2.1,材料(鉄筋),項目|値|単位,材質,,,SD345,,SD345,,material,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-013,18,13,CH2,CAL-SEC-2.1,材料(鉄筋),項目|値|単位,引張応力度制限値(疲労),,,120,N/mm2,120,N/mm2,material,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-014,18,13,CH2,CAL-SEC-2.1,材料(鉄筋),項目|値|単位,引張応力度制限値(腐食),,,100,N/mm2,100,N/mm2,material,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-015,18,13,CH2,CAL-SEC-2.1,材料(鉄筋),項目|値|単位,引張降伏強度,,,345,N/mm2,345,N/mm2,material,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-016,18,13,CH2,CAL-SEC-2.1,材料(鉄筋),項目|値|単位,圧縮降伏強度,,,345,N/mm2,345,N/mm2,material,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-017,18,13,CH2,CAL-SEC-2.1,材料(コンクリート),項目|値|単位,設計基準強度,,,30,N/mm2,30,N/mm2,material,calc_pdf_p18,HIGH,UNVERIFIED
CH2-TBL-018,18,13,CH2,CAL-SEC-2.1,材料(コンクリート),項目|値|単位,曲げ圧縮応力度制限値,,,8.6,N/mm2,8.6,N/mm2,material,calc_pdf_p18,HIGH,UNVERIFIED
