value_id,pdf_page_number,printed_page_number,chapter_id,section_id,label_raw,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,parent_table_id,source_locator,confidence,verification_status
CH2-VAL-001,18,13,CH2,CAL-SEC-2.1,総幅員,8032,mm,8032,mm,deck_property,CH2-TBL-001,chapter_02/values.csv,HIGH,UNVERIFIED
CH2-VAL-002,18,13,CH2,CAL-SEC-2.1,舗装厚,80,mm,80,mm,deck_property,CH2-TBL-001,chapter_02/values.csv,HIGH,UNVERIFIED
CH2-VAL-003,18,13,CH2,CAL-SEC-2.1,床版支間長(支間部),4512,mm,4512,mm,deck_property,CH2-TBL-001,chapter_02/values.csv,HIGH,UNVERIFIED
CH2-VAL-004,18,13,CH2,CAL-SEC-2.1,床版支間長(張出部),1760,mm,1760,mm,deck_property,CH2-TBL-001,chapter_02/values.csv,HIGH,UNVERIFIED
CH2-VAL-005,18,13,CH2,CAL-SEC-2.1,活荷重,B活荷重,,B活荷重,,live_load,,chapter_02/values.csv,HIGH,UNVERIFIED
CH2-VAL-006,18,13,CH2,CAL-SEC-2.1,風荷重(外風側),3.00,kN/m2,3.00,kN/m2,wind_load,,chapter_02/values.csv,HIGH,UNVERIFIED
CH2-VAL-007,18,13,CH2,CAL-SEC-2.1,風荷重(内風側),1.50,kN/m2,1.50,kN/m2,wind_load,,chapter_02/values.csv,HIGH,UNVERIFIED
CH2-VAL-008,18,13,CH2,CAL-SEC-2.1,衝突荷重,13.0,kN/m,13.0,kN/m,collision_load,,chapter_02/values.csv,HIGH,UNVERIFIED
CH2-VAL-009,18,13,CH2,CAL-SEC-2.1,鋼板材質,SM490Y,,SM490Y,,steel_grade,,chapter_02/values.csv,HIGH,UNVERIFIED
CH2-VAL-010,18,13,CH2,CAL-SEC-2.1,鋼板引張応力度制限値,210,N/mm2,210,N/mm2,stress_limit,,chapter_02/values.csv,HIGH,UNVERIFIED
CH2-VAL-011,18,13,CH2,CAL-SEC-2.1,鋼板引張降伏強度,355,N/mm2,355,N/mm2,yield_strength,,chapter_02/values.csv,HIGH,UNVERIFIED
CH2-VAL-012,18,13,CH2,CAL-SEC-2.1,鋼板圧縮降伏強度,355,N/mm2,355,N/mm2,yield_strength,,chapter_02/values.csv,HIGH,UNVERIFIED
CH2-VAL-013,18,13,CH2,CAL-SEC-2.1,横リブ材質,SS400,,SS400,,steel_grade,,chapter_02/values.csv,HIGH,UNVERIFIED
CH2-VAL-014,18,13,CH2,CAL-SEC-2.1,横リブ引張降伏強度,235,N/mm2,235,N/mm2,yield_strength,,chapter_02/values.csv,HIGH,UNVERIFIED
CH2-VAL-015,18,13,CH2,CAL-SEC-2.1,横リブ圧縮降伏強度,235,N/mm2,235,N/mm2,yield_strength,,chapter_02/values.csv,HIGH,UNVERIFIED
CH2-VAL-016,18,13,CH2,CAL-SEC-2.1,鉄板材質,SD345,,SD345,,rebar_grade,,chapter_02/values.csv,HIGH,UNVERIFIED
CH2-VAL-017,18,13,CH2,CAL-SEC-2.1,鉄筋引張応力度制限値(疲労),120,N/mm2,120,N/mm2,stress_limit,,chapter_02/values.csv,HIGH,UNVERIFIED
CH2-VAL-018,18,13,CH2,CAL-SEC-2.1,鉄筋引張応力度制限値(腐食),100,N/mm2,100,N/mm2,stress_limit,,chapter_02/values.csv,HIGH,UNVERIFIED
CH2-VAL-019,18,13,CH2,CAL-SEC-2.1,鉄筋引張降伏強度,345,N/mm2,345,N/mm2,yield_strength,,chapter_02/values.csv,HIGH,UNVERIFIED
CH2-VAL-020,18,13,CH2,CAL-SEC-2.1,コンクリート設計基準強度,30,N/mm2,30,N/mm2,concrete_strength,,chapter_02/values.csv,HIGH,UNVERIFIED
CH2-VAL-021,18,13,CH2,CAL-SEC-2.1,曲げ圧縮応力度制限値,8.6,N/mm2,8.6,N/mm2,stress_limit,,chapter_02/values.csv,HIGH,UNVERIFIED
CH2-VAL-022,19,14,CH2,CAL-SEC-2.1,合成床版厚,230,mm,230,mm,deck_thickness,CH2-TBL-003,chapter_02/values.csv,HIGH,UNVERIFIED
CH2-VAL-023,19,14,CH2,CAL-SEC-2.1,RC版厚(支間部),222,mm,222,mm,deck_thickness,CH2-TBL-003,chapter_02/values.csv,HIGH,UNVERIFIED
CH2-VAL-024,19,14,CH2,CAL-SEC-2.1,RC版厚(支点部),330,mm,330,mm,deck_thickness,CH2-TBL-003,chapter_02/values.csv,HIGH,UNVERIFIED
CH2-VAL-025,19,14,CH2,CAL-SEC-2.1,ハンチ高,100,mm,100,mm,haunch_height,CH2-TBL-003,chapter_02/values.csv,HIGH,UNVERIFIED
