formula_id,pdf_page_number,printed_page_number,chapter_id,section_id,formula_label_raw,expression_raw,variable_symbols,referenced_standard_raw,semantic_class,source_locator,confidence,verification_status
CAL-FML-P00121-001,121,116,CAL-CH3,CAL-SEC-3.1.2,ハンチ荷重 W, W = (1.660 + 0.660) / 2 x 0.100 x 24.5 = 2.842 kN/m,"W, 1.660, 0.660, 0.100, 24.5",,NUMERIC_SUBSTITUTION,CAL-P00121,HIGH,UNVERIFIED
CAL-FML-P00121-002,121,116,CAL-CH3,CAL-SEC-3.1.2,壁高欄重心位置 e, e = sum(A*X)/sum(A) = 77755850/404550 = 192 mm,"e, A, X, sum",,DERIVED_VALUE,CAL-P00121,HIGH,UNVERIFIED
CAL-FML-P00121-003,121,116,CAL-CH3,CAL-SEC-3.1.2,壁高欄荷重 Wd, Wd = sum(A) x 24.5 / 1000 = 404550 x 24.5 / 1000 = 9.911 kN/m → 9.920 kN/m,"Wd, A, 24.5",,NUMERIC_SUBSTITUTION,CAL-P00121,HIGH,UNVERIFIED
CAL-FML-P00122-001,122,117,CAL-CH3,CAL-SEC-3.1.2,左側壁高欄調整 S1, W = 0.000 kN/m (ノーズ部控除),W,,,NUMERIC_SUBSTITUTION,CAL-P00122,HIGH,UNVERIFIED
CAL-FML-P00122-002,122,117,CAL-CH3,CAL-SEC-3.1.2,左側壁高欄調整 C1, W = 9.920 x 1.319 / (2.735 + 2.495) = 2.502 kN/m,"W, 9.920, 1.319, 2.735, 2.495",,NUMERIC_SUBSTITUTION,CAL-P00122,HIGH,UNVERIFIED
CAL-FML-P00122-003,122,117,CAL-CH3,CAL-SEC-3.1.2,左側壁高欄調整 C2以降, W = 9.920 kN/m,W,,,NUMERIC_SUBSTITUTION,CAL-P00122,HIGH,UNVERIFIED
CAL-FML-P00122-004,122,117,CAL-CH3,CAL-SEC-3.1.2,左側遮音壁調整 C1, W = 2.100 x 1.319 / (2.735 + 2.495) = 0.530 kN/m,"W, 2.100, 1.319, 2.735, 2.495",,NUMERIC_SUBSTITUTION,CAL-P00122,HIGH,UNVERIFIED
CAL-FML-P00124-001,124,119,CAL-CH3,CAL-SEC-3.1.2,ノーズ地覆荷重 GE1, W = {(0.326 - 0.125)/2 + 0.290 x 0.180 / 2} x 0.823 x 24.5 = 5.935 kN/m,"W, 0.326, 0.125, 0.290, 0.180, 0.823, 24.5",,NUMERIC_SUBSTITUTION,CAL-P00124,HIGH,UNVERIFIED
CAL-FML-P00124-002,124,119,CAL-CH3,CAL-SEC-3.1.2,ノーズ地覆荷重 S1, W = {(0.328 - 0.125)/2 + 0.290 x 0.180 / 2} x 0.890 x 24.5 = 6.462 kN/m,"W, 0.328, 0.125, 0.290, 0.180, 0.890, 24.5",,NUMERIC_SUBSTITUTION,CAL-P00124,HIGH,UNVERIFIED
CAL-FML-P00124-003,124,119,CAL-CH3,CAL-SEC-3.1.2,ノーズ地覆荷重 A部, W = {(0.336 - 0.125)/2 + 0.290 x 0.180 / 2} x 1.101 x 24.5 = 8.167 kN/m,"W, 0.336, 0.125, 0.290, 0.180, 1.101, 24.5",,NUMERIC_SUBSTITUTION,CAL-P00124,HIGH,UNVERIFIED
