pdf_page,printed_page,subsection,title,element_type,content_summary
291,286,3.2,主桁の設計,header,"Section 3.2 Main Girder Design start"
292,287,3.2.1,設計方針,text,"Design policy: partial safety factor method, limit states"
293,288,3.2.1,設計方針,text,"Bending member verification equations (limit state 3)"
294,289,3.2.1,設計方針,text,"Shear member verification (limit state 3)"
295,290,3.2.1,設計方針,text,"Combined bending+shear (limit state 1), design policy"
296,291,3.2.1,設計方針,text,"Design policy: materials SM520/SM490Y/SM400, flange width 620/680mm, web 14mm, splice rules"
297,292,3.2.2,断面の決定,text,"Section determination start"
298,293,3.2.2,断面の決定(table),table,"AG1 Sec-1 section properties: UFLG 620x22 + WEB 2537x14 + LFLG 680x21"
299,294,3.2.2,断面の決定(table),table,"AG1 Sec-1(J-1): UFLG 620x22 + WEB 2657x14 + LFLG 680x21"
300,295,3.2.2,断面の決定(table),table,"AG1 Sec-2(J-2): UFLG 620x27 + WEB 2652x14 + LFLG 680x21"
301,296,3.2.2,断面の決定(table),table,"AG1 Sec-3(Mx-Max): UFLG 620x27 + WEB 2652x14 + LFLG 680x21"
302,297,3.2.2,断面の決定(table),table,"AG1 Sec-4(J-3): UFLG 620x25 + WEB 2654x14 + LFLG 680x21"
303,298,3.2.2,断面の決定(table),table,"AG1 Sec-4(J-4): UFLG 620x25 + WEB 2654x14 + LFLG 680x21"
304,299,3.2.2,断面の決定(table),table,"AG1 Sec-5(左): UFLG 620x27 + WEB 2643x14 + LFLG 680x30"
305,300,3.2.2,断面の決定(table),table,"AG1 Sec-5(J-5): UFLG 620x27 + WEB 2643x14 + LFLG 680x30"
306,301,3.2.2,断面の決定(table),table,"AG1 Sec-6(Mx-Min_L): UFLG 620x39 + WEB 2614x14 + LFLG 680x47(SM520-H)"
307,302,3.2.2,断面の決定(table),table,"AG1 Sec-6(Mx-Min_R): UFLG 620x39 + WEB 2614x14 + LFLG 680x47(SM520-H)"
