table_id,pdf_page,subsection,table_title,row_data
T01,293,3.2.2.1,"AG1 Sec-1 section properties","UFLG,PL 620*22(SM490Y),A=136.40cm2,Y=-127.95cm,AY=-17452cm3,I=2233032cm4"
T01a,293,3.2.2.1,"AG1 Sec-1 section properties","WEB,PL 2537*14(SM490Y),A=355.18cm2,Y=0.00cm,AY=0cm3,I=1905058cm4"
T01b,293,3.2.2.1,"AG1 Sec-1 section properties","LFLG,PL 680*21(SM490Y),A=142.80cm2,Y=127.90cm,AY=18264cm3,I=2335981cm4"
T01c,293,3.2.2.1,"AG1 Sec-1 section properties","TOTAL,A=634.38cm2,AY=812cm3,I=6474071cm4,E=1.28cm"
T01d,293,3.2.2.1,"AG1 Sec-1 results","I=6473032cm4,Yu=-130.33cm,YL=127.67cm,σb(U)=0N/mm2,σb(L)=0N/mm2,τb=51N/mm2,κ=0.11"
T02,294,3.2.2.1,"AG1 Sec-1(J-1) section","UFLG,PL 620*22(SM490Y),A=136.40cm2,Y=-133.95cm,AY=-18271cm3,I=2447371cm4"
T02a,294,3.2.2.1,"AG1 Sec-1(J-1) section","WEB,PL 2657*14(SM490Y),A=371.98cm2,Y=0.00cm,AY=0cm3,I=2188374cm4"
T02b,294,3.2.2.1,"AG1 Sec-1(J-1) section","LFLG,PL 680*21(SM490Y),A=142.80cm2,Y=133.90cm,AY=19121cm3,I=2560291cm4"
T02c,294,3.2.2.1,"AG1 Sec-1(J-1) results","TOTAL,A=651.18cm2,AY=850cm3,I=7196036cm4,E=1.31cm,I=7194926cm4,Yu=-136.36cm,YL=133.64cm"
T02d,294,3.2.2.1,"AG1 Sec-1(J-1) stresses","σb(U)=-185N/mm2<σcud=193,σb(L)=181N/mm2<σtud=272,τb=29N/mm2,κ=0.48"
T03,295,3.2.2.1,"AG1 Sec-2(J-2) section","UFLG:620*27,LFLG:680*21,WEB:2652*14,σb(U)=-227<σcud=247,σb(L)=243<σtud=272,τb=15,κ=0.79"
T04,296,3.2.2.1,"AG1 Sec-3(Mx-Max) section","UFLG:620*27,LFLG:680*21,WEB:2652*14,σb(U)=-232<σcud=247,σb(L)=249<σtud=272,τb=12,κ=0.82"
T05,297,3.2.2.1,"AG1 Sec-4(J-3) section","UFLG:620*25,LFLG:680*21,WEB:2654*14,σb(U)=-206<σcud=225,σb(L)=213<σtud=272,τb=28,κ=0.63"
T06,298,3.2.2.1,"AG1 Sec-4(J-4) section","UFLG:620*25,LFLG:680*21,WEB:2654*14,σb(U)(+M)=-117<σcud=225,σb(L)(+M)=122<σtud=272"
T06a,298,3.2.2.1,"AG1 Sec-4(J-4) negative","σb(U)(-M)=58<σtud=272,σb(L)(-M)=-60<σcud=164,τb=43,κ=0.27/0.12"
T07,299,3.2.2.1,"AG1 Sec-5(左) section","UFLG:620*27,LFLG:680*30,WEB:2643*14,σb(U)(+M)=-108<σcud=247,σb(L)(+M)=98<σtud=272"
T07a,299,3.2.2.1,"AG1 Sec-5(左) negative","σb(U)(-M)=53<σtud=272,σb(L)(-M)=-48<σcud=250,τb=44,κ=0.23/0.11"
T08,300,3.2.2.1,"AG1 Sec-5(J-5) section","UFLG:620*27,LFLG:680*30,WEB:2643*14,σb(U)=241<σtud=272,σb(L)=-219<σcud=250,τb=66,κ=0.94"
T09,301,3.2.2.1,"AG1 Sec-6(Mx-Min_L)","UFLG:620*39(SM490Y),LFLG:680*47(SM520-H),WEB:2614*14,σb(U)=261<σtud=272,σb(L)=-222<σcud=250,τb=75,κ=1.10"
T10,302,3.2.2.1,"AG1 Sec-6(Mx-Min_R)","UFLG:620*39,LFLG:680*47(SM520-H),WEB:2614*14,σb(U)=261<σtud=272,σb(L)=-222<σcud=249,τb=75,κ=1.10"
T11,303,3.2.2.1,"AG1 Sec-7(J-6)","UFLG:620*26,LFLG:680*30,WEB:2644*14,σb(U)=240<σtud=272,σb(L)=-214<σcud=249,τb=66,κ=0.93"
T12,304,3.2.2.1,"AG1 Sec-7(右)","UFLG:620*26,LFLG:680*30,WEB:2644*14,σb(U)(+M)=-94<σcud=236,σb(L)(+M)=84<σtud=272"
