table_id,pdf_page_number,printed_page_number,chapter_id,section_id,title_raw,header_raw,row_key,column_key,cell_raw_text,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,source_locator,confidence,verification_status
CAL-TBL-P00876-001,876,871,CAL-CH4,CAL-SEC-4.1.2,合成前死荷重一覧(床版),荷重種別/厚さ/単位重量/荷重強度,床版,単位面積荷重,6.325 kN/m2,6.325,kN/m2,6.325,kN/m2,LOAD_VALUE,CAL-P00876-TBL,HIGH,UNVERIFIED
CAL-TBL-P00876-002,876,871,CAL-CH4,CAL-SEC-4.1.2,合成前死荷重一覧(床版),荷重種別/厚さ/単位重量/荷重強度,床版,床版厚,0.230 m,0.230,m,0.230,m,DIMENSION,CAL-P00876-TBL,HIGH,UNVERIFIED
CAL-TBL-P00876-003,876,871,CAL-CH4,CAL-SEC-4.1.2,合成前死荷重一覧(床版),荷重種別/厚さ/単位重量/荷重強度,床版,単位重量,27.5 kN/m3,27.5,kN/m3,27.5,kN/m3,MATERIAL_PROPERTY,CAL-P00876-TBL,HIGH,UNVERIFIED
CAL-TBL-P00876-004,876,871,CAL-CH4,CAL-SEC-4.1.2,合成前死荷重一覧(ハンチ),荷重種別/厚さ/単位重量/荷重強度,ハンチ(AG1,AG2),単位長さ荷重,2.842 kN/m,2.842,kN/m,2.842,kN/m,LOAD_VALUE,CAL-P00876-TBL,HIGH,UNVERIFIED
CAL-TBL-P00876-005,876,871,CAL-CH4,CAL-SEC-4.1.2,合成前死荷重一覧(鋼重),荷重種別/厚さ/単位重量/荷重強度,鋼重(AG1,AG2),単位長さ荷重,12.000 kN/m,12.000,kN/m,12.000,kN/m,LOAD_VALUE,CAL-P00876-TBL,HIGH,UNVERIFIED
CAL-TBL-P00876-006,876,871,CAL-CH4,CAL-SEC-4.1.2,合成前死荷重一覧(検査路),荷重種別/厚さ/単位重量/荷重強度,検査路,単位長さ荷重,1.000 kN/m,1.000,kN/m,1.000,kN/m,LOAD_VALUE,CAL-P00876-TBL,HIGH,UNVERIFIED
CAL-TBL-P00882-001,882,877,CAL-CH4,CAL-SEC-4.1.2,合成後死荷重一覧(舗装),荷重種別/厚さ/単位重量/荷重強度,舗装,単位面積荷重,1.800 kN/m2,1.800,kN/m2,1.800,kN/m2,LOAD_VALUE,CAL-P00882-TBL,HIGH,UNVERIFIED
CAL-TBL-P00882-002,882,877,CAL-CH4,CAL-SEC-4.1.2,合成後死荷重一覧(舗装),荷重種別/厚さ/単位重量/荷重強度,舗装,舗装厚,0.080 m,0.080,m,0.080,m,DIMENSION,CAL-P00882-TBL,HIGH,UNVERIFIED
CAL-TBL-P00882-003,882,877,CAL-CH4,CAL-SEC-4.1.2,合成後死荷重一覧(舗装),荷重種別/厚さ/単位重量/荷重強度,舗装,単位重量,22.5 kN/m3,22.5,kN/m3,22.5,kN/m3,MATERIAL_PROPERTY,CAL-P00882-TBL,HIGH,UNVERIFIED
CAL-TBL-P00882-004,882,877,CAL-CH4,CAL-SEC-4.1.2,合成後死荷重一覧(壁高欄),荷重種別/厚さ/単位重量/荷重強度,壁高欄 左側,単位長さ荷重,9.920 kN/m,9.920,kN/m,9.920,kN/m,LOAD_VALUE,CAL-P00882-TBL,HIGH,UNVERIFIED
CAL-TBL-P00882-005,882,877,CAL-CH4,CAL-SEC-4.1.2,合成後死荷重一覧(壁高欄),荷重種別/厚さ/単位重量/荷重強度,壁高欄 右側,単位長さ荷重,9.920 kN/m,9.920,kN/m,9.920,kN/m,LOAD_VALUE,CAL-P00882-TBL,HIGH,UNVERIFIED
CAL-TBL-P00882-006,882,877,CAL-CH4,CAL-SEC-4.1.2,合成後死荷重一覧(遮音壁),荷重種別/厚さ/単位重量/荷重強度,遮音壁 左側,単位長さ荷重,2.100 kN/m,2.100,kN/m,2.100,kN/m,LOAD_VALUE,CAL-P00882-TBL,HIGH,UNVERIFIED
CAL-TBL-P00882-007,882,877,CAL-CH4,CAL-SEC-4.1.2,合成後死荷重一覧(遮音壁),荷重種別/厚さ/単位重量/荷重強度,遮音壁 右側,単位長さ荷重,2.100 kN/m,2.100,kN/m,2.100,kN/m,LOAD_VALUE,CAL-P00882-TBL,HIGH,UNVERIFIED
CAL-TBL-P00882-008,882,877,CAL-CH4,CAL-SEC-4.1.2,合成後死荷重一覧(地覆),荷重種別/厚さ/単位重量/荷重強度,地覆,単位長さ荷重,2.100 kN/m,2.100,kN/m,2.100,kN/m,LOAD_VALUE,CAL-P00882-TBL,HIGH,UNVERIFIED
CAL-TBL-P00893-001,893,888,CAL-CH4,CAL-SEC-4.1.2,衝撃係数一覧,支間/支間長L/衝撃係数i,第1支間,衝撃係数,0.222,,0.222,,DERIVED_VALUE,CAL-P00893-TBL,HIGH,UNVERIFIED
CAL-TBL-P00893-002,893,888,CAL-CH4,CAL-SEC-4.1.2,衝撃係数一覧,支間/支間長L/衝撃係数i,第1支間,支間長L,40.156 m,40.156,m,40.156,m,DIMENSION,CAL-P00893-TBL,HIGH,UNVERIFIED
CAL-TBL-P00893-003,893,888,CAL-CH4,CAL-SEC-4.1.2,衝撃係数一覧,支間/支間長L/衝撃係数i,第2支承線上,衝撃係数,0.209,,0.209,,DERIVED_VALUE,CAL-P00893-TBL,HIGH,UNVERIFIED
