value_id,pdf_page_number,printed_page_number,chapter_id,section_id,label_raw,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,parent_table_id,parent_formula_id,source_locator,confidence,verification_status
CAL-VAL-P00873-001,873,868,CAL-CH4,CAL-SEC-4.1.1,解析方法-平面格子構造(合成桁),平面格子構造(合成前後2モデル),,,,NOTE,,,calc_pdf_p873,HIGH,UNVERIFIED
CAL-VAL-P00873-002,873,868,CAL-CH4,CAL-SEC-4.1.1,ヤング係数比n(合成後剛度算出用),7,,7,,PARAMETER,,,calc_pdf_p873,HIGH,UNVERIFIED
CAL-VAL-P00873-003,873,868,CAL-CH4,CAL-SEC-4.1.1,解析プログラム-APOLLO Analyzer,APOLLO Analyzer,,,,IDENTIFIER,,,calc_pdf_p873,HIGH,UNVERIFIED
CAL-VAL-P00873-004,873,868,CAL-CH4,CAL-SEC-4.1.1,クリープヤング係数比n,7,,7,,PARAMETER,,,calc_pdf_p873,HIGH,UNVERIFIED
CAL-VAL-P00873-005,873,868,CAL-CH4,CAL-SEC-4.1.1,乾燥収縮ヤング係数比n,7,,7,,PARAMETER,,,calc_pdf_p873,HIGH,UNVERIFIED
CAL-VAL-P00873-006,873,868,CAL-CH4,CAL-SEC-4.1.1,温度差ヤング係数比n,7,,7,,PARAMETER,,,calc_pdf_p873,HIGH,UNVERIFIED
CAL-VAL-P00876-001,876,871,CAL-CH4,CAL-SEC-4.1.2,床版厚,0.230,m,0.230,m,DIMENSION,,,calc_pdf_p876,HIGH,UNVERIFIED
CAL-VAL-P00876-002,876,871,CAL-CH4,CAL-SEC-4.1.2,床版単位重量,27.5,kN/m3,27.5,kN/m3,MATERIAL_PROPERTY,,,calc_pdf_p876,HIGH,UNVERIFIED
CAL-VAL-P00876-003,876,871,CAL-CH4,CAL-SEC-4.1.2,床版荷重強度,6.325,kN/m2,6.325,kN/m2,LOAD_VALUE,,,calc_pdf_p876,HIGH,UNVERIFIED
CAL-VAL-P00876-004,876,871,CAL-CH4,CAL-SEC-4.1.2,ハンチ荷重強度(AG1/AG2),2.842,kN/m,2.842,kN/m,LOAD_VALUE,,,calc_pdf_p876,HIGH,UNVERIFIED
CAL-VAL-P00876-005,876,871,CAL-CH4,CAL-SEC-4.1.2,鋼重荷重強度(AG1/AG2),12.000,kN/m,12.000,kN/m,LOAD_VALUE,,,calc_pdf_p876,HIGH,UNVERIFIED
CAL-VAL-P00876-006,876,871,CAL-CH4,CAL-SEC-4.1.2,検査路荷重強度,1.000,kN/m,1.000,kN/m,LOAD_VALUE,,,calc_pdf_p876,HIGH,UNVERIFIED
CAL-VAL-P00882-001,882,877,CAL-CH4,CAL-SEC-4.1.2,舗装厚,0.080,m,0.080,m,DIMENSION,,,calc_pdf_p882,HIGH,UNVERIFIED
CAL-VAL-P00882-002,882,877,CAL-CH4,CAL-SEC-4.1.2,舗装単位重量,22.5,kN/m3,22.5,kN/m3,MATERIAL_PROPERTY,,,calc_pdf_p882,HIGH,UNVERIFIED
