formula_id,pdf_page_number,printed_page_number,chapter_id,section_id,formula_label_raw,expression_raw,variable_symbols,referenced_standard_raw,semantic_class,source_locator,confidence,verification_status
CAL-FML-P01284-001,1284,1279,CAL-CH4,CAL-SEC-4.2.1,限界状態1照査式,γa*γf*Md + γa*γq*Mlive ≤ Mu/γb,,道示Ⅱ,DESIGN_POLICY,CAL-P01284,HIGH,UNVERIFIED
CAL-FML-P01284-002,1284,1279,CAL-CH4,CAL-SEC-4.2.1,限界状態3照査式,σ ≤ σa=fy/γm1,,道示Ⅱ,DESIGN_POLICY,CAL-P01284,HIGH,UNVERIFIED
CAL-FML-P01321-001,1321,1316,CAL-CH4,CAL-SEC-4.2.4,引張応力度制限値(限界状態3),σtud = ξ1*ξ2*Φut*σyk,σtud,ξ1=0.9,ξ2=1.0,Φut=0.85,σyk=355,道示Ⅱ式(5.4.22),STRESS_LIMIT_FORMULA,CAL-P01321,HIGH,UNVERIFIED
CAL-FML-P01321-002,1321,1316,CAL-CH4,CAL-SEC-4.2.4,横倒れ座屈パラメータK(合成前),K = √{3+Aw/(2*Ac)},K,Aw=35518,Ac=13640,道示Ⅱ式(5.4.25),FORMULA_DEFINITION,CAL-P01321,HIGH,UNVERIFIED
CAL-FML-P01321-003,1321,1316,CAL-CH4,CAL-SEC-4.2.4,横倒れ座屈パラメータα,α = 2/π*K*√(σyk/E)*L/b,α,K=2.074,σyk=355,E=200000,L=5344,b=620,道示Ⅱ式(5.4.25),NUMERIC_SUBSTITUTION,CAL-P01321,HIGH,UNVERIFIED
CAL-FML-P01321-004,1321,1316,CAL-CH4,CAL-SEC-4.2.4,横倒れ座屈低減係数ρbrg,ρbrg = 1.0-0.412*(α-0.2),ρbrg,α=0.479,道示Ⅱ式(5.4.24),NUMERIC_SUBSTITUTION,CAL-P01321,HIGH,UNVERIFIED
CAL-FML-P01321-005,1321,1316,CAL-CH4,CAL-SEC-4.2.4,横倒れ座屈制限応力度,σbrgd = ξ1*ξ2*Φu*ρbrg*σyk,σbrgd,ξ1=0.9,ξ2=1.0,Φu=0.85,ρbrg=0.885,σyk=355,道示Ⅱ式(5.4.23),NUMERIC_SUBSTITUTION,CAL-P01321,HIGH,UNVERIFIED
CAL-FML-P01321-006,1321,1316,CAL-CH4,CAL-SEC-4.2.4,局部座屈パラメータR,R = (b/t)*√[σyk/E*{12*(1-μ2)/(0.43*π2)}],R,b=303,t=22,σyk=355,E=200000,μ=0.30,道示Ⅱ式(5.4.7),NUMERIC_SUBSTITUTION,CAL-P01321,HIGH,UNVERIFIED
CAL-FML-P01321-007,1321,1316,CAL-CH4,CAL-SEC-4.2.4,局部座屈低減係数ρcrl,ρcrl = (0.7/R)^1.19,ρcrl,R=0.931,道示Ⅱ式(5.4.6),NUMERIC_SUBSTITUTION,CAL-P01321,HIGH,UNVERIFIED
CAL-FML-P01321-008,1321,1316,CAL-CH4,CAL-SEC-4.2.4,局部座屈制限応力度,σcrld = ξ1*ξ2*Φu*ρcrl*σyk,σcrld,ξ1=0.9,ξ2=1.0,Φu=0.85,ρcrl=0.712,σyk=355,道示Ⅱ式(5.4.5),NUMERIC_SUBSTITUTION,CAL-P01321,HIGH,UNVERIFIED
CAL-FML-P01321-009,1321,1316,CAL-CH4,CAL-SEC-4.2.4,上フランジ圧縮制限値,σcud = min(σbrgd,σcrld) = min(240,193) = 193 N/mm2,σcud,σbrgd=240,σcrld=193,道示Ⅱ,VERIFICATION_LIMIT,CAL-P01321,HIGH,UNVERIFIED
CAL-FML-P01321-010,1321,1316,CAL-CH4,CAL-SEC-4.2.4,合成後圧縮制限値,σcud = ξ1*ξ2*Φu*σyk (座屈は生じないものとする),σcud,ξ1=0.9,ξ2=1.0,Φu=0.85,σyk=355,道示Ⅱ式(5.4.5),STRESS_LIMIT_FORMULA,CAL-P01321,HIGH,UNVERIFIED
CAL-FML-P01321-011,1321,1316,CAL-CH4,CAL-SEC-4.2.4,せん断応力度制限値,τud = ξ1*ξ2*Φus*τyk = 0.90*1.00*0.85*205 = 157 N/mm2,τud,ξ1=0.9,ξ2=1.0,Φus=0.85,τyk=205,道示Ⅱ式(5.4.28),NUMERIC_SUBSTITUTION,CAL-P01321,HIGH,UNVERIFIED
CAL-FML-P01319-001,1319,1314,CAL-CH4,CAL-SEC-4.2.4,温度差床版応力度(上),σcu = 1/n*(P/A+M/I*Yc)-Ec*εt,σcu,P=-3158.2kN,M=1686.3kNm,n=7,A=194650,I=18008524,Yc=-64.89,Ec=2.857e4,εt=12e-6,ΔT=10,道示Ⅱ式(解14.2.9),NUMERIC_SUBSTITUTION,CAL-P01319,HIGH,UNVERIFIED
CAL-FML-P01319-002,1319,1314,CAL-CH4,CAL-SEC-4.2.4,温度差鋼桁応力度(上),σsu = P/A+M/I*Ys,σsu,P=-3158.2kN,M=1686.3kNm,A=194650,I=18008524,Ys=-198.9,道示Ⅱ式(解14.2.9),NUMERIC_SUBSTITUTION,CAL-P01319,HIGH,UNVERIFIED
CAL-FML-P01319-003,1319,1314,CAL-CH4,CAL-SEC-4.2.4,乾燥収縮床版応力度(上),σcu = 1/n*(P/A+M/I*Yc)+Ec2*εs,σcu,P=-1842.3kN,M=1786.5kNm,n=21,A=107175,I=13440812,Yc=-1084.7,Ec2=0.952e4,εs=20e-5,道示Ⅱ式(解14.2.10),NUMERIC_SUBSTITUTION,CAL-P01319,HIGH,UNVERIFIED
CAL-FML-P01319-004,1319,1314,CAL-CH4,CAL-SEC-4.2.4,乾燥収縮鋼桁応力度(上),σsu = P/A+M/I*Ys,σsu,P=-1842.3kN,M=1786.5kNm,A=107175,I=13440812,Ys=-634.7,道示Ⅱ式(解14.2.10),NUMERIC_SUBSTITUTION,CAL-P01319,HIGH,UNVERIFIED
CAL-FML-P01319-005,1319,1314,CAL-CH4,CAL-SEC-4.2.4,曲げとせん断の同時性照査(限界状態1),κ = (σm/σa)^2 + (τ/τa)^2 <= 1.2,κ,σm=-43,σa=312,τ=53,τa=157,道示Ⅱ,VERIFICATION_CHECK,CAL-P01319,HIGH,UNVERIFIED
