element_id,pdf_page_number,printed_page_number,chapter_id,section_id,element_type,title_raw,source_locator,extraction_status,confidence,notes
CH5-PE-001,2026,2021,CH5,CAL-SEC-ch5,chapter_title,第5章 付属物の設計,calc_pdf_p2026,TEXT_EXTRACTED,HIGH,Chapter 5 heading
CH5-PE-002,2027,2022,CH5,CAL-SEC-5.1,section_title,5.1 支承の設計,calc_pdf_p2027,TEXT_EXTRACTED,HIGH,Section 5.1 bearing design heading
CH5-PE-003,2027,2022,CH5,CAL-SEC-5.1,sub_section,適用示方書・便覧,calc_pdf_p2027,TEXT_EXTRACTED,HIGH,Applicable codes
CH5-PE-004,2027,2022,CH5,CAL-SEC-5.1,sub_section,諸元,calc_pdf_p2027,TEXT_EXTRACTED,HIGH,Specifications
CH5-PE-005,2027,2022,CH5,CAL-SEC-5.1,design_item,橋梁概要,calc_pdf_p2027,TEXT_EXTRACTED,HIGH,
CH5-PE-006,2027,2022,CH5,CAL-SEC-5.1,design_item,設計方針,calc_pdf_p2027,TEXT_EXTRACTED,HIGH,
CH5-PE-007,2028,2023,CH5,CAL-SEC-5.1.1,sub_section,5.1.1 ゴム支承計算書(Ⅰ種地盤),calc_pdf_p2028,TEXT_EXTRACTED,HIGH,
CH5-PE-008,2028,2023,CH5,CAL-SEC-5.1.1,sub_sub_section,設計条件(支承条件),calc_pdf_p2028,TEXT_EXTRACTED,HIGH,
CH5-PE-009,2028,2023,CH5,CAL-SEC-5.1.1,sub_sub_section,地盤条件・設計水平震度,calc_pdf_p2028,TEXT_EXTRACTED,HIGH,
CH5-PE-010,2028,2023,CH5,CAL-SEC-5.1.1,sub_sub_section,下部剛性,calc_pdf_p2028,TEXT_EXTRACTED,HIGH,
CH5-PE-011,2029,2024,CH5,CAL-SEC-5.1.1,sub_sub_section,径間移動量,calc_pdf_p2029,TEXT_EXTRACTED,HIGH,
CH5-PE-012,2030,2025,CH5,CAL-SEC-5.1.1,sub_sub_section,作用の組合せ及び荷重組合せ係数と荷重係数,calc_pdf_p2030,TEXT_EXTRACTED,HIGH,
CH5-PE-013,2031,2026,CH5,CAL-SEC-5.1.1,sub_sub_section,ゴム支承本体の耐久性能の照査,calc_pdf_p2031,TEXT_EXTRACTED,HIGH,
CH5-PE-014,2031,2026,CH5,CAL-SEC-5.1.1,sub_sub_section,耐久性能の設計条件(荷重条件),calc_pdf_p2031,TEXT_EXTRACTED,HIGH,
CH5-PE-015,2031,2026,CH5,CAL-SEC-5.1.1,sub_sub_section,支承形状,calc_pdf_p2031,TEXT_EXTRACTED,HIGH,
CH5-PE-016,2031,2026,CH5,CAL-SEC-5.1.1,sub_sub_section,鉛プラグ入りゴム支承のcγ(γ)算定に用いる係数,calc_pdf_p2031,TEXT_EXTRACTED,HIGH,
CH5-PE-017,2031,2026,CH5,CAL-SEC-5.1.1,sub_sub_section,鉛プラグ入りゴム支承のq(γ)算定に用いる係数,calc_pdf_p2031,TEXT_EXTRACTED,HIGH,
CH5-PE-018,2031,2026,CH5,CAL-SEC-5.1.1,sub_sub_section,鉛プラグ入りゴム支承のqo(γe)算定に用いる係数,calc_pdf_p2031,TEXT_EXTRACTED,HIGH,
CH5-PE-019,2032,2027,CH5,CAL-SEC-5.1.1,sub_sub_section,支承特性値の算出(形状係数・縦弾性係数・支承剛性),calc_pdf_p2032,TEXT_EXTRACTED,HIGH,
CH5-PE-020,2032,2027,CH5,CAL-SEC-5.1.1,sub_sub_section,形状係数・縦弾性係数,calc_pdf_p2032,TEXT_EXTRACTED,HIGH,
CH5-PE-021,2032,2027,CH5,CAL-SEC-5.1.1,sub_sub_section,支承剛性,calc_pdf_p2032,TEXT_EXTRACTED,HIGH,
CH5-PE-022,2033,2028,CH5,CAL-SEC-5.1.1,sub_sub_section,計算結果(形状係数・圧縮剛性),calc_pdf_p2033,TEXT_EXTRACTED,HIGH,
CH5-PE-023,2033,2028,CH5,CAL-SEC-5.1.1,sub_sub_section,合成剛性の算出,calc_pdf_p2033,TEXT_EXTRACTED,HIGH,
CH5-PE-024,2034,2029,CH5,CAL-SEC-5.1.1,sub_sub_section,温度変化時および不静定時移動量・水平力の算出,calc_pdf_p2034,TEXT_EXTRACTED,HIGH,
