chapter_id,section_id,title,printed_range,pdf_range,extraction_status,verification_status
ch1,ch1,第1章 設計条件,1-10,6-15,NOT_STARTED,UNVERIFIED
ch1,1.1,設計条件,2-4,7-9,NOT_STARTED,UNVERIFIED
ch1,1.2,上部工構造一般図,3-4,8-9,NOT_STARTED,UNVERIFIED
ch1,1.3,基本寸法一覧,5-10,10-15,NOT_STARTED,UNVERIFIED
ch2,ch2,第2章 合成床版の設計,11-109,16-114,NOT_STARTED,UNVERIFIED
ch2,2.1,一般部,12-64,17-69,NOT_STARTED,UNVERIFIED
ch2,2.2,桁端部,65-109,70-114,NOT_STARTED,UNVERIFIED
ch3,ch3,第3章 非合成桁の設計,110-865,115-870,NOT_STARTED,UNVERIFIED
ch3,3.1,主構断面力の計算,111-285,116-290,NOT_STARTED,UNVERIFIED
ch3,3.1.1,解析方針,112-112,117-117,NOT_STARTED,UNVERIFIED
ch3,3.1.2,荷重強度,113-134,118-139,NOT_STARTED,UNVERIFIED
ch3,3.1.3,格点座標,135-135,140-140,NOT_STARTED,UNVERIFIED
ch3,3.1.4,格点番号および部材番号,136-136,141-141,NOT_STARTED,UNVERIFIED
ch3,3.1.5,仮定剛度,137-138,142-143,NOT_STARTED,UNVERIFIED
ch3,3.1.6,格子解析データ,139-174,144-179,NOT_STARTED,UNVERIFIED
ch3,3.1.7,格子解析結果,175-216,180-221,NOT_STARTED,UNVERIFIED
ch3,3.1.8,反力および活荷重回転角,217-271,222-276,NOT_STARTED,UNVERIFIED
ch3,3.1.9,設計断面力,272-285,277-290,NOT_STARTED,UNVERIFIED
ch3,3.2,主桁の設計,286-669,291-674,NOT_STARTED,UNVERIFIED
ch3,3.2.1,設計方針,287-291,292-296,NOT_STARTED,UNVERIFIED
ch3,3.2.2,断面の決定,292-378,297-383,NOT_STARTED,UNVERIFIED
ch3,3.2.3,断面構成図,379-379,384-384,NOT_STARTED,UNVERIFIED
ch3,3.2.4,現場継手の計算,380-515,385-520,NOT_STARTED,UNVERIFIED
ch3,3.2.5,たわみおよび剛比の照査,516-521,521-526,NOT_STARTED,UNVERIFIED
ch3,3.2.6,支点上補剛材の計算,522-540,527-545,NOT_STARTED,UNVERIFIED
