group_name,sheet_range,sheet_count,extraction_status,verification_status,issue_ref
Location/General,1-4,4,TEXT_EXTRACTED,UNVERIFIED,
Quantities,5-7,3,TEXT_EXTRACTED,UNVERIFIED,
Structure general,8-9,2,TEXT_EXTRACTED,UNVERIFIED,
Alignment,10-12,3,TEXT_EXTRACTED,UNVERIFIED,
Cross-section,13-16,4,TEXT_EXTRACTED,UNVERIFIED,
Common details,17-19,3,TEXT_EXTRACTED,UNVERIFIED,
Camber,20,1,TEXT_EXTRACTED,UNVERIFIED,
Main girder AG1,21-29,9,TEXT_EXTRACTED,UNVERIFIED,
Main girder AG2,30-38,9,TEXT_EXTRACTED,UNVERIFIED,
Stud layout,39-44,6,TEXT_EXTRACTED,UNVERIFIED,
End cross beam,45-46,2,TEXT_EXTRACTED,UNVERIFIED,
Pier cross beam,47-48,2,TEXT_EXTRACTED,UNVERIFIED,
Intermediate cross beam,49-60,12,TEXT_EXTRACTED,UNVERIFIED,
Lateral bracing,61-71,11,TEXT_EXTRACTED,UNVERIFIED,
Wrapping concrete,72-79,8,TEXT_EXTRACTED,UNVERIFIED,
Wrapping concrete stud,80-83,4,TEXT_EXTRACTED,UNVERIFIED,
Composite deck layout,84,1,TEXT_EXTRACTED,UNVERIFIED,
Bearing details,85-88,4,TEXT_EXTRACTED,UNVERIFIED,
Expansion joints,89-92,4,TEXT_EXTRACTED,UNVERIFIED,
Parapet reinforcement,93-99,7,TEXT_EXTRACTED,UNVERIFIED,
Lighting pedestal,100,1,TEXT_EXTRACTED,UNVERIFIED,
Deck drainage,101-111,11,TEXT_EXTRACTED,UNVERIFIED,
Substructure drainage,112-114,3,TEXT_EXTRACTED,UNVERIFIED,
Bridge deck drainage,115,1,TEXT_EXTRACTED,UNVERIFIED,
Superstructure inspection,116-125,10,TEXT_EXTRACTED,UNVERIFIED,
Substructure inspection,126-130,5,TEXT_EXTRACTED,UNVERIFIED,
Slope stairs,131,1,TEXT_EXTRACTED,UNVERIFIED,
Falling object prevention,132,1,TEXT_EXTRACTED,UNVERIFIED,
Spalling prevention,133-134,2,TEXT_EXTRACTED,UNVERIFIED,
Step prevention,135-136,2,TEXT_EXTRACTED,UNVERIFIED,
Bridge nameplate,137,1,TEXT_EXTRACTED,UNVERIFIED,
Nose guardrail,138-139,2,TEXT_EXTRACTED,UNVERIFIED,
Nose water stop,140,1,TEXT_EXTRACTED,UNVERIFIED,
Erection plan,141,1,UNREADABLE_REQUIRES_HUMAN,UNVERIFIED,ISSUE-001
