drawing_sheet_number,pdf_page_number,drawing_group,drawing_title,extraction_status,verification_status
1,3,location,位置図,NOT_STARTED,UNVERIFIED
2,4,general,橋梁一般図（その1）,NOT_STARTED,UNVERIFIED
3,5,general,橋梁一般図（その2）,NOT_STARTED,UNVERIFIED
4,6,general,橋梁一般図（その3）,NOT_STARTED,UNVERIFIED
5,7,quantities,数量総括表（その1）,NOT_STARTED,UNVERIFIED
6,8,quantities,数量総括表（その2）,NOT_STARTED,UNVERIFIED
7,9,quantities,数量総括表（その3）,NOT_STARTED,UNVERIFIED
8,10,structure_general,上部工構造一般図（その1）,NOT_STARTED,UNVERIFIED
9,11,structure_general,上部工構造一般図（その2）,NOT_STARTED,UNVERIFIED
10,12,alignment,線形図（その1）,NOT_STARTED,UNVERIFIED
11,13,alignment,線形図（その2）,NOT_STARTED,UNVERIFIED
12,14,alignment,線形図（その3）,NOT_STARTED,UNVERIFIED
13,15,cross_section,断面構成図（その1）,NOT_STARTED,UNVERIFIED
14,16,cross_section,断面構成図（その2）,NOT_STARTED,UNVERIFIED
15,17,cross_section,断面構成図（その3）,NOT_STARTED,UNVERIFIED
16,18,cross_section,断面構成図（その4）,NOT_STARTED,UNVERIFIED
17,19,common_detail,共通詳細図（その1）,NOT_STARTED,UNVERIFIED
18,20,common_detail,共通詳細図（その2）,NOT_STARTED,UNVERIFIED
19,21,common_detail,共通詳細図（その3）,NOT_STARTED,UNVERIFIED
20,22,camber,キャンバー図,NOT_STARTED,UNVERIFIED
21,23,main_girder_AG1,主桁AG1（その1）,NOT_STARTED,UNVERIFIED
22,24,main_girder_AG1,主桁AG1（その2）,NOT_STARTED,UNVERIFIED
23,25,main_girder_AG1,主桁AG1（その3）,NOT_STARTED,UNVERIFIED
24,26,main_girder_AG1,主桁AG1（その4）,NOT_STARTED,UNVERIFIED
25,27,main_girder_AG1,主桁AG1（その5）,NOT_STARTED,UNVERIFIED
26,28,main_girder_AG1,主桁AG1（その6）,NOT_STARTED,UNVERIFIED
27,29,main_girder_AG1,主桁AG1（その7）,NOT_STARTED,UNVERIFIED
28,30,main_girder_AG1,主桁AG1（その8）,NOT_STARTED,UNVERIFIED
29,31,main_girder_AG1,主桁AG1（その9）,NOT_STARTED,UNVERIFIED
30,32,main_girder_AG2,主桁AG2（その1）,NOT_STARTED,UNVERIFIED
31,33,main_girder_AG2,主桁AG2（その2）,NOT_STARTED,UNVERIFIED
32,34,main_girder_AG2,主桁AG2（その3）,NOT_STARTED,UNVERIFIED
33,35,main_girder_AG2,主桁AG2（その4）,NOT_STARTED,UNVERIFIED
34,36,main_girder_AG2,主桁AG2（その5）,NOT_STARTED,UNVERIFIED
35,37,main_girder_AG2,主桁AG2（その6）,NOT_STARTED,UNVERIFIED
36,38,main_girder_AG2,主桁AG2（その7）,NOT_STARTED,UNVERIFIED
37,39,main_girder_AG2,主桁AG2（その8）,NOT_STARTED,UNVERIFIED
38,40,main_girder_AG2,主桁AG2（その9）,NOT_STARTED,UNVERIFIED
39,41,stud_layout,スタッド配置図（その1）,NOT_STARTED,UNVERIFIED
40,42,stud_layout,スタッド配置図（その2）,NOT_STARTED,UNVERIFIED
41,43,stud_layout,スタッド配置図（その3）,NOT_STARTED,UNVERIFIED
42,44,stud_layout,スタッド配置図（その4）,NOT_STARTED,UNVERIFIED
43,45,stud_layout,スタッド配置図（その5）,NOT_STARTED,UNVERIFIED
44,46,stud_layout,スタッド配置図（その6）,NOT_STARTED,UNVERIFIED
45,47,end_cross_beam,端横桁（その1）,NOT_STARTED,UNVERIFIED
46,48,end_cross_beam,端横桁（その2）,NOT_STARTED,UNVERIFIED
47,49,pier_cross_beam,中間支点横桁（その1）,NOT_STARTED,UNVERIFIED
48,50,pier_cross_beam,中間支点横桁（その2）,NOT_STARTED,UNVERIFIED
49,51,intermediate_cross_beam,中間横桁（その1）,NOT_STARTED,UNVERIFIED
50,52,intermediate_cross_beam,中間横桁（その2）,NOT_STARTED,UNVERIFIED
51,53,intermediate_cross_beam,中間横桁（その3）,NOT_STARTED,UNVERIFIED
52,54,intermediate_cross_beam,中間横桁（その4）,NOT_STARTED,UNVERIFIED
53,55,intermediate_cross_beam,中間横桁（その5）,NOT_STARTED,UNVERIFIED
54,56,intermediate_cross_beam,中間横桁（その6）,NOT_STARTED,UNVERIFIED
55,57,intermediate_cross_beam,中間横桁（その7）,NOT_STARTED,UNVERIFIED
56,58,intermediate_cross_beam,中間横桁（その8）,NOT_STARTED,UNVERIFIED
57,59,intermediate_cross_beam,中間横桁（その9）,NOT_STARTED,UNVERIFIED
58,60,intermediate_cross_beam,中間横桁（その10）,NOT_STARTED,UNVERIFIED
59,61,intermediate_cross_beam,中間横桁（その11）,NOT_STARTED,UNVERIFIED
60,62,intermediate_cross_beam,中間横桁（その12）,NOT_STARTED,UNVERIFIED
61,63,lateral_bracing,上下横構（その1）,NOT_STARTED,UNVERIFIED
62,64,lateral_bracing,上下横構（その2）,NOT_STARTED,UNVERIFIED
63,65,lateral_bracing,上下横構（その3）,NOT_STARTED,UNVERIFIED
64,66,lateral_bracing,上下横構（その4）,NOT_STARTED,UNVERIFIED
65,67,lateral_bracing,上下横構（その5）,NOT_STARTED,UNVERIFIED
66,68,lateral_bracing,上下横構（その6）,NOT_STARTED,UNVERIFIED
67,69,lateral_bracing,上下横構（その7）,NOT_STARTED,UNVERIFIED
68,70,lateral_bracing,上下横構（その8）,NOT_STARTED,UNVERIFIED
69,71,lateral_bracing,上下横構（その9）,NOT_STARTED,UNVERIFIED
70,72,lateral_bracing,上下横構（その10）,NOT_STARTED,UNVERIFIED
71,73,lateral_bracing,上下横構（その11）,NOT_STARTED,UNVERIFIED
72,74,wrapping_concrete,巻き立てコンクリート（その1）,NOT_STARTED,UNVERIFIED
73,75,wrapping_concrete,巻き立てコンクリート（その2）,NOT_STARTED,UNVERIFIED
74,76,wrapping_concrete,巻き立てコンクリート（その3）,NOT_STARTED,UNVERIFIED
75,77,wrapping_concrete,巻き立てコンクリート（その4）,NOT_STARTED,UNVERIFIED
76,78,wrapping_concrete,巻き立てコンクリート（その5）,NOT_STARTED,UNVERIFIED
