sheet_number,annotation_type,japanese_text,english_text
1,scale,縮尺 図示,Scale 図示
2,scale,縮尺 1:200,Scale 1:200
3,scale,縮尺 1:200,Scale 1:200
4,scale,縮尺 1:200,Scale 1:200
8,scale,縮尺 1:200,Scale 1:200
9,scale,縮尺 1:50,Scale 1:50
10,scale,縮尺 1:1200,Scale 1:1200
11,scale,縮尺 1:200,Scale 1:200
12,scale,縮尺 1:100,Scale 1:100
17,scale,縮尺 1:20,Scale 1:20
18,scale,縮尺 1:10,Scale 1:10
19,scale,縮尺 1:10,Scale 1:10
20,scale,縮尺 図示,Scale 図示
21,scale,縮尺 1:30,Scale 1:30
22,scale,縮尺 1:30,Scale 1:30
23,scale,縮尺 1:30,Scale 1:30
24,scale,縮尺 1:30,Scale 1:30
25,scale,縮尺 1:30,Scale 1:30
26,scale,縮尺 1:30,Scale 1:30
27,scale,縮尺 1:30,Scale 1:30
28,scale,縮尺 1:30,Scale 1:30
29,scale,縮尺 1:30,Scale 1:30
30,scale,縮尺 1:30,Scale 1:30
31,scale,縮尺 1:30,Scale 1:30
32,scale,縮尺 1:30,Scale 1:30
33,scale,縮尺 1:30,Scale 1:30
34,scale,縮尺 1:30,Scale 1:30
35,scale,縮尺 1:30,Scale 1:30
36,scale,縮尺 1:30,Scale 1:30
37,scale,縮尺 1:30,Scale 1:30
38,scale,縮尺 1:30,Scale 1:30
39,scale,縮尺 1:30,Scale 1:30
40,scale,縮尺 1:30,Scale 1:30
41,scale,縮尺 1:30,Scale 1:30
42,scale,縮尺 1:30,Scale 1:30
43,scale,縮尺 1:30,Scale 1:30
44,scale,縮尺 1:30,Scale 1:30
1,title,旭高架橋 Aランプ PU15ｰAR2 位置図
5,title,旭高架橋 Aランプ PU15ｰAR2 数量総括表(その1)
6,title,旭高架橋 Aランプ PU15ｰAR2 数量総括表(その2)
7,title,旭高架橋 Aランプ PU15ｰAR2 数量総括表(その3)
8,title,旭高架橋 Aランプ PU15ｰAR2 上部工構造一般図(その1)
9,note,巻き立てコンクリート range indicated
12,note,※桁高には、上下フランジ厚を含む
12,note,※PU15(S1)の桁高とハンチ高は、伸縮装置高の切り欠きを考慮しない値
17,note,非合成主体であるため交番部の下フランジ側は非合成断面の範囲とする
19,note,ソールプレート幅は上沓幅に合わせ、下フランジ幅は上沓幅に溶接代を考慮する
20,note,S1のDh値は、桁端部付近の切り欠きを考慮していない
23,note,2000 巻き立てコンクリート幅
26,note,2000 巻き立てコンクリート幅
44,note,添接板の前後の間隔が必要間隔を超える場合スタッド溶接
1,drawing_no,全141葉の内 1 号,Sheet 1 of 141
2,drawing_no,全141葉の内 2 号,Sheet 2 of 141
3,drawing_no,全141葉の内 3 号,Sheet 3 of 141
4,drawing_no,全141葉の内 4 号,Sheet 4 of 141
5,drawing_no,全141葉の内 5 号,Sheet 5 of 141
6,drawing_no,全141葉の内 6 号,Sheet 6 of 141
7,drawing_no,全141葉の内 7 号,Sheet 7 of 141
8,drawing_no,全141葉の内 8 号,Sheet 8 of 141
9,drawing_no,全141葉の内 9 号,Sheet 9 of 141
10,drawing_no,全141葉の内 10 号,Sheet 10 of 141
11,drawing_no,全141葉の内 11 号,Sheet 11 of 141
12,drawing_no,全141葉の内 12 号,Sheet 12 of 141
13,drawing_no,全141葉の内 13 号,Sheet 13 of 141
14,drawing_no,全141葉の内 14 号,Sheet 14 of 141
15,drawing_no,全141葉の内 15 号,Sheet 15 of 141
