sheet_number,annotation_id,annotation_type,raw_text,category
45,ANNO-001,material,"※ 1-UFLG PL 250x12x1599(SM490YA)",Upper flange material
45,ANNO-002,material,"※ 1-UFLG PL 400x19x2908(SM490YB)",Upper flange main material
45,ANNO-003,material,"※ 1-UFLG PL 250x12x1099(SM490YA)",Upper flange material
45,ANNO-004,material,"※ 1-LFLG PL 250x12x1934",Lower flange material
45,ANNO-005,material,"※ 1-LFLG PL 250x12x1468",Lower flange material
45,ANNO-006,material,"※ 1-WEB PL 733x9x1603",Web plate left
45,ANNO-007,material,"※ 1-WEB PL 2537x32x791(SM490YB)",Web plate main
45,ANNO-008,material,"※ 1-WEB PL 730x9x1103",Web plate right
45,ANNO-009,material,"※ 1-CONN PL 351x19x789(SM490YB)",Connection plate
45,ANNO-010,material,"※ 1-CONN PL 367x19x818(SM490YB)",Connection plate
45,ANNO-011,material,"4-SPL PL 165x13x470(SM490YA)",Splice plate
45,ANNO-012,material,"2-SPL PL 1692x10x470(SM490YA)",Large splice plate
45,ANNO-013,material,"2-FILL PL 1686x8x233(SS400)",Filler plate
45,ANNO-014,material,"1-PL 80x9x625 / 1-PL 80x9x555",Small plate
45,ANNO-015,weld,止端仕上げ,Weld toe finishing
45,ANNO-016,weld,"15c溶接後埋め戻し",15c weld then backfill
45,ANNO-017,stud,"※ 6-STUD φ22x200(SS400)","6 studs φ22x200 (SS400)"
45,ANNO-018,stud,"※ 4-STUD φ22x200(SS400)","4 studs φ22x200 (SS400)"
45,ANNO-019,note,"t=22mm",Thickness note
45,ANNO-020,note,i %,Slope indication
45,ANNO-021,note,"3.14% / 3.10%",Slope values
45,ANNO-022,note,"下面に合わせる",Align with bottom face
45,ANNO-023,note,"上面に合わせる",Align with top face
45,ANNO-024,bolt,"24-TCB M22x80(S10T)",Bolts at connection
45,ANNO-025,bolt,"102-TCB M22x90(S10T)",Bolts at main splice
45,ANNO-026,bolt,"24-TCB M22x80(S10T)",Bolts at connection right
46,ANNO-027,material,"※ 1-CONN PL 353x19x790(SM490YB)",Connection plate
