sheet_number,dimension_id,category,item,value_raw,value_numeric,unit,notes
45,DIM-001,overall,端横桁全体長,4512.2,4512.2,mm,Girder center-to-center
45,DIM-002,overall,張出左,1900,1900,mm,Left overhang
45,DIM-003,overall,張出右,1400,1400,mm,Right overhang
45,DIM-004,girder,AG1-AG2間,2256.1,2256.1,mm,Girder spacing
45,DIM-005,girder,AG2端部,1089.2,1089.2,mm,AG2 to edge
45,DIM-006,uflg,UFLG端横桁左,250x12x1599,250x12x1599,mm,UFLG plate (SM490YA)
45,DIM-007,uflg,UFLG端横桁中央,400x19x2908,400x19x2908,mm,UFLG plate (SM490YB)
45,DIM-008,uflg,UFLG端横桁右,250x12x1099,250x12x1099,mm,UFLG plate (SM490YA)
45,DIM-009,lflg,LFLG端横桁左,250x12x1934,250x12x1934,mm,LFLG plate
45,DIM-010,lflg,LFLG端横桁右,250x12x1468,250x12x1468,mm,LFLG plate
45,DIM-011,web,WEB PL左,733x9x1603,733x9x1603,mm,Web plate left
45,DIM-012,web,WEB PL中央主,2537x32x791,2537x32x791,mm,Web plate main (SM490YB)
45,DIM-013,web,WEB PL右,730x9x1103,730x9x1103,mm,Web plate right
45,DIM-014,conn,CONN PL,351x19x789,351x19x789,mm,Connection plate (SM490YB)
45,DIM-015,conn,CONN PL alt,367x19x818,367x19x818,mm,Connection plate alt (SM490YB)
45,DIM-016,splice,SPL PL,165x13x470,165x13x470,mm,Splice plate (SM490YA)
45,DIM-017,splice,SPL PL large,1692x10x470,1692x10x470,mm,Splice plate (SM490YA)
45,DIM-018,fill,FILL PL,1686x8x233,1686x8x233,mm,Filler plate (SS400)
45,DIM-019,stud,STUD,φ22x200,22x200,mm,Stud diameter x length (SS400)
45,DIM-020,plate,PL small,80x9x625,80x9x625,mm,Small plate
45,DIM-021,plate,PL small alt,80x9x555,80x9x555,mm,Small plate alt
45,DIM-022,angle,角度,94°13'05",94.218,deg,Angle
46,DIM-023,overall,端横桁(2)全体長,4500.2,4500.2,mm,Girder center-to-center
46,DIM-024,overall,張出左,1400,1400,mm,Left overhang
46,DIM-025,overall,張出右,1400,1400,mm,Right overhang
46,DIM-026,girder,AG1-AG2間,2250.1,2250.1,mm,Girder spacing
46,DIM-027,uflg,UFLG端横桁(2)中央,400x19x2897,400x19x2897,mm,UFLG plate (SM490YB)
46,DIM-028,conn,CONN PL(2),353x19x790,353x19x790,mm,Connection plate
46,DIM-029,conn,CONN PL(2)alt,355x19x793,355x19x793,mm,Connection plate alt
47,DIM-030,overall,中間支点横桁全体長,4500,4500,mm,Girder center-to-center
47,DIM-031,girder,PR1間,2250/2250,2250,mm,Girder spacing
47,DIM-032,uflg,UFLG支点,560x32x2896,560x32x2896,mm,UFLG plate (SM490YB)
47,DIM-033,web,WEB PL支点,2614x40x791,2614x40x791,mm,Web plate (SM490YB)
