sheet_number,pdf_page,drawing_group,element_type,element_id,raw_text,view_ref
45,47,end_cross_beam,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 端横桁(その1) S=1:30",
45,47,end_cross_beam,section,A-A,"A-A section 1900/4512.2/1400 overall",
45,47,end_cross_beam,section,B-B,"B-B section",
45,47,end_cross_beam,section,C-C,"C-C section 400/250/250",
45,47,end_cross_beam,detail,GUSSET,"ガセット取付図",
45,47,end_cross_beam,detail,DETAIL_a,"a部詳細 S=1:10",
45,47,end_cross_beam,detail,DETAIL_b,"b部詳細 S=1:5",
45,47,end_cross_beam,detail,DETAIL_c,"c部詳細 S=1:10",
45,47,end_cross_beam,detail,DETAIL_d,"d部詳細 S=1:5",
45,47,end_cross_beam,detail,STUD_DETAIL,"スタッド配置詳細 S=1:10",
45,47,end_cross_beam,detail,STUD_INDIVIDUAL,"スタッド詳細図 S=1:5",
45,47,end_cross_beam,note,SCALE,"S=1:30",
45,47,end_cross_beam,dimension,OVERALL_L,"1900/4512.2/1400",
45,47,end_cross_beam,dimension,GIRDER_SPACING,"2256.1/2256.1",
46,48,end_cross_beam,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 端横桁(その2) S=1:30",
46,48,end_cross_beam,section,A-A,"A-A section 400",
46,48,end_cross_beam,section,B-B,"B-B section 250",
46,48,end_cross_beam,section,C-C,"C-C section 250",
46,48,end_cross_beam,detail,GUSSET,"ガセット取付図",
46,48,end_cross_beam,note,SCALE,"S=1:30",
46,48,end_cross_beam,dimension,OVERALL_L,"1400/4500.2/1400",
46,48,end_cross_beam,dimension,GIRDER_SPACING,"2250.1/2250.1",
47,49,pier_cross_beam,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 中間支点横桁(その1) S=1:30",
47,49,pier_cross_beam,section,A-A,"A-A section 560",
47,49,pier_cross_beam,detail,GUSSET,"ガセット取付図",
47,49,pier_cross_beam,note,SCALE,"S=1:30",
47,49,pier_cross_beam,dimension,OVERALL_L,"4500",
47,49,pier_cross_beam,dimension,GIRDER_SPACING,"2250/2250",
47,49,pier_cross_beam,dimension,WEB_PL,"WEB PL 2614x40x791(SM490YB)",
48,50,pier_cross_beam,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 中間支点横桁(その2) S=1:30",
48,50,pier_cross_beam,note,SCALE,"S=1:30",
48,50,pier_cross_beam,detail,GUSSET,"ガセット取付図",
48,50,pier_cross_beam,section,D-D,"D-D section",
48,50,pier_cross_beam,section,E-E,"E-E section",
48,50,pier_cross_beam,detail,DETAIL_a,"a部詳細 S=1:10",
48,50,pier_cross_beam,detail,DETAIL_b,"b部詳細 S=1:5",
49,51,intermediate_cross_beam,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 中間横桁(その1) S=1:30",
49,51,intermediate_cross_beam,detail,OPENING,"横桁開口詳細 S=1:20",
49,51,intermediate_cross_beam,note,SCALE,"S=1:30",
49,51,intermediate_cross_beam,dimension,OVERALL_L,"4500/4500",
49,51,intermediate_cross_beam,dimension,UFLG,"1-UFLG PL 250x12x3196 / 250x12x3496",
49,51,intermediate_cross_beam,dimension,SPLICE_PL,"SPL PL 240x9x320(SS400) / SPL PL 90x10x320(SS400)",
49,51,intermediate_cross_beam,dimension,FILL_PL,"FILL PL 240x10x158(SS400)",
50,52,intermediate_cross_beam,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 中間横桁(その2) S=1:30",
50,52,intermediate_cross_beam,detail,OPENING,"横桁開口詳細 S=1:20",
50,52,intermediate_cross_beam,note,SCALE,"S=1:30",
50,52,intermediate_cross_beam,dimension,OVERALL_L,"4500/4500",
50,52,intermediate_cross_beam,dimension,UFLG,"1-UFLG PL 250x12x3496 / 250x12x3396",
50,52,intermediate_cross_beam,dimension,SPLICE_PL,"SPL PL 240x9x320(SS400) / SPL PL 90x10x320(SS400)",
51,53,intermediate_cross_beam,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 中間横桁(その3) S=1:30",
51,53,intermediate_cross_beam,detail,OPENING,"横桁開口詳細 S=1:20",
51,53,intermediate_cross_beam,note,SCALE,"S=1:30",
52,54,intermediate_cross_beam,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 中間横桁(その4) S=1:30",
52,54,intermediate_cross_beam,detail,OPENING,"横桁開口詳細 S=1:20",
52,54,intermediate_cross_beam,note,SCALE,"S=1:30",
53,55,intermediate_cross_beam,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 中間横桁(その5) S=1:30",
53,55,intermediate_cross_beam,detail,OPENING,"横桁開口詳細 S=1:20",
53,55,intermediate_cross_beam,note,SCALE,"S=1:30",
54,56,intermediate_cross_beam,title,BRIDGE_TITLE,"旭高架橋 Aランプ PU15ｰAR2 中間横桁(その6) S=1:30",
54,56,intermediate_cross_beam,detail,OPENING,"横桁開口詳細 S=1:20",
