sheet_number,field_name,raw_value,field_type
45,bridge_name,旭高架橋 Aランプ,bridge
45,girder_ref,PU15ｰAR2,girder_reference
45,drawing_title,端横桁(その1),title
45,sheet_suffix,その1,sequence
45,drawing_group,end_cross_beam,group
45,scale,S=1:30,scale
46,bridge_name,旭高架橋 Aランプ,bridge
46,girder_ref,PU15ｰAR2,girder_reference
46,drawing_title,端横桁(その2),title
46,sheet_suffix,その2,sequence
46,drawing_group,end_cross_beam,group
46,scale,S=1:30,scale
47,bridge_name,旭高架橋 Aランプ,bridge
47,girder_ref,PU15ｰAR2,girder_reference
47,drawing_title,中間支点横桁(その1),title
47,sheet_suffix,その1,sequence
47,drawing_group,pier_cross_beam,group
47,scale,S=1:30,scale
48,bridge_name,旭高架橋 Aランプ,bridge
48,girder_ref,PU15ｰAR2,girder_reference
48,drawing_title,中間支点横桁(その2),title
48,sheet_suffix,その2,sequence
48,drawing_group,pier_cross_beam,group
48,scale,S=1:30,scale
49,bridge_name,旭高架橋 Aランプ,bridge
49,girder_ref,PU15ｰAR2,girder_reference
49,drawing_title,中間横桁(その1),title
49,sheet_suffix,その1,sequence
49,drawing_group,intermediate_cross_beam,group
49,scale,S=1:30,scale
50,bridge_name,旭高架橋 Aランプ,bridge
50,girder_ref,PU15ｰAR2,girder_reference
50,drawing_title,中間横桁(その2),title
50,sheet_suffix,その2,sequence
50,drawing_group,intermediate_cross_beam,group
50,scale,S=1:30,scale
51,bridge_name,旭高架橋 Aランプ,bridge
51,girder_ref,PU15ｰAR2,girder_reference
51,drawing_title,中間横桁(その3),title
51,sheet_suffix,その3,sequence
51,drawing_group,intermediate_cross_beam,group
51,scale,S=1:30,scale
52,bridge_name,旭高架橋 Aランプ,bridge
52,girder_ref,PU15ｰAR2,girder_reference
52,drawing_title,中間横桁(その4),title
52,sheet_suffix,その4,sequence
52,drawing_group,intermediate_cross_beam,group
52,scale,S=1:30,scale
53,bridge_name,旭高架橋 Aランプ,bridge
53,girder_ref,PU15ｰAR2,girder_reference
53,drawing_title,中間横桁(その5),title
53,sheet_suffix,その5,sequence
53,drawing_group,intermediate_cross_beam,group
53,scale,S=1:30,scale
54,bridge_name,旭高架橋 Aランプ,bridge
54,girder_ref,PU15ｰAR2,girder_reference
54,drawing_title,中間横桁(その6),title
54,sheet_suffix,その6,sequence
54,drawing_group,intermediate_cross_beam,group
54,scale,S=1:30,scale
55,bridge_name,旭高架橋 Aランプ,bridge
55,girder_ref,PU15ｰAR2,girder_reference
55,drawing_title,中間横桁(その7),title
55,sheet_suffix,その7,sequence
55,drawing_group,intermediate_cross_beam,group
55,scale,S=1:30,scale
56,bridge_name,旭高架橋 Aランプ,bridge
56,girder_ref,PU15ｰAR2,girder_reference
56,drawing_title,中間横桁(その8),title
56,sheet_suffix,その8,sequence
56,drawing_group,intermediate_cross_beam,group
56,scale,S=1:30,scale
57,bridge_name,旭高架橋 Aランプ,bridge
57,girder_ref,PU15ｰAR2,girder_reference
57,drawing_title,中間横桁(その9),title
