sheet_number,annotation_text,annotation_type
89,"1．本図は１セル当たり""ａ""＝40ｍｍ(20℃時)遊間状態を示す。",note
89,2．塗装：コンクリート付着部以外は変性エポキシ樹脂塗料2回塗りとする。,note
89,3．指示なき溶接部は6ｍｍスミ肉溶接とする。,note
89,4．H補強鉄筋は上部工工事にて手配のこと。,note
90,"1．本図は１セル当たり""ａ""＝40ｍｍ(20℃時)遊間状態を示す。",note
90,2．塗装：コンクリート付着部以外は変性エポキシ樹脂塗料2回塗りとする。,note
90,3．指示なき溶接部は6ｍｍスミ肉溶接とする。,note
90,4．部番22 鉄筋は、一部現場溶接とする。,note
90,5．H補強鉄筋は上部工工事にて手配のこと。,note
90,注）桁ボルト孔は橋軸方向に長孔とする。,note
90,注）H補強鉄筋は上部工工事にて手配のこと,note
90,地覆立上りは斜線部をカットする,note
91,1.溶融亜鉛メッキはJIS HDZT 77を施工のこと。但し、ボルトナット類はHDZT 49とする。,note
91,2.縦断勾配が微小の為、製作時は考慮いないこととする。,note
91,通信管の設置位置は壁高欄カバーのゴムと干渉しないよう注意すること。,caution
92,※ 塞ぎ板の取付ボルトは車両進行方向の手前側に設置する。,note
93,1.鉄筋材質は全てSD345とする。,note
93,2.★部について、横断勾配により低くなる方の床版と壁高欄の打継目は、舗装面からの雨水の侵入を防ぐため、車道側に1.000%の横断勾配を設ける。,note
101,1.排水桝、及びスラブドレーン位置は、合成床版との取り合いを考慮し製作時に再検討のこと。,note
101,床版打下し範囲 2300,note
141,Sheet 141 (Erection Plan) PDF page 143 extracted blank; requires visual verification,verification_note
