sheet_number,pdf_page_number,group_name,title_prefix,extraction_status,confidence,notes
89,91,伸縮装置,旭高架橋 Aランプ PU15ｰAR2 伸縮装置,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 89 (PDF page 91)
90,92,伸縮装置,旭高架橋 Aランプ PU15ｰAR2 伸縮装置,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 90 (PDF page 92)
91,93,伸縮装置,旭高架橋 Aランプ PU15ｰAR2 伸縮装置,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 91 (PDF page 93)
92,94,伸縮装置,旭高架橋 Aランプ PU15ｰAR2 伸縮装置,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 92 (PDF page 94)
93,95,壁高欄配筋図,旭高架橋 Aランプ PU15ｰAR2 壁高欄配筋図,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 93 (PDF page 95)
94,96,壁高欄配筋図,旭高架橋 Aランプ PU15ｰAR2 壁高欄配筋図,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 94 (PDF page 96)
95,97,壁高欄配筋図,旭高架橋 Aランプ PU15ｰAR2 壁高欄配筋図,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 95 (PDF page 97)
96,98,壁高欄配筋図,旭高架橋 Aランプ PU15ｰAR2 壁高欄配筋図,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 96 (PDF page 98)
97,99,壁高欄配筋図,旭高架橋 Aランプ PU15ｰAR2 壁高欄配筋図,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 97 (PDF page 99)
98,100,壁高欄配筋図,旭高架橋 Aランプ PU15ｰAR2 壁高欄配筋図,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 98 (PDF page 100)
99,101,壁高欄配筋図,旭高架橋 Aランプ PU15ｰAR2 壁高欄配筋図,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 99 (PDF page 101)
100,102,照明受台配筋図,旭高架橋 Aランプ PU15ｰAR2 照明受台配筋図,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 100 (PDF page 102)
101,103,上部工排水装置,旭高架橋 Aランプ PU15ｰAR2 上部工排水装置,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 101 (PDF page 103)
102,104,上部工排水装置,旭高架橋 Aランプ PU15ｰAR2 上部工排水装置,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 102 (PDF page 104)
103,105,上部工排水装置,旭高架橋 Aランプ PU15ｰAR2 上部工排水装置,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 103 (PDF page 105)
104,106,上部工排水装置,旭高架橋 Aランプ PU15ｰAR2 上部工排水装置,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 104 (PDF page 106)
105,107,上部工排水装置,旭高架橋 Aランプ PU15ｰAR2 上部工排水装置,TEXT_EXTRACTED,HIGH,Text extracted via pdftotext -layout for sheet 105 (PDF page 107)
