sheet_number,field,value
89,図面番号,全 141 葉の内 89 号
89,工事名,一般国道247号（西知多道路）
89,路線名,一般国道247号（西知多道路）
89,施工箇所名,知多市旭地内始め
90,図面番号,全 141 葉の内 90 号
90,工事名,一般国道247号（西知多道路）
90,路線名,一般国道247号（西知多道路）
90,施工箇所名,知多市旭地内始め
91,図面番号,全 141 葉の内 91 号
91,工事名,一般国道247号（西知多道路）
91,路線名,一般国道247号（西知多道路）
91,施工箇所名,知多市旭地内始め
92,図面番号,全 141 葉の内 92 号
92,工事名,一般国道247号（西知多道路）
92,路線名,一般国道247号（西知多道路）
92,施工箇所名,知多市旭地内始め
93,図面番号,全 141 葉の内 93 号
93,工事名,一般国道247号（西知多道路）
93,路線名,一般国道247号（西知多道路）
93,施工箇所名,知多市旭地内始め
94,図面番号,全 141 葉の内 94 号
94,工事名,一般国道247号（西知多道路）
94,路線名,一般国道247号（西知多道路）
94,施工箇所名,知多市旭地内始め
95,図面番号,全 141 葉の内 95 号
95,工事名,一般国道247号（西知多道路）
95,路線名,一般国道247号（西知多道路）
95,施工箇所名,知多市旭地内始め
96,図面番号,全 141 葉の内 96 号
96,工事名,一般国道247号（西知多道路）
96,路線名,一般国道247号（西知多道路）
96,施工箇所名,知多市旭地内始め
97,図面番号,全 141 葉の内 97 号
97,工事名,一般国道247号（西知多道路）
97,路線名,一般国道247号（西知多道路）
97,施工箇所名,知多市旭地内始め
98,図面番号,全 141 葉の内 98 号
98,工事名,一般国道247号（西知多道路）
98,路線名,一般国道247号（西知多道路）
98,施工箇所名,知多市旭地内始め
99,図面番号,全 141 葉の内 99 号
99,工事名,一般国道247号（西知多道路）
99,路線名,一般国道247号（西知多道路）
99,施工箇所名,知多市旭地内始め
100,図面番号,全 141 葉の内 100 号
100,工事名,一般国道247号（西知多道路）
100,路線名,一般国道247号（西知多道路）
100,施工箇所名,知多市旭地内始め
101,図面番号,全 141 葉の内 101 号
101,工事名,一般国道247号（西知多道路）
101,路線名,一般国道247号（西知多道路）
101,施工箇所名,知多市旭地内始め
102,図面番号,全 141 葉の内 102 号
102,工事名,一般国道247号（西知多道路）
102,路線名,一般国道247号（西知多道路）
102,施工箇所名,知多市旭地内始め
103,図面番号,全 141 葉の内 103 号
103,工事名,一般国道247号（西知多道路）
103,路線名,一般国道247号（西知多道路）
103,施工箇所名,知多市旭地内始め
104,図面番号,全 141 葉の内 104 号
104,工事名,一般国道247号（西知多道路）
104,路線名,一般国道247号（西知多道路）
104,施工箇所名,知多市旭地内始め
105,図面番号,全 141 葉の内 105 号
105,工事名,一般国道247号（西知多道路）
105,路線名,一般国道247号（西知多道路）
105,施工箇所名,知多市旭地内始め
106,図面番号,全 141 葉の内 106 号
106,工事名,一般国道247号（西知多道路）
106,路線名,一般国道247号（西知多道路）
106,施工箇所名,知多市旭地内始め
107,図面番号,全 141 葉の内 107 号
107,工事名,一般国道247号（西知多道路）
107,路線名,一般国道247号（西知多道路）
107,施工箇所名,知多市旭地内始め
108,図面番号,全 141 葉の内 108 号
108,工事名,一般国道247号（西知多道路）
108,路線名,一般国道247号（西知多道路）
108,施工箇所名,知多市旭地内始め
109,図面番号,全 141 葉の内 109 号
109,工事名,一般国道247号（西知多道路）
109,路線名,一般国道247号（西知多道路）
109,施工箇所名,知多市旭地内始め
110,図面番号,全 141 葉の内 110 号
110,工事名,一般国道247号（西知多道路）
110,路線名,一般国道247号（西知多道路）
110,施工箇所名,知多市旭地内始め
111,図面番号,全 141 葉の内 111 号
111,工事名,一般国道247号（西知多道路）
111,路線名,一般国道247号（西知多道路）
111,施工箇所名,知多市旭地内始め
112,図面番号,全 141 葉の内 112 号
112,工事名,一般国道247号（西知多道路）
112,路線名,一般国道247号（西知多道路）
112,施工箇所名,知多市旭地内始め
113,図面番号,全 141 葉の内 113 号
113,工事名,一般国道247号（西知多道路）
113,路線名,一般国道247号（西知多道路）
113,施工箇所名,知多市旭地内始め
114,図面番号,全 141 葉の内 114 号
114,工事名,一般国道247号（西知多道路）
114,路線名,一般国道247号（西知多道路）
114,施工箇所名,知多市旭地内始め
115,図面番号,全 141 葉の内 115 号
115,工事名,一般国道247号（西知多道路）
115,路線名,一般国道247号（西知多道路）
115,施工箇所名,知多市旭地内始め
116,図面番号,全 141 葉の内 116 号
116,工事名,一般国道247号（西知多道路）
116,路線名,一般国道247号（西知多道路）
116,施工箇所名,知多市旭地内始め
117,図面番号,全 141 葉の内 117 号
117,工事名,一般国道247号（西知多道路）
117,路線名,一般国道247号（西知多道路）
117,施工箇所名,知多市旭地内始め
118,図面番号,全 141 葉の内 118 号
118,工事名,一般国道247号（西知多道路）
118,路線名,一般国道247号（西知多道路）
118,施工箇所名,知多市旭地内始め
119,図面番号,全 141 葉の内 119 号
119,工事名,一般国道247号（西知多道路）
119,路線名,一般国道247号（西知多道路）
119,施工箇所名,知多市旭地内始め
120,図面番号,全 141 葉の内 120 号
120,工事名,一般国道247号（西知多道路）
120,路線名,一般国道247号（西知多道路）
120,施工箇所名,知多市旭地内始め
121,図面番号,全 141 葉の内 121 号
121,工事名,一般国道247号（西知多道路）
121,路線名,一般国道247号（西知多道路）
121,施工箇所名,知多市旭地内始め
122,図面番号,全 141 葉の内 122 号
122,工事名,一般国道247号（西知多道路）
122,路線名,一般国道247号（西知多道路）
122,施工箇所名,知多市旭地内始め
123,図面番号,全 141 葉の内 123 号
123,工事名,一般国道247号（西知多道路）
123,路線名,一般国道247号（西知多道路）
123,施工箇所名,知多市旭地内始め
124,図面番号,全 141 葉の内 124 号
124,工事名,一般国道247号（西知多道路）
124,路線名,一般国道247号（西知多道路）
124,施工箇所名,知多市旭地内始め
125,図面番号,全 141 葉の内 125 号
125,工事名,一般国道247号（西知多道路）
125,路線名,一般国道247号（西知多道路）
125,施工箇所名,知多市旭地内始め
126,図面番号,全 141 葉の内 126 号
126,工事名,一般国道247号（西知多道路）
126,路線名,一般国道247号（西知多道路）
126,施工箇所名,知多市旭地内始め
127,図面番号,全 141 葉の内 127 号
127,工事名,一般国道247号（西知多道路）
127,路線名,一般国道247号（西知多道路）
127,施工箇所名,知多市旭地内始め
128,図面番号,全 141 葉の内 128 号
128,工事名,一般国道247号（西知多道路）
128,路線名,一般国道247号（西知多道路）
128,施工箇所名,知多市旭地内始め
129,図面番号,全 141 葉の内 129 号
129,工事名,一般国道247号（西知多道路）
129,路線名,一般国道247号（西知多道路）
129,施工箇所名,知多市旭地内始め
130,図面番号,全 141 葉の内 130 号
130,工事名,一般国道247号（西知多道路）
130,路線名,一般国道247号（西知多道路）
130,施工箇所名,知多市旭地内始め
131,図面番号,全 141 葉の内 131 号
131,工事名,一般国道247号（西知多道路）
131,路線名,一般国道247号（西知多道路）
131,施工箇所名,知多市旭地内始め
132,図面番号,全 141 葉の内 132 号
132,工事名,一般国道247号（西知多道路）
132,路線名,一般国道247号（西知多道路）
132,施工箇所名,知多市旭地内始め
133,図面番号,全 141 葉の内 133 号
133,工事名,一般国道247号（西知多道路）
133,路線名,一般国道247号（西知多道路）
133,施工箇所名,知多市旭地内始め
134,図面番号,全 141 葉の内 134 号
134,工事名,一般国道247号（西知多道路）
134,路線名,一般国道247号（西知多道路）
134,施工箇所名,知多市旭地内始め
135,図面番号,全 141 葉の内 135 号
135,工事名,一般国道247号（西知多道路）
135,路線名,一般国道247号（西知多道路）
135,施工箇所名,知多市旭地内始め
136,図面番号,全 141 葉の内 136 号
136,工事名,一般国道247号（西知多道路）
136,路線名,一般国道247号（西知多道路）
136,施工箇所名,知多市旭地内始め
137,図面番号,全 141 葉の内 137 号
