audit_id,file,row_identifier,issue_type,issue_value,repaired_value,shift_delta,rationale
P2IIB-REP-0001,calculation/chapter_04/section_4_2/figures.csv,CAL-FIG-P01776-001,source_locator_derivation,CAL-P01776-TBL,calc_pdf_p1776,0,derived 'calc_pdf_p{pdf_page_number}' from pdf_page_number=1776 per locator contract
P2IIB-REP-0002,calculation/chapter_04/section_4_2/figures.csv,CAL-FIG-P01776-002,source_locator_derivation,CAL-P01776-TBL,calc_pdf_p1776,0,derived 'calc_pdf_p{pdf_page_number}' from pdf_page_number=1776 per locator contract
P2IIB-REP-0003,calculation/chapter_04/section_4_2/formulas.csv,CAL-FML-P01321-001,column_shift,"[""CAL-FML-P01321-001"", ""1321"", ""1316"", ""CAL-CH4"", ""CAL-SEC-4.2.4"", ""引張応力度制限値(限界状態3)"", ""σtud = ξ1*ξ2*Φut*σyk"", ""σtud"", ""ξ1=0.9"", ""ξ2=1.0"", ""Φut=0.85"", ""σyk=355"", ""道示Ⅱ式(5.4.22)"", ""STRESS_LIMIT_FORMULA"", ""CAL-P01321"", ""HIGH"", ""UNVERIFIED""]","[""CAL-FML-P01321-001"", ""1321"", ""1316"", ""CAL-CH4"", ""CAL-SEC-4.2.4"", ""引張応力度制限値(限界状態3)"", ""σtud = ξ1*ξ2*Φut*σyk"", ""σtud, ξ1=0.9, ξ2=1.0, Φut=0.85, σyk=355"", ""道示Ⅱ式(5.4.22)"", ""STRESS_LIMIT_FORMULA"", ""CAL-P01321"", ""HIGH"", ""UNVERIFIED""]",4,"formula row re-aligned: expression='σtud = ξ1*ξ2*Φut*σyk', variable_symbols='σtud, ξ1=0.9, ξ2=1.0, Φut=0.85, σyk=355'"
P2IIB-REP-0004,calculation/chapter_04/section_4_2/formulas.csv,CAL-FML-P01321-002,column_shift,"[""CAL-FML-P01321-002"", ""1321"", ""1316"", ""CAL-CH4"", ""CAL-SEC-4.2.4"", ""横倒れ座屈パラメータK(合成前)"", ""K = √{3+Aw/(2*Ac)}"", ""K"", ""Aw=35518"", ""Ac=13640"", ""道示Ⅱ式(5.4.25)"", ""FORMULA_DEFINITION"", ""CAL-P01321"", ""HIGH"", ""UNVERIFIED""]","[""CAL-FML-P01321-002"", ""1321"", ""1316"", ""CAL-CH4"", ""CAL-SEC-4.2.4"", ""横倒れ座屈パラメータK(合成前)"", ""K = √{3+Aw/(2*Ac)}"", ""K, Aw=35518, Ac=13640"", ""道示Ⅱ式(5.4.25)"", ""FORMULA_DEFINITION"", ""CAL-P01321"", ""HIGH"", ""UNVERIFIED""]",2,"formula row re-aligned: expression='K = √{3+Aw/(2*Ac)}', variable_symbols='K, Aw=35518, Ac=13640'"
P2IIB-REP-0005,calculation/chapter_04/section_4_2/formulas.csv,CAL-FML-P01321-003,column_shift,"[""CAL-FML-P01321-003"", ""1321"", ""1316"", ""CAL-CH4"", ""CAL-SEC-4.2.4"", ""横倒れ座屈パラメータα"", ""α = 2/π*K*√(σyk/E)*L/b"", ""α"", ""K=2.074"", ""σyk=355"", ""E=200000"", ""L=5344"", ""b=620"", ""道示Ⅱ式(5.4.25)"", ""NUMERIC_SUBSTITUTION"", ""CAL-P01321"", ""HIGH"", ""UNVERIFIED""]","[""CAL-FML-P01321-003"", ""1321"", ""1316"", ""CAL-CH4"", ""CAL-SEC-4.2.4"", ""横倒れ座屈パラメータα"", ""α = 2/π*K*√(σyk/E)*L/b"", ""α, K=2.074, σyk=355, E=200000, L=5344, b=620"", ""道示Ⅱ式(5.4.25)"", ""NUMERIC_SUBSTITUTION"", ""CAL-P01321"", ""HIGH"", ""UNVERIFIED""]",5,"formula row re-aligned: expression='α = 2/π*K*√(σyk/E)*L/b', variable_symbols='α, K=2.074, σyk=355, E=200000, L=5344, b=620'"
P2IIB-REP-0006,calculation/chapter_04/section_4_2/formulas.csv,CAL-FML-P01321-004,column_shift,"[""CAL-FML-P01321-004"", ""1321"", ""1316"", ""CAL-CH4"", ""CAL-SEC-4.2.4"", ""横倒れ座屈低減係数ρbrg"", ""ρbrg = 1.0-0.412*(α-0.2)"", ""ρbrg"", ""α=0.479"", ""道示Ⅱ式(5.4.24)"", ""NUMERIC_SUBSTITUTION"", ""CAL-P01321"", ""HIGH"", ""UNVERIFIED""]","[""CAL-FML-P01321-004"", ""1321"", ""1316"", ""CAL-CH4"", ""CAL-SEC-4.2.4"", ""横倒れ座屈低減係数ρbrg"", ""ρbrg = 1.0-0.412*(α-0.2)"", ""ρbrg, α=0.479"", ""道示Ⅱ式(5.4.24)"", ""NUMERIC_SUBSTITUTION"", ""CAL-P01321"", ""HIGH"", ""UNVERIFIED""]",1,"formula row re-aligned: expression='ρbrg = 1.0-0.412*(α-0.2)', variable_symbols='ρbrg, α=0.479'"
P2IIB-REP-0007,calculation/chapter_04/section_4_2/formulas.csv,CAL-FML-P01321-005,column_shift,"[""CAL-FML-P01321-005"", ""1321"", ""1316"", ""CAL-CH4"", ""CAL-SEC-4.2.4"", ""横倒れ座屈制限応力度"", ""σbrgd = ξ1*ξ2*Φu*ρbrg*σyk"", ""σbrgd"", ""ξ1=0.9"", ""ξ2=1.0"", ""Φu=0.85"", ""ρbrg=0.885"", ""σyk=355"", ""道示Ⅱ式(5.4.23)"", ""NUMERIC_SUBSTITUTION"", ""CAL-P01321"", ""HIGH"", ""UNVERIFIED""]","[""CAL-FML-P01321-005"", ""1321"", ""1316"", ""CAL-CH4"", ""CAL-SEC-4.2.4"", ""横倒れ座屈制限応力度"", ""σbrgd = ξ1*ξ2*Φu*ρbrg*σyk"", ""σbrgd, ξ1=0.9, ξ2=1.0, Φu=0.85, ρbrg=0.885, σyk=355"", ""道示Ⅱ式(5.4.23)"", ""NUMERIC_SUBSTITUTION"", ""CAL-P01321"", ""HIGH"", ""UNVERIFIED""]",5,"formula row re-aligned: expression='σbrgd = ξ1*ξ2*Φu*ρbrg*σyk', variable_symbols='σbrgd, ξ1=0.9, ξ2=1.0, Φu=0.85, ρbrg=0.885, σyk=355'"
P2IIB-REP-0008,calculation/chapter_04/section_4_2/formulas.csv,CAL-FML-P01321-006,column_shift,"[""CAL-FML-P01321-006"", ""1321"", ""1316"", ""CAL-CH4"", ""CAL-SEC-4.2.4"", ""局部座屈パラメータR"", ""R = (b/t)*√[σyk/E*{12*(1-μ2)/(0.43*π2)}]"", ""R"", ""b=303"", ""t=22"", ""σyk=355"", ""E=200000"", ""μ=0.30"", ""道示Ⅱ式(5.4.7)"", ""NUMERIC_SUBSTITUTION"", ""CAL-P01321"", ""HIGH"", ""UNVERIFIED""]","[""CAL-FML-P01321-006"", ""1321"", ""1316"", ""CAL-CH4"", ""CAL-SEC-4.2.4"", ""局部座屈パラメータR"", ""R = (b/t)*√[σyk/E*{12*(1-μ2)/(0.43*π2)}]"", ""R, b=303, t=22, σyk=355, E=200000, μ=0.30"", ""道示Ⅱ式(5.4.7)"", ""NUMERIC_SUBSTITUTION"", ""CAL-P01321"", ""HIGH"", ""UNVERIFIED""]",5,"formula row re-aligned: expression='R = (b/t)*√[σyk/E*{12*(1-μ2)/(0.43*π2)}]', variable_symbols='R, b=303, t=22, σyk=355, E=200000, μ=0.30'"
P2IIB-REP-0009,calculation/chapter_04/section_4_2/formulas.csv,CAL-FML-P01321-007,column_shift,"[""CAL-FML-P01321-007"", ""1321"", ""1316"", ""CAL-CH4"", ""CAL-SEC-4.2.4"", ""局部座屈低減係数ρcrl"", ""ρcrl = (0.7/R)^1.19"", ""ρcrl"", ""R=0.931"", ""道示Ⅱ式(5.4.6)"", ""NUMERIC_SUBSTITUTION"", ""CAL-P01321"", ""HIGH"", ""UNVERIFIED""]","[""CAL-FML-P01321-007"", ""1321"", ""1316"", ""CAL-CH4"", ""CAL-SEC-4.2.4"", ""局部座屈低減係数ρcrl"", ""ρcrl = (0.7/R)^1.19"", ""ρcrl, R=0.931"", ""道示Ⅱ式(5.4.6)"", ""NUMERIC_SUBSTITUTION"", ""CAL-P01321"", ""HIGH"", ""UNVERIFIED""]",1,"formula row re-aligned: expression='ρcrl = (0.7/R)^1.19', variable_symbols='ρcrl, R=0.931'"
P2IIB-REP-0010,calculation/chapter_04/section_4_2/formulas.csv,CAL-FML-P01321-008,column_shift,"[""CAL-FML-P01321-008"", ""1321"", ""1316"", ""CAL-CH4"", ""CAL-SEC-4.2.4"", ""局部座屈制限応力度"", ""σcrld = ξ1*ξ2*Φu*ρcrl*σyk"", ""σcrld"", ""ξ1=0.9"", ""ξ2=1.0"", ""Φu=0.85"", ""ρcrl=0.712"", ""σyk=355"", ""道示Ⅱ式(5.4.5)"", ""NUMERIC_SUBSTITUTION"", ""CAL-P01321"", ""HIGH"", ""UNVERIFIED""]","[""CAL-FML-P01321-008"", ""1321"", ""1316"", ""CAL-CH4"", ""CAL-SEC-4.2.4"", ""局部座屈制限応力度"", ""σcrld = ξ1*ξ2*Φu*ρcrl*σyk"", ""σcrld, ξ1=0.9, ξ2=1.0, Φu=0.85, ρcrl=0.712, σyk=355"", ""道示Ⅱ式(5.4.5)"", ""NUMERIC_SUBSTITUTION"", ""CAL-P01321"", ""HIGH"", ""UNVERIFIED""]",5,"formula row re-aligned: expression='σcrld = ξ1*ξ2*Φu*ρcrl*σyk', variable_symbols='σcrld, ξ1=0.9, ξ2=1.0, Φu=0.85, ρcrl=0.712, σyk=355'"
