candidate_id,entity_id,candidate_layer,field_path_candidate,semantic_class,raw_value,raw_unit,normalized_value,normalized_unit,normalization_rule_id,source_record_ids,calculation_locator,drawing_locator,confidence,verification_status,parity_status,adoption_status,issue_id,conflict_id,human_confirmation_id,phase3_action,notes
AD-021,ENT-SUPPORT-PU15,adopted_design,adopted_bearing.PU15.type,bearing_type,E,,,,NOR-011,CH5-VAL-004,calc_pdf_p2027,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,"PU15 elastic-fixed bearing (E), side-block restraint."
AD-022,ENT-SUPPORT-PU15,adopted_design,adopted_bearing.PU15.rubber_layer,DIMENSION,32,mm,0.032,m,NOR-002,"ADV-011,CH5-VAL-016",calc_pdf_p2031,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,PU15 rubber layer te=32 mm x 5 layers.
AD-023,ENT-SUPPORT-PU15,adopted_design,adopted_bearing.PU15.rubber_total,DIMENSION,160,mm,0.16,m,NOR-002,CH5-VAL-017,calc_pdf_p2031,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,PU15 total rubber thickness sum te.
AD-024,ENT-SUPPORT-PU15,adopted_design,adopted_bearing.PU15.rubber_count,DERIVED_VALUE,5,層,5,層,NOR-010,CH5-VAL-020,calc_pdf_p2031,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,PU15 rubber layer count.
AD-025,ENT-SUPPORT-PU15,adopted_design,adopted_bearing.PU15.lead_plug,DIMENSION,95,mm,0.095,m,NOR-002,"ADV-013,CH5-VAL-024",calc_pdf_p2031,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,PU15 lead plug diameter phi_d 95 mm x 4.
AD-026,ENT-SUPPORT-PU15,adopted_design,adopted_bearing.PU15.lead_plug_count,DERIVED_VALUE,4,本,4,本,NOR-010,CH5-VAL-026,calc_pdf_p2031,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,PU15 lead plug count NP=4.
AD-027,ENT-SUPPORT-PU15,adopted_design,adopted_bearing.PU15.stiffness,MATERIAL_PROPERTY,12.391,kN/mm,12.391,kN/mm,NOR-013,CH5-VAL-031,calc_pdf_p2034,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,PU15 combined stiffness Km at +-50 deg C.
AD-028,ENT-SUPPORT-PR1,adopted_design,adopted_bearing.PR1.type,bearing_type,E,,,,NOR-011,CH5-VAL-004,calc_pdf_p2027,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,PR1 elastic-fixed bearing (E).
AD-029,ENT-SUPPORT-PR1,adopted_design,adopted_bearing.PR1.rubber_layer,DIMENSION,37,mm,0.037,m,NOR-002,"ADV-012,CH5-VAL-018",calc_pdf_p2031,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,PR1 rubber layer te=37 mm x 5 layers.
AD-030,ENT-SUPPORT-PR1,adopted_design,adopted_bearing.PR1.rubber_total,DIMENSION,185,mm,0.185,m,NOR-002,CH5-VAL-019,calc_pdf_p2031,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,PR1 total rubber thickness sum te.
