candidate_id,entity_id,candidate_layer,field_path_candidate,semantic_class,raw_value,raw_unit,normalized_value,normalized_unit,normalization_rule_id,source_record_ids,calculation_locator,drawing_locator,confidence,verification_status,parity_status,adoption_status,issue_id,conflict_id,human_confirmation_id,phase3_action,notes
AD-037,ENT-DECK,adopted_design,adopted_dimension.bridge_length,bridge_length,134.001,m,134.001,m,NOR-001,"CH1-VAL-005,GEO-001,DWG-DIM-S001-001",calc_pdf_p7,DWG-S001,HIGH,UNVERIFIED,BOTH,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Overall bridge length on ACL; drawing 134001 mm.
AD-038,ENT-DECK,adopted_design,adopted_dimension.girder_length_ag1,girder_length,133.151,m,133.151,m,NOR-001,"CH1-VAL-006,GEO-008",calc_pdf_p7,DWG-S001,HIGH,UNVERIFIED,BOTH,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Girder length AG1 (calc 133.151 m; drawing 133151 mm).
AD-039,ENT-DECK,adopted_design,adopted_dimension.girder_length_ag2,girder_length,132.847,m,132.847,m,NOR-001,"SRC-calculation_chapter_03_section_3_2_values-020,GEO-008",calc_pdf_p297,DWG-S001,HIGH,UNVERIFIED,BOTH,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Girder length AG2 (calc 132.847 m; drawing 132847 mm).
AD-040,ENT-DECK,adopted_design,adopted_dimension.span_1,span_length,40.201,m,40.201,m,NOR-001,"CH1-VAL-007,GEO-002,DWG-DIM-S001-003",calc_pdf_p7,DWG-S001,HIGH,UNVERIFIED,BOTH,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Span length 1 (ACL).
AD-041,ENT-DECK,adopted_design,adopted_dimension.span_2,span_length,51.000,m,51.000,m,NOR-001,"CH1-VAL-008,GEO-003,DWG-DIM-S001-003",calc_pdf_p7,DWG-S001,HIGH,UNVERIFIED,BOTH,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Span length 2 (ACL).
AD-042,ENT-DECK,adopted_design,adopted_dimension.span_3,span_length,40.200,m,40.200,m,NOR-001,"CH1-VAL-009,GEO-004,DWG-DIM-S001-003",calc_pdf_p7,DWG-S001,HIGH,UNVERIFIED,BOTH,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Span length 3 (ACL).
AD-043,ENT-DECK,adopted_design,adopted_dimension.total_width,total_width,8.010,m,8.010,m,NOR-001,"CH1-VAL-010,GEO-005,DWG-DIM-S009-006",calc_pdf_p7,DWG-S009,HIGH,UNVERIFIED,BOTH,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Deck total width; drawing 8031.7/8010.3/8010 mm at S1/S2/PR1.
AD-044,ENT-DECK,adopted_design,adopted_dimension.effective_width,effective_width,7.000,m,7.000,m,NOR-001,"CH1-VAL-011,GEO-006",calc_pdf_p7,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Effective roadway width 7.000 m (calc only).
AD-045,ENT-DECK,adopted_design,adopted_dimension.girder_spacing,girder_spacing,4500,mm,4.5,m,NOR-002,"DWG-DIM-S001-004,CH1-TBL-064",calc_pdf_p10,DWG-S001,HIGH,UNVERIFIED,BOTH,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Main girder spacing 4500 mm.
AD-046,ENT-DECK,adopted_design,adopted_dimension.girder_height,girder_height,2700,mm,2.7,m,NOR-002,"DWG-DIM-S001-005,SRC-calculation_chapter_03_section_3_2_values-009",calc_pdf_p293,DWG-S001,HIGH,UNVERIFIED,BOTH,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Reference girder height 2700 mm.
AD-047,ENT-DECK,adopted_design,adopted_dimension.deck_thickness,deck_thickness,230,mm,0.23,m,NOR-002,"CH1-VAL-022,CH2-VAL-022,DWG-DIM-S009-007",calc_pdf_p7,DWG-S009,HIGH,UNVERIFIED,BOTH,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Composite deck thickness 230 mm.
AD-048,ENT-DECK,adopted_design,adopted_dimension.pavement_thickness,DIMENSION,80,mm,0.08,m,NOR-002,"CH1-VAL-021,DWG-DIM-S009-008",calc_pdf_p7,DWG-S009,HIGH,UNVERIFIED,BOTH,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Pavement thickness 80 mm.
