candidate_id,entity_id,candidate_layer,field_path_candidate,semantic_class,raw_value,raw_unit,normalized_value,normalized_unit,normalization_rule_id,source_record_ids,calculation_locator,drawing_locator,confidence,verification_status,parity_status,adoption_status,issue_id,conflict_id,human_confirmation_id,phase3_action,notes
AN-001,ENT-SUPPORT-PU15,analysis,reaction.PU15_AG1_rd,reaction,1205.1,kN,1205.1,kN,NOR-003,"AR-001,CAL-VAL-P00223-001",calc_pdf_p223,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_ANALYSIS_RESULT,,,,GOLDEN_EXCLUDED,Dead load reaction Rd PU15-AG1. Comes from grid analysis (Chapter 3.1.8); no recalculation performed. Excluded from Golden input.
AN-002,ENT-SUPPORT-PR1,analysis,reaction.PR1_AG1_rd,reaction,3325.5,kN,3325.5,kN,NOR-003,"AR-002,CAL-VAL-P00223-003",calc_pdf_p223,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_ANALYSIS_RESULT,,,,GOLDEN_EXCLUDED,Dead load reaction Rd PR1-AG1. Comes from grid analysis (Chapter 3.1.8); no recalculation performed. Excluded from Golden input.
AN-003,ENT-SUPPORT-PR2,analysis,reaction.PR2_AG1_rd,reaction,3341.6,kN,3341.6,kN,NOR-003,"AR-003,CAL-VAL-P00223-005",calc_pdf_p223,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_ANALYSIS_RESULT,,,,GOLDEN_EXCLUDED,Dead load reaction Rd PR2-AG1. Comes from grid analysis (Chapter 3.1.8); no recalculation performed. Excluded from Golden input.
AN-004,ENT-SUPPORT-AR2,analysis,reaction.AR2_AG1_rd,reaction,1221.9,kN,1221.9,kN,NOR-003,"AR-004,CAL-VAL-P00223-007",calc_pdf_p223,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_ANALYSIS_RESULT,,,,GOLDEN_EXCLUDED,Dead load reaction Rd AR2-AG1. Comes from grid analysis (Chapter 3.1.8); no recalculation performed. Excluded from Golden input.
AN-005,ENT-SUPPORT-PU15,analysis,reaction.PU15_AG1_rlmax,reaction,737.8,kN,737.8,kN,NOR-003,"AR-005,CAL-VAL-P00223-009",calc_pdf_p223,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_ANALYSIS_RESULT,,,,GOLDEN_EXCLUDED,Live load RL max PU15-AG1. Comes from grid analysis (Chapter 3.1.8); no recalculation performed. Excluded from Golden input.
AN-006,ENT-SUPPORT-PR1,analysis,reaction.PR1_AG1_rlmax,reaction,1378.9,kN,1378.9,kN,NOR-003,"AR-006,CAL-VAL-P00223-010",calc_pdf_p223,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_ANALYSIS_RESULT,,,,GOLDEN_EXCLUDED,Live load RL max PR1-AG1. Comes from grid analysis (Chapter 3.1.8); no recalculation performed. Excluded from Golden input.
AN-007,ENT-SUPPORT-PR2,analysis,reaction.PR2_AG1_rlmax,reaction,1383.2,kN,1383.2,kN,NOR-003,CAL-VAL-P00223-011,calc_pdf_p223,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_ANALYSIS_RESULT,,,,GOLDEN_EXCLUDED,Live load RL max PR2-AG1. Comes from grid analysis (Chapter 3.1.8); no recalculation performed. Excluded from Golden input.
AN-008,ENT-SUPPORT-AR2,analysis,reaction.AR2_AG1_rlmax,reaction,777.3,kN,777.3,kN,NOR-003,CAL-VAL-P00223-012,calc_pdf_p223,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_ANALYSIS_RESULT,,,,GOLDEN_EXCLUDED,Live load RL max AR2-AG1. Comes from grid analysis (Chapter 3.1.8); no recalculation performed. Excluded from Golden input.
AN-009,ENT-SUPPORT-PU15,analysis,reaction.PU15_AG1_rlmin,reaction,-128.0,kN,-128.0,kN,NOR-003,CAL-VAL-P00223-013,calc_pdf_p223,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_ANALYSIS_RESULT,,,,GOLDEN_EXCLUDED,Live load RL min PU15-AG1. Comes from grid analysis (Chapter 3.1.8); no recalculation performed. Excluded from Golden input.
AN-010,ENT-SUPPORT-PR1,analysis,reaction.PR1_AG1_rlmin,reaction,-164.0,kN,-164.0,kN,NOR-003,CAL-VAL-P00223-014,calc_pdf_p223,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_ANALYSIS_RESULT,,,,GOLDEN_EXCLUDED,Live load RL min PR1-AG1. Comes from grid analysis (Chapter 3.1.8); no recalculation performed. Excluded from Golden input.
