candidate_id,entity_id,candidate_layer,field_path_candidate,semantic_class,raw_value,raw_unit,normalized_value,normalized_unit,normalization_rule_id,source_record_ids,calculation_locator,drawing_locator,confidence,verification_status,parity_status,adoption_status,issue_id,conflict_id,human_confirmation_id,phase3_action,notes
DS-063,ENT-GIRDER-AG1,design,check_ratio.ag1.sec-1.kappa.1,check_ratio,0.11,,0.11,,NOR-009,SRC-calculation_chapter_03_section_3_2_tables-005,calc_pdf_p293,,MEDIUM,UNVERIFIED,CALC_ONLY,EXCLUDED_DESIGN_RESULT,,,,GOLDEN_EXCLUDED,Combined bending+shear kappa from table 'AG1 Sec-1 results'.
DS-067,ENT-GIRDER-AG1,design,check_ratio.ag1.sec-1-j-1.kappa.1,check_ratio,0.48,,0.48,,NOR-009,SRC-calculation_chapter_03_section_3_2_tables-010,calc_pdf_p294,,MEDIUM,UNVERIFIED,CALC_ONLY,EXCLUDED_DESIGN_RESULT,,,,GOLDEN_EXCLUDED,Combined bending+shear kappa from table 'AG1 Sec-1(J-1) stresses'.
DS-071,ENT-GIRDER-AG1,design,check_ratio.ag1.sec-2-j-2.kappa.1,check_ratio,0.79,,0.79,,NOR-009,SRC-calculation_chapter_03_section_3_2_tables-011,calc_pdf_p295,,MEDIUM,UNVERIFIED,CALC_ONLY,EXCLUDED_DESIGN_RESULT,,,,GOLDEN_EXCLUDED,Combined bending+shear kappa from table 'AG1 Sec-2(J-2) section'.
DS-075,ENT-GIRDER-AG1,design,check_ratio.ag1.sec-3-mx-max.kappa.1,check_ratio,0.82,,0.82,,NOR-009,SRC-calculation_chapter_03_section_3_2_tables-012,calc_pdf_p296,,MEDIUM,UNVERIFIED,CALC_ONLY,EXCLUDED_DESIGN_RESULT,,,,GOLDEN_EXCLUDED,Combined bending+shear kappa from table 'AG1 Sec-3(Mx-Max) section'.
DS-079,ENT-GIRDER-AG1,design,check_ratio.ag1.sec-4-j-3.kappa.1,check_ratio,0.63,,0.63,,NOR-009,SRC-calculation_chapter_03_section_3_2_tables-013,calc_pdf_p297,,MEDIUM,UNVERIFIED,CALC_ONLY,EXCLUDED_DESIGN_RESULT,,,,GOLDEN_EXCLUDED,Combined bending+shear kappa from table 'AG1 Sec-4(J-3) section'.
DS-085,ENT-GIRDER-AG1,design,check_ratio.ag1.sec-4-j-4.kappa.1,check_ratio,0.27,,0.27,,NOR-009,SRC-calculation_chapter_03_section_3_2_tables-015,calc_pdf_p298,,MEDIUM,UNVERIFIED,CALC_ONLY,EXCLUDED_DESIGN_RESULT,,,,GOLDEN_EXCLUDED,Combined bending+shear kappa from table 'AG1 Sec-4(J-4) negative'.
DS-086,ENT-GIRDER-AG1,design,check_ratio.ag1.sec-4-j-4.kappa.2,check_ratio,0.12,,0.12,,NOR-009,SRC-calculation_chapter_03_section_3_2_tables-015,calc_pdf_p298,,MEDIUM,UNVERIFIED,CALC_ONLY,EXCLUDED_DESIGN_RESULT,,,,GOLDEN_EXCLUDED,Combined bending+shear kappa from table 'AG1 Sec-4(J-4) negative'.
DS-092,ENT-GIRDER-AG1,design,check_ratio.ag1.sec-5-左.kappa.1,check_ratio,0.23,,0.23,,NOR-009,SRC-calculation_chapter_03_section_3_2_tables-017,calc_pdf_p299,,MEDIUM,UNVERIFIED,CALC_ONLY,EXCLUDED_DESIGN_RESULT,,,,GOLDEN_EXCLUDED,Combined bending+shear kappa from table 'AG1 Sec-5(左) negative'.
DS-093,ENT-GIRDER-AG1,design,check_ratio.ag1.sec-5-左.kappa.2,check_ratio,0.11,,0.11,,NOR-009,SRC-calculation_chapter_03_section_3_2_tables-017,calc_pdf_p299,,MEDIUM,UNVERIFIED,CALC_ONLY,EXCLUDED_DESIGN_RESULT,,,,GOLDEN_EXCLUDED,Combined bending+shear kappa from table 'AG1 Sec-5(左) negative'.
DS-097,ENT-GIRDER-AG1,design,check_ratio.ag1.sec-5-j-5.kappa.1,check_ratio,0.94,,0.94,,NOR-009,SRC-calculation_chapter_03_section_3_2_tables-018,calc_pdf_p300,,MEDIUM,UNVERIFIED,CALC_ONLY,EXCLUDED_DESIGN_RESULT,,,,GOLDEN_EXCLUDED,Combined bending+shear kappa from table 'AG1 Sec-5(J-5) section'.
