candidate_id,entity_id,candidate_layer,field_path_candidate,semantic_class,raw_value,raw_unit,normalized_value,normalized_unit,normalization_rule_id,source_record_ids,calculation_locator,drawing_locator,confidence,verification_status,parity_status,adoption_status,issue_id,conflict_id,human_confirmation_id,phase3_action,notes
DS-001,ENT-GIRDER-AG1,design,section_property.ag1.sec-1.uflg,SECTION_PROPERTY,620 x 22,mm,,,NOR-011,"SRC-calculation_chapter_03_section_3_2_values-029,ADV-001",calc_pdf_p293,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Adopted section plate dimension (SM490Y unless noted; Sec-6 LFLG SM520-H).
DS-002,ENT-GIRDER-AG1,design,section_property.ag1.sec-1.web,SECTION_PROPERTY,2537 x 14,mm,,,NOR-011,"SRC-calculation_chapter_03_section_3_2_values-030,ADV-002",calc_pdf_p293,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Adopted section plate dimension (SM490Y unless noted; Sec-6 LFLG SM520-H).
DS-003,ENT-GIRDER-AG1,design,section_property.ag1.sec-1.lflg,SECTION_PROPERTY,680 x 21,mm,,,NOR-011,"SRC-calculation_chapter_03_section_3_2_values-031,ADV-003",calc_pdf_p293,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,CONF-P2II-001,,GOLDEN_ELIGIBLE,Adopted section LFLG plate width (calc 680 mm). CONFLICT with drawing 700 mm -> CONF-P2II-001.
DS-004,ENT-GIRDER-AG1,design,section_property.ag1.sec-1.I,SECTION_PROPERTY,6473032,cm4,6473032,cm4,NONE,SRC-calculation_chapter_03_section_3_2_values-032,calc_pdf_p293,,MEDIUM,UNVERIFIED,CALC_ONLY,EXCLUDED_DESIGN_RESULT,,,,GOLDEN_EXCLUDED,Section property I/Yu/YL/A computed by design program; excluded from Golden input.
DS-005,ENT-GIRDER-AG1,design,section_property.ag1.sec-1.Yu,SECTION_PROPERTY,-130.33,cm,-130.33,cm,NONE,SRC-calculation_chapter_03_section_3_2_values-033,calc_pdf_p293,,MEDIUM,UNVERIFIED,CALC_ONLY,EXCLUDED_DESIGN_RESULT,,,,GOLDEN_EXCLUDED,Section property I/Yu/YL/A computed by design program; excluded from Golden input.
DS-006,ENT-GIRDER-AG1,design,section_property.ag1.sec-1.YL,SECTION_PROPERTY,127.67,cm,127.67,cm,NONE,SRC-calculation_chapter_03_section_3_2_values-034,calc_pdf_p293,,MEDIUM,UNVERIFIED,CALC_ONLY,EXCLUDED_DESIGN_RESULT,,,,GOLDEN_EXCLUDED,Section property I/Yu/YL/A computed by design program; excluded from Golden input.
DS-007,ENT-GIRDER-AG1,design,section_property.ag1.sec-1.A,SECTION_PROPERTY,634.38,cm2,634.38,cm2,NONE,SRC-calculation_chapter_03_section_3_2_values-035,calc_pdf_p293,,MEDIUM,UNVERIFIED,CALC_ONLY,EXCLUDED_DESIGN_RESULT,,,,GOLDEN_EXCLUDED,Section property I/Yu/YL/A computed by design program; excluded from Golden input.
DS-008,ENT-GIRDER-AG1,design,section_property.ag1.sec-3.uflg,SECTION_PROPERTY,620 x 27,mm,,,NOR-011,"SRC-calculation_chapter_03_section_3_2_values-036,ADV-004",calc_pdf_p296,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Adopted section plate dimension (SM490Y unless noted; Sec-6 LFLG SM520-H).
DS-009,ENT-GIRDER-AG1,design,section_property.ag1.sec-3.lflg,SECTION_PROPERTY,680 x 21,mm,,,NOR-011,"SRC-calculation_chapter_03_section_3_2_values-037,ADV-005",calc_pdf_p296,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,CONF-P2II-001,,GOLDEN_ELIGIBLE,Adopted section LFLG plate width (calc 680 mm). CONFLICT with drawing 700 mm -> CONF-P2II-001.
DS-010,ENT-GIRDER-AG1,design,section_property.ag1.sec-3.web,SECTION_PROPERTY,2652 x 14,mm,,,NOR-011,SRC-calculation_chapter_03_section_3_2_values-038,calc_pdf_p296,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Adopted section plate dimension (SM490Y unless noted; Sec-6 LFLG SM520-H).
