candidate_id,entity_id,candidate_layer,field_path_candidate,semantic_class,raw_value,raw_unit,normalized_value,normalized_unit,normalization_rule_id,source_record_ids,calculation_locator,drawing_locator,confidence,verification_status,parity_status,adoption_status,issue_id,conflict_id,human_confirmation_id,phase3_action,notes
DR-207,ENT-LINE-ACL,drawing,drawing.dimension.DWG-DIM-S001-001,DIMENSION,134001,mm,134.001,m,NOR-002,DWG-DIM-S001-001,calc_pdf_p3,DWG-S001,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,ACL上
DR-208,ENT-LINE-ACL,drawing,drawing.dimension.DWG-DIM-S001-002,DIMENSION,133151/132847,mm,,,NOR-011,DWG-DIM-S001-002,calc_pdf_p3,DWG-S001,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,"AG1=133151, AG2=132847"
DR-209,ENT-LINE-ACL,drawing,drawing.dimension.DWG-DIM-S001-003,DIMENSION,40201/51000/40200,mm,,,NOR-011,DWG-DIM-S001-003,calc_pdf_p3,DWG-S001,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,3 spans
DR-210,ENT-LINE-ACL,drawing,drawing.dimension.DWG-DIM-S001-004,DIMENSION,4500,mm,4.5,m,NOR-002,DWG-DIM-S001-004,calc_pdf_p3,DWG-S001,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,
DR-211,ENT-LINE-ACL,drawing,drawing.dimension.DWG-DIM-S001-005,DIMENSION,2700,mm,2.7,m,NOR-002,DWG-DIM-S001-005,calc_pdf_p3,DWG-S001,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,
DR-212,ENT-DECK,drawing,drawing.dimension.DWG-DIM-S009-006,DIMENSION,8031.7/8010.3/8010,mm,,,NOR-011,DWG-DIM-S009-006,calc_pdf_p11,DWG-S009,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,At S1/S2/PR1
DR-213,ENT-DECK,drawing,drawing.dimension.DWG-DIM-S009-007,DIMENSION,230,mm,0.23,m,NOR-002,DWG-DIM-S009-007,calc_pdf_p11,DWG-S009,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Steel-concrete composite
DR-214,ENT-DECK,drawing,drawing.dimension.DWG-DIM-S009-008,DIMENSION,80,mm,0.08,m,NOR-002,DWG-DIM-S009-008,calc_pdf_p11,DWG-S009,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,
DR-215,ENT-DECK,drawing,drawing.dimension.DWG-DIM-S009-009,DIMENSION,2750/2750.1/2750,mm,,,NOR-011,DWG-DIM-S009-009,calc_pdf_p11,DWG-S009,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,
DR-216,ENT-GIRDER-AG1,drawing,drawing.dimension.DWG-DIM-S013-010,DIMENSION,620,mm,0.62,m,NOR-002,DWG-DIM-S013-010,calc_pdf_p15,DWG-S013,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,All sections
DR-217,ENT-GIRDER-AG1,drawing,drawing.dimension.DWG-DIM-S013-011,DIMENSION,22/27/27/25/27/39/26/26/28,mm,,,NOR-011,DWG-DIM-S013-011,calc_pdf_p15,DWG-S013,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Sec-1 to Sec-9
DR-218,ENT-GIRDER-AG1,drawing,drawing.dimension.DWG-DIM-S013-012,DIMENSION,2537-2657,mm,,,NOR-011,DWG-DIM-S013-012,calc_pdf_p15,DWG-S013,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Range across sections
DR-219,ENT-GIRDER-AG1,drawing,drawing.dimension.DWG-DIM-S013-013,DIMENSION,14,mm,0.014,m,NOR-002,DWG-DIM-S013-013,calc_pdf_p15,DWG-S013,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,All sections
DR-220,ENT-GIRDER-AG1,drawing,drawing.dimension.DWG-DIM-S013-014,DIMENSION,700/700/700/700/700/700/700/700/700,mm,,,NOR-011,DWG-DIM-S013-014,calc_pdf_p15,DWG-S013,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,CONF-P2II-001,,GOLDEN_ELIGIBLE,CONFLICT: drawing bottom flange width 700 mm vs calc 680 mm (CONF-P2II-001).
DR-221,ENT-GIRDER-AG1,drawing,drawing.dimension.DWG-DIM-S013-015,DIMENSION,28/32/32/32/36/40/36/36/36,mm,,,NOR-011,DWG-DIM-S013-015,calc_pdf_p15,DWG-S013,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Sec-1 to Sec-9
DR-222,ENT-GIRDER-AG1,drawing,drawing.dimension.DWG-DIM-S013-016,DIMENSION,5344/7@4992.5/10@5097.4/6@5094.6/4834.7/4885,mm,,,NOR-011,DWG-DIM-S013-016,calc_pdf_p15,DWG-S013,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,
DR-223,ENT-GIRDER-AG2,drawing,drawing.dimension.DWG-DIM-S014-017,DIMENSION,5020.1/7@5000/10@5105.1/6@5102.2/4700/4712.7,mm,,,NOR-011,DWG-DIM-S014-017,calc_pdf_p16,DWG-S014,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,
DR-224,ENT-GIRDER-AG1,drawing,drawing.dimension.DWG-DIM-S021-018,DIMENSION,PL 620x22x8151,mm,,,NOR-011,DWG-DIM-S021-018,calc_pdf_p23,DWG-S021,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,SM490YB
DR-225,ENT-GIRDER-AG1,drawing,drawing.dimension.DWG-DIM-S021-019,DIMENSION,PL 620x27x6241,mm,,,NOR-011,DWG-DIM-S021-019,calc_pdf_p23,DWG-S021,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,SM490YB
DR-226,ENT-GIRDER-AG1,drawing,drawing.dimension.DWG-DIM-S021-020,DIMENSION,PL 2663x14x8113,mm,,,NOR-011,DWG-DIM-S021-020,calc_pdf_p23,DWG-S021,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,SM490YA
DR-227,ENT-GIRDER-AG1,drawing,drawing.dimension.DWG-DIM-S021-021,DIMENSION,PL 2655x14x6260,mm,,,NOR-011,DWG-DIM-S021-021,calc_pdf_p23,DWG-S021,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,SM490YA
DR-228,ENT-GIRDER-AG1,drawing,drawing.dimension.DWG-DIM-S021-022,DIMENSION,PL 700x28x8148,mm,,,NOR-011,DWG-DIM-S021-022,calc_pdf_p23,DWG-S021,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,
DR-229,ENT-GIRDER-AG1,drawing,drawing.dimension.DWG-DIM-S021-023,DIMENSION,PL 700x32x6241,mm,,,NOR-011,DWG-DIM-S021-023,calc_pdf_p23,DWG-S021,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,
