candidate_id,entity_id,candidate_layer,field_path_candidate,semantic_class,raw_value,raw_unit,normalized_value,normalized_unit,normalization_rule_id,source_record_ids,calculation_locator,drawing_locator,confidence,verification_status,parity_status,adoption_status,issue_id,conflict_id,human_confirmation_id,phase3_action,notes
DR-822,ENT-LINE-ACL,drawing,drawing.reference.DWG-REF-S001-001,REFERENCE_TEXT,位置図,,,,NOR-011,DWG-REF-S001-001,calc_pdf_p3,DWG-S001,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,site/location
DR-823,ENT-LINE-ACL,drawing,drawing.reference.DWG-REF-S002-001,REFERENCE_TEXT,橋梁一般図(その1),,,,NOR-011,DWG-REF-S002-001,calc_pdf_p4,DWG-S002,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,general arrangement
DR-824,ENT-LINE-ACL,drawing,drawing.reference.DWG-REF-S003-001,REFERENCE_TEXT,橋梁一般図(その2),,,,NOR-011,DWG-REF-S003-001,calc_pdf_p5,DWG-S003,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,general arrangement
DR-825,ENT-LINE-ACL,drawing,drawing.reference.DWG-REF-S004-001,REFERENCE_TEXT,橋梁一般図(その3),,,,NOR-011,DWG-REF-S004-001,calc_pdf_p6,DWG-S004,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,general arrangement
DR-826,ENT-LINE-ACL,drawing,drawing.reference.DWG-REF-S005-001,REFERENCE_TEXT,数量総括表(その1),,,,NOR-011,DWG-REF-S005-001,calc_pdf_p7,DWG-S005,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,steel quantities
DR-827,ENT-LINE-ACL,drawing,drawing.reference.DWG-REF-S006-001,REFERENCE_TEXT,数量総括表(その2),,,,NOR-011,DWG-REF-S006-001,calc_pdf_p8,DWG-S006,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,bolt/paint/weld quantities
DR-828,ENT-LINE-ACL,drawing,drawing.reference.DWG-REF-S007-001,REFERENCE_TEXT,数量総括表(その3),,,,NOR-011,DWG-REF-S007-001,calc_pdf_p9,DWG-S007,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,parapet/drainage quantities
DR-829,ENT-LINE-ACL,drawing,drawing.reference.DWG-REF-S008-001,REFERENCE_TEXT,上部工構造一般図(その1),,,,NOR-011,DWG-REF-S008-001,calc_pdf_p10,DWG-S008,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,structural general arrangement
DR-830,ENT-DECK,drawing,drawing.reference.DWG-REF-S009-001,REFERENCE_TEXT,上部工構造一般図(その2),,,,NOR-011,DWG-REF-S009-001,calc_pdf_p11,DWG-S009,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,cross-section at supports
DR-831,ENT-LINE-ACL,drawing,drawing.reference.DWG-REF-S010-001,REFERENCE_TEXT,線形図(その1),,,,NOR-011,DWG-REF-S010-001,calc_pdf_p12,DWG-S010,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,alignment
