candidate_id,entity_id,candidate_layer,field_path_candidate,semantic_class,raw_value,raw_unit,normalized_value,normalized_unit,normalization_rule_id,source_record_ids,calculation_locator,drawing_locator,confidence,verification_status,parity_status,adoption_status,issue_id,conflict_id,human_confirmation_id,phase3_action,notes
DR-001,ENT-LINE-ACL,drawing,drawing.sheet.1,text,位置図,,,,NOR-011,DWG-TB-S001-001,calc_pdf_p3,DWG-S001,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Drawing sheet 1 (location).
DR-002,ENT-LINE-ACL,drawing,drawing.sheet.2,text,橋梁一般図（その1）,,,,NOR-011,DWG-TB-S002-001,calc_pdf_p4,DWG-S002,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Drawing sheet 2 (general).
DR-003,ENT-LINE-ACL,drawing,drawing.sheet.3,text,橋梁一般図（その2）,,,,NOR-011,DWG-TB-S003-001,calc_pdf_p5,DWG-S003,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Drawing sheet 3 (general).
DR-004,ENT-LINE-ACL,drawing,drawing.sheet.4,text,橋梁一般図（その3）,,,,NOR-011,DWG-TB-S004-001,calc_pdf_p6,DWG-S004,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Drawing sheet 4 (general).
DR-005,ENT-LINE-ACL,drawing,drawing.sheet.5,text,数量総括表（その1）,,,,NOR-011,DWG-TB-S005-001,calc_pdf_p7,DWG-S005,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Drawing sheet 5 (quantities).
DR-006,ENT-LINE-ACL,drawing,drawing.sheet.6,text,数量総括表（その2）,,,,NOR-011,DWG-TB-S006-001,calc_pdf_p8,DWG-S006,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Drawing sheet 6 (quantities).
DR-007,ENT-LINE-ACL,drawing,drawing.sheet.7,text,数量総括表（その3）,,,,NOR-011,DWG-TB-S007-001,calc_pdf_p9,DWG-S007,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Drawing sheet 7 (quantities).
DR-008,ENT-LINE-ACL,drawing,drawing.sheet.8,text,上部工構造一般図（その1）,,,,NOR-011,DWG-TB-S008-001,calc_pdf_p10,DWG-S008,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Drawing sheet 8 (structure_general).
DR-009,ENT-LINE-ACL,drawing,drawing.sheet.9,text,上部工構造一般図（その2）,,,,NOR-011,DWG-TB-S009-001,calc_pdf_p11,DWG-S009,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Drawing sheet 9 (structure_general).
DR-010,ENT-LINE-ACL,drawing,drawing.sheet.10,text,線形図（その1）,,,,NOR-011,DWG-TB-S010-001,calc_pdf_p12,DWG-S010,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Drawing sheet 10 (alignment).
DR-011,ENT-LINE-ACL,drawing,drawing.sheet.11,text,線形図（その2）,,,,NOR-011,DWG-TB-S011-001,calc_pdf_p13,DWG-S011,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Drawing sheet 11 (alignment).
DR-012,ENT-LINE-ACL,drawing,drawing.sheet.12,text,線形図（その3）,,,,NOR-011,DWG-TB-S012-001,calc_pdf_p14,DWG-S012,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Drawing sheet 12 (alignment).
DR-013,ENT-LINE-ACL,drawing,drawing.sheet.13,text,断面構成図（その1）,,,,NOR-011,DWG-TB-S013-001,calc_pdf_p15,DWG-S013,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Drawing sheet 13 (cross_section).
DR-014,ENT-LINE-ACL,drawing,drawing.sheet.14,text,断面構成図（その2）,,,,NOR-011,DWG-TB-S014-001,calc_pdf_p16,DWG-S014,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Drawing sheet 14 (cross_section).
DR-015,ENT-LINE-ACL,drawing,drawing.sheet.15,text,断面構成図（その3）,,,,NOR-011,DWG-TB-S015-001,calc_pdf_p17,DWG-S015,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Drawing sheet 15 (cross_section).
DR-016,ENT-LINE-ACL,drawing,drawing.sheet.16,text,断面構成図（その4）,,,,NOR-011,DWG-TB-S016-001,calc_pdf_p18,DWG-S016,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Drawing sheet 16 (cross_section).
DR-017,ENT-LINE-ACL,drawing,drawing.sheet.17,text,共通詳細図（その1）,,,,NOR-011,DWG-TB-S017-001,calc_pdf_p19,DWG-S017,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Drawing sheet 17 (common_detail).
