candidate_id,entity_id,candidate_layer,field_path_candidate,semantic_class,raw_value,raw_unit,normalized_value,normalized_unit,normalization_rule_id,source_record_ids,calculation_locator,drawing_locator,confidence,verification_status,parity_status,adoption_status,issue_id,conflict_id,human_confirmation_id,phase3_action,notes
DR-778,ENT-LINE-ACL,drawing,drawing.title_block.DWG-TB-S001-001,TITLE_BLOCK_VALUE,図示,,,,NOR-011,DWG-TB-S001-001,calc_pdf_p3,DWG-S001,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Title block field '旭高架橋 Aランプ PU15ｰAR2'.
DR-779,ENT-LINE-ACL,drawing,drawing.title_block.DWG-TB-S002-001,TITLE_BLOCK_VALUE,1:200,,,,NOR-011,DWG-TB-S002-001,calc_pdf_p4,DWG-S002,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Title block field '旭高架橋 Aランプ PU15ｰAR2'.
DR-780,ENT-LINE-ACL,drawing,drawing.title_block.DWG-TB-S003-001,TITLE_BLOCK_VALUE,1:200,,,,NOR-011,DWG-TB-S003-001,calc_pdf_p5,DWG-S003,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Title block field '旭高架橋 Aランプ PU15ｰAR2'.
DR-781,ENT-LINE-ACL,drawing,drawing.title_block.DWG-TB-S004-001,TITLE_BLOCK_VALUE,1:200,,,,NOR-011,DWG-TB-S004-001,calc_pdf_p6,DWG-S004,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Title block field '旭高架橋 Aランプ PU15ｰAR2'.
DR-782,ENT-LINE-ACL,drawing,drawing.title_block.DWG-TB-S005-001,TITLE_BLOCK_VALUE,図示,,,,NOR-011,DWG-TB-S005-001,calc_pdf_p7,DWG-S005,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Title block field '旭高架橋 Aランプ PU15ｰAR2'.
DR-783,ENT-LINE-ACL,drawing,drawing.title_block.DWG-TB-S006-001,TITLE_BLOCK_VALUE,図示,,,,NOR-011,DWG-TB-S006-001,calc_pdf_p8,DWG-S006,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Title block field '旭高架橋 Aランプ PU15ｰAR2'.
DR-784,ENT-LINE-ACL,drawing,drawing.title_block.DWG-TB-S007-001,TITLE_BLOCK_VALUE,図示,,,,NOR-011,DWG-TB-S007-001,calc_pdf_p9,DWG-S007,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Title block field '旭高架橋 Aランプ PU15ｰAR2'.
DR-785,ENT-LINE-ACL,drawing,drawing.title_block.DWG-TB-S008-001,TITLE_BLOCK_VALUE,1:200,,,,NOR-011,DWG-TB-S008-001,calc_pdf_p10,DWG-S008,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Title block field '旭高架橋 Aランプ PU15ｰAR2'.
DR-786,ENT-DECK,drawing,drawing.title_block.DWG-TB-S009-001,TITLE_BLOCK_VALUE,1:50,,,,NOR-011,DWG-TB-S009-001,calc_pdf_p11,DWG-S009,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Title block field '旭高架橋 Aランプ PU15ｰAR2'.
DR-787,ENT-LINE-ACL,drawing,drawing.title_block.DWG-TB-S010-001,TITLE_BLOCK_VALUE,1:1200,,,,NOR-011,DWG-TB-S010-001,calc_pdf_p12,DWG-S010,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Title block field '旭高架橋 Aランプ PU15ｰAR2'.
DR-788,ENT-LINE-ACL,drawing,drawing.title_block.DWG-TB-S011-001,TITLE_BLOCK_VALUE,1:200,,,,NOR-011,DWG-TB-S011-001,calc_pdf_p13,DWG-S011,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Title block field '旭高架橋 Aランプ PU15ｰAR2'.
DR-789,ENT-LINE-ACL,drawing,drawing.title_block.DWG-TB-S012-001,TITLE_BLOCK_VALUE,1:100,,,,NOR-011,DWG-TB-S012-001,calc_pdf_p14,DWG-S012,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Title block field '旭高架橋 Aランプ PU15ｰAR2'.
DR-790,ENT-GIRDER-AG1,drawing,drawing.title_block.DWG-TB-S013-001,TITLE_BLOCK_VALUE,図示,,,,NOR-011,DWG-TB-S013-001,calc_pdf_p15,DWG-S013,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Title block field '旭高架橋 Aランプ PU15ｰAR2'.
DR-791,ENT-GIRDER-AG2,drawing,drawing.title_block.DWG-TB-S014-001,TITLE_BLOCK_VALUE,図示,,,,NOR-011,DWG-TB-S014-001,calc_pdf_p16,DWG-S014,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Title block field '旭高架橋 Aランプ PU15ｰAR2'.
DR-792,ENT-DECK,drawing,drawing.title_block.DWG-TB-S015-001,TITLE_BLOCK_VALUE,図示,,,,NOR-011,DWG-TB-S015-001,calc_pdf_p17,DWG-S015,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Title block field '旭高架橋 Aランプ PU15ｰAR2'.
DR-793,ENT-DECK,drawing,drawing.title_block.DWG-TB-S016-001,TITLE_BLOCK_VALUE,図示,,,,NOR-011,DWG-TB-S016-001,calc_pdf_p18,DWG-S016,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Title block field '旭高架橋 Aランプ PU15ｰAR2'.
DR-794,ENT-LINE-ACL,drawing,drawing.title_block.DWG-TB-S017-001,TITLE_BLOCK_VALUE,1:20,,,,NOR-011,DWG-TB-S017-001,calc_pdf_p19,DWG-S017,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Title block field '旭高架橋 Aランプ PU15ｰAR2'.
DR-795,ENT-LINE-ACL,drawing,drawing.title_block.DWG-TB-S018-001,TITLE_BLOCK_VALUE,1:10,,,,NOR-011,DWG-TB-S018-001,calc_pdf_p20,DWG-S018,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Title block field '旭高架橋 Aランプ PU15ｰAR2'.
DR-796,ENT-LINE-ACL,drawing,drawing.title_block.DWG-TB-S019-001,TITLE_BLOCK_VALUE,1:10,,,,NOR-011,DWG-TB-S019-001,calc_pdf_p21,DWG-S019,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Title block field '旭高架橋 Aランプ PU15ｰAR2'.
DR-797,ENT-LINE-ACL,drawing,drawing.title_block.DWG-TB-S020-001,TITLE_BLOCK_VALUE,図示,,,,NOR-011,DWG-TB-S020-001,calc_pdf_p22,DWG-S020,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Title block field '旭高架橋 Aランプ PU15ｰAR2'.
DR-798,ENT-GIRDER-AG1,drawing,drawing.title_block.DWG-TB-S021-001,TITLE_BLOCK_VALUE,1:30,,,,NOR-011,DWG-TB-S021-001,calc_pdf_p23,DWG-S021,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Title block field '旭高架橋 Aランプ PU15ｰAR2'.
DR-799,ENT-GIRDER-AG1,drawing,drawing.title_block.DWG-TB-S022-001,TITLE_BLOCK_VALUE,1:30,,,,NOR-011,DWG-TB-S022-001,calc_pdf_p24,DWG-S022,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Title block field '旭高架橋 Aランプ PU15ｰAR2'.
DR-800,ENT-GIRDER-AG1,drawing,drawing.title_block.DWG-TB-S023-001,TITLE_BLOCK_VALUE,1:30,,,,NOR-011,DWG-TB-S023-001,calc_pdf_p25,DWG-S023,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Title block field '旭高架橋 Aランプ PU15ｰAR2'.
DR-801,ENT-GIRDER-AG1,drawing,drawing.title_block.DWG-TB-S024-001,TITLE_BLOCK_VALUE,1:30,,,,NOR-011,DWG-TB-S024-001,calc_pdf_p26,DWG-S024,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Title block field '旭高架橋 Aランプ PU15ｰAR2'.
