candidate_id,entity_id,candidate_layer,field_path_candidate,semantic_class,raw_value,raw_unit,normalized_value,normalized_unit,normalization_rule_id,source_record_ids,calculation_locator,drawing_locator,confidence,verification_status,parity_status,adoption_status,issue_id,conflict_id,human_confirmation_id,phase3_action,notes
DR-142,ENT-LINE-ACL,drawing,drawing.view.DWG-VW-S001-001,figure,Location map,,,,NOR-011,DWG-VW-S001-001,calc_pdf_p3,DWG-S001-V01,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Drawing view type 'plan'.
DR-143,ENT-LINE-ACL,drawing,drawing.view.DWG-VW-S002-001,figure,General arrangement,,,,NOR-011,DWG-VW-S002-001,calc_pdf_p4,DWG-S002-V01,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Drawing view type 'elevation'.
DR-144,ENT-LINE-ACL,drawing,drawing.view.DWG-VW-S002-002,figure,Cross section,,,,NOR-011,DWG-VW-S002-002,calc_pdf_p4,DWG-S002-V01,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Drawing view type 'section'.
DR-145,ENT-LINE-ACL,drawing,drawing.view.DWG-VW-S003-001,figure,General arrangement,,,,NOR-011,DWG-VW-S003-001,calc_pdf_p5,DWG-S003-V01,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Drawing view type 'elevation'.
DR-146,ENT-LINE-ACL,drawing,drawing.view.DWG-VW-S003-002,figure,Cross section,,,,NOR-011,DWG-VW-S003-002,calc_pdf_p5,DWG-S003-V01,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Drawing view type 'section'.
DR-147,ENT-LINE-ACL,drawing,drawing.view.DWG-VW-S004-001,figure,General arrangement,,,,NOR-011,DWG-VW-S004-001,calc_pdf_p6,DWG-S004-V01,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Drawing view type 'elevation'.
DR-148,ENT-LINE-ACL,drawing,drawing.view.DWG-VW-S004-002,figure,Cross section,,,,NOR-011,DWG-VW-S004-002,calc_pdf_p6,DWG-S004-V01,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Drawing view type 'section'.
DR-149,ENT-LINE-ACL,drawing,drawing.view.DWG-VW-S005-001,figure,Quantity summary table,,,,NOR-011,DWG-VW-S005-001,calc_pdf_p7,DWG-S005-V01,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Drawing view type 'table'.
DR-150,ENT-LINE-ACL,drawing,drawing.view.DWG-VW-S006-001,figure,Bolt summary table,,,,NOR-011,DWG-VW-S006-001,calc_pdf_p8,DWG-S006-V01,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Drawing view type 'table'.
DR-151,ENT-LINE-ACL,drawing,drawing.view.DWG-VW-S006-002,figure,Plating weight table,,,,NOR-011,DWG-VW-S006-002,calc_pdf_p8,DWG-S006-V01,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Drawing view type 'table'.
