candidate_id,entity_id,candidate_layer,field_path_candidate,semantic_class,raw_value,raw_unit,normalized_value,normalized_unit,normalization_rule_id,source_record_ids,calculation_locator,drawing_locator,confidence,verification_status,parity_status,adoption_status,issue_id,conflict_id,human_confirmation_id,phase3_action,notes
GEO-012,ENT-GIRDER-AG1,geometry,grid_point.1001.X,COORDINATE,1.21766,m,1.21766,m,NOR-001,CAL-TBL-P00141-001,calc_pdf_p141,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Panel point 1001 X coordinate
GEO-013,ENT-GIRDER-AG1,geometry,grid_point.1001.Y,COORDINATE,1.47689,m,1.47689,m,NOR-001,CAL-TBL-P00141-002,calc_pdf_p141,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Panel point 1001 Y coordinate
GEO-014,ENT-GIRDER-AG1,geometry,grid_point.1027.X,COORDINATE,132.76045,m,132.76045,m,NOR-001,CAL-TBL-P00141-003,calc_pdf_p141,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Panel point 1027 X coordinate
GEO-015,ENT-GIRDER-AG1,geometry,grid_point.1027.Y,COORDINATE,1.55372,m,1.55372,m,NOR-001,CAL-TBL-P00141-004,calc_pdf_p141,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Panel point 1027 Y coordinate
GEO-016,ENT-GIRDER-AG2,geometry,grid_point.2001.X,COORDINATE,1.46395,m,1.46395,m,NOR-001,CAL-TBL-P00141-005,calc_pdf_p141,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Panel point 2001 X coordinate
GEO-017,ENT-GIRDER-AG2,geometry,grid_point.2001.Y,COORDINATE,-3.02859,m,-3.02859,m,NOR-001,CAL-TBL-P00141-006,calc_pdf_p141,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Panel point 2001 Y coordinate
GEO-018,ENT-GIRDER-AG2,geometry,grid_point.2027.X,COORDINATE,132.55077,m,132.55077,m,NOR-001,CAL-TBL-P00141-007,calc_pdf_p141,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Panel point 2027 X coordinate
GEO-019,ENT-GIRDER-AG2,geometry,grid_point.2027.Y,COORDINATE,-2.94155,m,-2.94155,m,NOR-001,CAL-TBL-P00141-008,calc_pdf_p141,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Panel point 2027 Y coordinate
GEO-020,ENT-GIRDER-AG1,geometry,grid_point.1002.coordinate,UNKNOWN_REQUIRES_REVIEW,,,,,NONE,"CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p142,,UNKNOWN,UNVERIFIED,CALC_ONLY,HUMAN_CONFIRMATION_REQUIRED,,,,HUMAN_VALIDATION,Panel point 1002 coordinate not extracted in Phase 2-I
GEO-021,ENT-GIRDER-AG1,geometry,grid_point.1003.coordinate,UNKNOWN_REQUIRES_REVIEW,,,,,NONE,"CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p142,,UNKNOWN,UNVERIFIED,CALC_ONLY,HUMAN_CONFIRMATION_REQUIRED,,,,HUMAN_VALIDATION,Panel point 1003 coordinate not extracted in Phase 2-I
GEO-022,ENT-GIRDER-AG1,geometry,grid_point.1004.coordinate,UNKNOWN_REQUIRES_REVIEW,,,,,NONE,"CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p142,,UNKNOWN,UNVERIFIED,CALC_ONLY,HUMAN_CONFIRMATION_REQUIRED,,,,HUMAN_VALIDATION,Panel point 1004 coordinate not extracted in Phase 2-I
GEO-023,ENT-GIRDER-AG1,geometry,grid_point.1005.coordinate,UNKNOWN_REQUIRES_REVIEW,,,,,NONE,"CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p142,,UNKNOWN,UNVERIFIED,CALC_ONLY,HUMAN_CONFIRMATION_REQUIRED,,,,HUMAN_VALIDATION,Panel point 1005 coordinate not extracted in Phase 2-I
GEO-024,ENT-GIRDER-AG1,geometry,grid_point.1006.coordinate,UNKNOWN_REQUIRES_REVIEW,,,,,NONE,"CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p142,,UNKNOWN,UNVERIFIED,CALC_ONLY,HUMAN_CONFIRMATION_REQUIRED,,,,HUMAN_VALIDATION,Panel point 1006 coordinate not extracted in Phase 2-I
GEO-025,ENT-GIRDER-AG1,geometry,grid_point.1007.coordinate,UNKNOWN_REQUIRES_REVIEW,,,,,NONE,"CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p142,,UNKNOWN,UNVERIFIED,CALC_ONLY,HUMAN_CONFIRMATION_REQUIRED,,,,HUMAN_VALIDATION,Panel point 1007 coordinate not extracted in Phase 2-I
GEO-026,ENT-GIRDER-AG1,geometry,grid_point.1008.coordinate,UNKNOWN_REQUIRES_REVIEW,,,,,NONE,"CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p142,,UNKNOWN,UNVERIFIED,CALC_ONLY,HUMAN_CONFIRMATION_REQUIRED,,,,HUMAN_VALIDATION,Panel point 1008 coordinate not extracted in Phase 2-I
GEO-027,ENT-GIRDER-AG1,geometry,grid_point.1009.coordinate,UNKNOWN_REQUIRES_REVIEW,,,,,NONE,"CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p142,,UNKNOWN,UNVERIFIED,CALC_ONLY,HUMAN_CONFIRMATION_REQUIRED,,,,HUMAN_VALIDATION,Panel point 1009 coordinate not extracted in Phase 2-I
GEO-028,ENT-GIRDER-AG1,geometry,grid_point.1010.coordinate,UNKNOWN_REQUIRES_REVIEW,,,,,NONE,"CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p142,,UNKNOWN,UNVERIFIED,CALC_ONLY,HUMAN_CONFIRMATION_REQUIRED,,,,HUMAN_VALIDATION,Panel point 1010 coordinate not extracted in Phase 2-I
GEO-029,ENT-GIRDER-AG1,geometry,grid_point.1011.coordinate,UNKNOWN_REQUIRES_REVIEW,,,,,NONE,"CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p142,,UNKNOWN,UNVERIFIED,CALC_ONLY,HUMAN_CONFIRMATION_REQUIRED,,,,HUMAN_VALIDATION,Panel point 1011 coordinate not extracted in Phase 2-I
GEO-030,ENT-GIRDER-AG1,geometry,grid_point.1012.coordinate,UNKNOWN_REQUIRES_REVIEW,,,,,NONE,"CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p142,,UNKNOWN,UNVERIFIED,CALC_ONLY,HUMAN_CONFIRMATION_REQUIRED,,,,HUMAN_VALIDATION,Panel point 1012 coordinate not extracted in Phase 2-I
GEO-031,ENT-GIRDER-AG1,geometry,grid_point.1013.coordinate,UNKNOWN_REQUIRES_REVIEW,,,,,NONE,"CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p142,,UNKNOWN,UNVERIFIED,CALC_ONLY,HUMAN_CONFIRMATION_REQUIRED,,,,HUMAN_VALIDATION,Panel point 1013 coordinate not extracted in Phase 2-I
GEO-032,ENT-GIRDER-AG1,geometry,grid_point.1014.coordinate,UNKNOWN_REQUIRES_REVIEW,,,,,NONE,"CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p142,,UNKNOWN,UNVERIFIED,CALC_ONLY,HUMAN_CONFIRMATION_REQUIRED,,,,HUMAN_VALIDATION,Panel point 1014 coordinate not extracted in Phase 2-I
GEO-033,ENT-GIRDER-AG1,geometry,grid_point.1015.coordinate,UNKNOWN_REQUIRES_REVIEW,,,,,NONE,"CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p142,,UNKNOWN,UNVERIFIED,CALC_ONLY,HUMAN_CONFIRMATION_REQUIRED,,,,HUMAN_VALIDATION,Panel point 1015 coordinate not extracted in Phase 2-I
GEO-034,ENT-GIRDER-AG1,geometry,grid_point.1016.coordinate,UNKNOWN_REQUIRES_REVIEW,,,,,NONE,"CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p142,,UNKNOWN,UNVERIFIED,CALC_ONLY,HUMAN_CONFIRMATION_REQUIRED,,,,HUMAN_VALIDATION,Panel point 1016 coordinate not extracted in Phase 2-I
GEO-035,ENT-GIRDER-AG1,geometry,grid_point.1017.coordinate,UNKNOWN_REQUIRES_REVIEW,,,,,NONE,"CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p142,,UNKNOWN,UNVERIFIED,CALC_ONLY,HUMAN_CONFIRMATION_REQUIRED,,,,HUMAN_VALIDATION,Panel point 1017 coordinate not extracted in Phase 2-I
GEO-036,ENT-GIRDER-AG1,geometry,grid_point.1018.coordinate,UNKNOWN_REQUIRES_REVIEW,,,,,NONE,"CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p142,,UNKNOWN,UNVERIFIED,CALC_ONLY,HUMAN_CONFIRMATION_REQUIRED,,,,HUMAN_VALIDATION,Panel point 1018 coordinate not extracted in Phase 2-I
GEO-037,ENT-GIRDER-AG1,geometry,grid_point.1019.coordinate,UNKNOWN_REQUIRES_REVIEW,,,,,NONE,"CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p142,,UNKNOWN,UNVERIFIED,CALC_ONLY,HUMAN_CONFIRMATION_REQUIRED,,,,HUMAN_VALIDATION,Panel point 1019 coordinate not extracted in Phase 2-I
GEO-038,ENT-GIRDER-AG1,geometry,grid_point.1020.coordinate,UNKNOWN_REQUIRES_REVIEW,,,,,NONE,"CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p142,,UNKNOWN,UNVERIFIED,CALC_ONLY,HUMAN_CONFIRMATION_REQUIRED,,,,HUMAN_VALIDATION,Panel point 1020 coordinate not extracted in Phase 2-I
GEO-039,ENT-GIRDER-AG1,geometry,grid_point.1021.coordinate,UNKNOWN_REQUIRES_REVIEW,,,,,NONE,"CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p142,,UNKNOWN,UNVERIFIED,CALC_ONLY,HUMAN_CONFIRMATION_REQUIRED,,,,HUMAN_VALIDATION,Panel point 1021 coordinate not extracted in Phase 2-I
GEO-040,ENT-GIRDER-AG1,geometry,grid_point.1022.coordinate,UNKNOWN_REQUIRES_REVIEW,,,,,NONE,"CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p142,,UNKNOWN,UNVERIFIED,CALC_ONLY,HUMAN_CONFIRMATION_REQUIRED,,,,HUMAN_VALIDATION,Panel point 1022 coordinate not extracted in Phase 2-I
GEO-041,ENT-GIRDER-AG1,geometry,grid_point.1023.coordinate,UNKNOWN_REQUIRES_REVIEW,,,,,NONE,"CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p142,,UNKNOWN,UNVERIFIED,CALC_ONLY,HUMAN_CONFIRMATION_REQUIRED,,,,HUMAN_VALIDATION,Panel point 1023 coordinate not extracted in Phase 2-I
GEO-042,ENT-GIRDER-AG1,geometry,grid_point.1024.coordinate,UNKNOWN_REQUIRES_REVIEW,,,,,NONE,"CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p142,,UNKNOWN,UNVERIFIED,CALC_ONLY,HUMAN_CONFIRMATION_REQUIRED,,,,HUMAN_VALIDATION,Panel point 1024 coordinate not extracted in Phase 2-I
GEO-043,ENT-GIRDER-AG1,geometry,grid_point.1025.coordinate,UNKNOWN_REQUIRES_REVIEW,,,,,NONE,"CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p142,,UNKNOWN,UNVERIFIED,CALC_ONLY,HUMAN_CONFIRMATION_REQUIRED,,,,HUMAN_VALIDATION,Panel point 1025 coordinate not extracted in Phase 2-I
