candidate_id,entity_id,candidate_layer,field_path_candidate,semantic_class,raw_value,raw_unit,normalized_value,normalized_unit,normalization_rule_id,source_record_ids,calculation_locator,drawing_locator,confidence,verification_status,parity_status,adoption_status,issue_id,conflict_id,human_confirmation_id,phase3_action,notes
INP-001,ENT-LINE-ACL,input,road_spec.road_spec,road_spec,A規格,,A規格,,NOR-011,CH1-VAL-001,calc_pdf_p7,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Road specification A規格 per Chapter 1
INP-002,ENT-LINE-ACL,input,road_spec.design_speed,design_speed,40,km/h,40,km/h,NONE,CH1-VAL-002,calc_pdf_p7,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Design speed 40 km/h
INP-003,ENT-LINE-ACL,input,live_load.standard,live_load,B活荷重,,B活荷重,,NOR-011,"CH1-VAL-003,CH2-VAL-005,CAL-VAL-P00135-001,CAL-VAL-P00893-001",calc_pdf_p7,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,B-活荷重 per 道示Ⅰ 8.2
INP-004,ENT-LINE-ACL,input,bridge_type.type,bridge_type,"鋼3徑間連続少数釉柱橋(非合成柱,合成断面担保)",,"鋼3徑間連続少数釉柱橋(非合成柱,合成断面担保)",,NOR-011,"CH1-VAL-004,CH5-VAL-003",calc_pdf_p7,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Steel 3-span continuous plate girder bridge
INP-005,ENT-LINE-ACL,input,bridge.bridge_length,bridge_length,134.001,m,134.001,m,NOR-001,CH1-VAL-005,calc_pdf_p7,DWG-S001,HIGH,UNVERIFIED,BOTH,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Bridge length on ACL 134.001 m; drawing sheet 1 = 134001 mm
INP-006,ENT-GIRDER-AG1,input,girder.girder_length_AG1,girder_length,133.151,m,133.151,m,NOR-001,CH1-VAL-006,calc_pdf_p7,DWG-S001,HIGH,UNVERIFIED,BOTH,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Girder length AG1; drawing = 133151/132847 mm (AG1/AG2)
INP-007,ENT-LINE-ACL,input,bridge.span_length.1,span_length,40.201,m,40.201,m,NOR-001,CH1-VAL-007,calc_pdf_p7,DWG-S001,HIGH,UNVERIFIED,BOTH,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Span length 1 on ACL; drawing = 40201/51000/40200 mm
INP-008,ENT-LINE-ACL,input,bridge.span_length.2,span_length,51.000,m,51.000,m,NOR-001,CH1-VAL-008,calc_pdf_p7,DWG-S001,HIGH,UNVERIFIED,BOTH,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Span length 2 on ACL; drawing = 40201/51000/40200 mm
INP-009,ENT-LINE-ACL,input,bridge.span_length.3,span_length,40.200,m,40.200,m,NOR-001,CH1-VAL-009,calc_pdf_p7,DWG-S001,HIGH,UNVERIFIED,BOTH,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Span length 3 on ACL; drawing = 40201/51000/40200 mm
INP-010,ENT-DECK,input,bridge.total_width,total_width,8.010,m,8.010,m,NOR-001,"CH1-VAL-010,CH2-VAL-001,DWG-DIM-S009-006",calc_pdf_p7,DWG-S009,HIGH,UNVERIFIED,BOTH,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Deck total width; calc 8.010 m; drawing sheet 9 = 8031.7/8010.3/8010 mm
INP-011,ENT-LINE-ACL,input,bridge.effective_width,effective_width,7.000,m,7.000,m,NOR-001,CH1-VAL-011,calc_pdf_p7,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Effective roadway width
INP-012,ENT-GIRDER-AG1,input,material.steel_grade.SM520,steel_grade,SM520,,SM520,,NOR-011,CH1-VAL-026,calc_pdf_p7,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Steel grade SM520
INP-013,ENT-GIRDER-AG1,input,material.steel_grade.SM490Y,steel_grade,SM490Y,,SM490Y,,NOR-011,CH1-VAL-027,calc_pdf_p7,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Steel grade SM490Y
INP-014,ENT-GIRDER-AG1,input,material.steel_grade.SM400,steel_grade,SM400,,SM400,,NOR-011,CH1-VAL-028,calc_pdf_p7,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Steel grade SM400
INP-015,ENT-DECK,input,material.concrete_strength_composite_deck,concrete_strength,30,N/mm2,30,N/mm2,NOR-007,"CH1-VAL-030,CH2-VAL-020,CAL-VAL-P01319-004",calc_pdf_p7,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Concrete design strength composite deck 30 N/mm2
INP-016,ENT-DECK,input,material.concrete_strength_wall_rail,concrete_strength,24,N/mm2,24,N/mm2,NOR-007,CH1-VAL-031,calc_pdf_p7,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Concrete design strength wall rail 24 N/mm2
INP-017,ENT-DECK,input,material.concrete_strength_wrapping,concrete_strength,30,N/mm2,30,N/mm2,NOR-007,CH1-VAL-032,calc_pdf_p7,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Concrete design strength wrapping 30 N/mm2
INP-018,ENT-GIRDER-AG1,input,material.elastic_modulus_steel,elastic_modulus,2.000000e+008,kN/m2,2.000000e+008,kN/m2,NOR-005,"CAL-VAL-P00149-001,CAL-VAL-P01285-004",calc_pdf_p149,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Steel Young's modulus E=2.0e8 kN/m2 (3.1.6) / 200000 N/mm2 (4.2.1)
INP-019,ENT-GIRDER-AG1,input,material.shear_modulus_steel,shear_modulus,7.700000e+007,kN/m2,7.700000e+007,kN/m2,NOR-005,"CAL-VAL-P00149-002,CAL-VAL-P01285-005",calc_pdf_p149,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Steel shear modulus G=7.7e7 kN/m2 (3.1.6) / 77000 N/mm2 (4.2.1)
INP-020,ENT-GIRDER-AG1,input,material.yield_strength_SM490Y,yield_strength,355,N/mm2,355,N/mm2,NOR-007,"CH2-VAL-011,CAL-VAL-P01285-001",calc_pdf_p18,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,SM490Y yield point 355 N/mm2
INP-021,ENT-LINE-ACL,input,code.applicable_code,applicable_code,道路橋示方書 平成29年11月版,,道路橋示方書 平成29年11月版,,NOR-011,CH5-VAL-001,calc_pdf_p2027,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Applicable code 道示 2017-11 edition
INP-022,ENT-LINE-ACL,input,code.applicable_manual,applicable_manual,道路橋支承便覧 平成30年12月版,,道路橋支承便覧 平成30年12月版,,NOR-011,CH5-VAL-002,calc_pdf_p2027,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Applicable manual 支承便覧 2018-12 edition
INP-023,ENT-LINE-ACL,input,code.live_load_reference,REFERENCE_TEXT,Ｂ活荷重 「道示Ⅰ 8.2」より抜粋,,Ｂ活荷重 「道示Ⅰ 8.2」より抜粋,,NOR-011,CAL-NOT-P00135-001,calc_pdf_p135,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Live load reference 道示Ⅰ 8.2
INP-024,ENT-DECK,input,deck.deck_thickness,deck_thickness,230,mm,0.23,m,NOR-002,"CH1-VAL-022,CH2-VAL-022,CAL-VAL-P00119-004,DWG-DIM-S009-007",calc_pdf_p7,DWG-S009,HIGH,UNVERIFIED,BOTH,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Composite deck thickness 230 mm
INP-025,ENT-DECK,input,deck.pavement_thickness,DIMENSION,80,mm,0.08,m,NOR-002,"CH1-VAL-021,CAL-VAL-P00119-001,DWG-DIM-S009-008",calc_pdf_p7,DWG-S009,HIGH,UNVERIFIED,BOTH,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Pavement thickness 80 mm
