exclusion_id,source_record_id,semantic_class,raw_value,exclusion_reason,notes
EXC-001,CH1-VAL-024,DERIVED_VALUE,0.25,Derived/intermediate/analysis/design-result value (DERIVED_VALUE); excluded from input candidates,label: 設計水平震度_レベル1
EXC-002,CAL-TBL-P00222-001,ANALYSIS_RESULT,183.2,Derived/intermediate/analysis/design-result value (ANALYSIS_RESULT); excluded from input candidates,label: 鉛直方向死荷重反力
EXC-003,CAL-TBL-P00222-002,ANALYSIS_RESULT,736.5,Derived/intermediate/analysis/design-result value (ANALYSIS_RESULT); excluded from input candidates,label: 鉛直方向死荷重反力
EXC-004,CAL-TBL-P00222-003,ANALYSIS_RESULT,348.9,Derived/intermediate/analysis/design-result value (ANALYSIS_RESULT); excluded from input candidates,label: 鉛直方向死荷重反力
EXC-005,CAL-TBL-P00222-004,ANALYSIS_RESULT,82.6,Derived/intermediate/analysis/design-result value (ANALYSIS_RESULT); excluded from input candidates,label: 鉛直方向死荷重反力
EXC-006,CAL-TBL-P00222-005,ANALYSIS_RESULT,14.6,Derived/intermediate/analysis/design-result value (ANALYSIS_RESULT); excluded from input candidates,label: 鉛直方向死荷重反力
EXC-007,CAL-TBL-P00222-006,ANALYSIS_RESULT,142.1,Derived/intermediate/analysis/design-result value (ANALYSIS_RESULT); excluded from input candidates,label: 鉛直方向死荷重反力
EXC-008,CAL-TBL-P00222-007,ANALYSIS_RESULT,30.1,Derived/intermediate/analysis/design-result value (ANALYSIS_RESULT); excluded from input candidates,label: 鉛直方向死荷重反力
EXC-009,CAL-TBL-P00222-008,ANALYSIS_RESULT,88.0,Derived/intermediate/analysis/design-result value (ANALYSIS_RESULT); excluded from input candidates,label: 鉛直方向死荷重反力
EXC-010,CAL-TBL-P00222-009,ANALYSIS_RESULT,18.6,Derived/intermediate/analysis/design-result value (ANALYSIS_RESULT); excluded from input candidates,label: 鉛直方向死荷重反力
EXC-011,CAL-TBL-P00222-010,ANALYSIS_RESULT,97.0,Derived/intermediate/analysis/design-result value (ANALYSIS_RESULT); excluded from input candidates,label: 鉛直方向死荷重反力
EXC-012,CAL-TBL-P00222-011,ANALYSIS_RESULT,81.0,Derived/intermediate/analysis/design-result value (ANALYSIS_RESULT); excluded from input candidates,label: 鉛直方向死荷重反力
EXC-013,CAL-TBL-P00222-012,ANALYSIS_RESULT,430.0,Derived/intermediate/analysis/design-result value (ANALYSIS_RESULT); excluded from input candidates,label: 鉛直方向死荷重反力
EXC-014,CAL-TBL-P00222-013,ANALYSIS_RESULT,70.0,Derived/intermediate/analysis/design-result value (ANALYSIS_RESULT); excluded from input candidates,label: 鉛直方向死荷重反力
EXC-015,CAL-TBL-P00222-014,ANALYSIS_RESULT,27.7,Derived/intermediate/analysis/design-result value (ANALYSIS_RESULT); excluded from input candidates,label: 鉛直方向死荷重反力
EXC-016,CAL-TBL-P00222-015,ANALYSIS_RESULT,55.6,Derived/intermediate/analysis/design-result value (ANALYSIS_RESULT); excluded from input candidates,label: 鉛直方向死荷重反力
EXC-017,CAL-TBL-P00222-016,ANALYSIS_RESULT,2405.8,Derived/intermediate/analysis/design-result value (ANALYSIS_RESULT); excluded from input candidates,label: 鉛直方向死荷重反力
EXC-018,CAL-TBL-P00223-001,ANALYSIS_RESULT,1205.1,Derived/intermediate/analysis/design-result value (ANALYSIS_RESULT); excluded from input candidates,label: 上部工反力 死荷重/活荷重
EXC-019,CAL-TBL-P00223-002,ANALYSIS_RESULT,737.8,Derived/intermediate/analysis/design-result value (ANALYSIS_RESULT); excluded from input candidates,label: 上部工反力 死荷重/活荷重
