candidate_id,entity_id,candidate_layer,field_path_candidate,semantic_class,raw_value,raw_unit,normalized_value,normalized_unit,normalization_rule_id,source_record_ids,calculation_locator,drawing_locator,confidence,verification_status,parity_status,adoption_status,issue_id,conflict_id,human_confirmation_id,phase3_action,notes
RP-234,ENT-LINE-ACL,report,report.figure.CAL-FIG-P00118-001,figure,標準断面図,,,,NOR-011,CAL-FIG-P00118-001,calc_pdf_p118,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation figure record.
RP-235,ENT-LINE-ACL,report,report.figure.CAL-FIG-P00121-001,figure,ハンチ荷重 断面図,,,,NOR-011,CAL-FIG-P00121-001,calc_pdf_p121,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation figure record.
RP-236,ENT-LINE-ACL,report,report.figure.CAL-FIG-P00121-002,figure,壁高欄 断面図,,,,NOR-011,CAL-FIG-P00121-002,calc_pdf_p121,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation figure record.
RP-237,ENT-LINE-ACL,report,report.figure.CAL-FIG-P00122-001,figure,左側壁高欄荷重載荷図,,,,NOR-011,CAL-FIG-P00122-001,calc_pdf_p122,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation figure record.
RP-238,ENT-LINE-ACL,report,report.figure.CAL-FIG-P00123-001,figure,ノーズ部詳細図,,,,NOR-011,CAL-FIG-P00123-001,calc_pdf_p123,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation figure record.
RP-239,ENT-LINE-ACL,report,report.figure.CAL-FIG-P00126-001,figure,ノーズ部床版打下ろし断面図,,,,NOR-011,CAL-FIG-P00126-001,calc_pdf_p126,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation figure record.
RP-240,ENT-LINE-ACL,report,report.figure.CAL-FIG-P00129-001,figure,桁端部S1側 床版打下し図,,,,NOR-011,CAL-FIG-P00129-001,calc_pdf_p129,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation figure record.
RP-241,ENT-LINE-ACL,report,report.figure.CAL-FIG-P00130-001,figure,桁端部S2側 床版打下し図,,,,NOR-011,CAL-FIG-P00130-001,calc_pdf_p130,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation figure record.
RP-242,ENT-LINE-ACL,report,report.figure.CAL-FIG-P00131-001,figure,中間支点PR1/PR2床版打下し図,,,,NOR-011,CAL-FIG-P00131-001,calc_pdf_p131,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation figure record.
RP-243,ENT-LINE-ACL,report,report.figure.CAL-FIG-P00133-001,figure,巻き立てコンクリート概要図,,,,NOR-011,CAL-FIG-P00133-001,calc_pdf_p133,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation figure record.
RP-244,ENT-LINE-ACL,report,report.figure.CAL-FIG-P00137-001,figure,荷重載荷図,,,,NOR-011,CAL-FIG-P00137-001,calc_pdf_p137,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation figure record.
RP-245,ENT-LINE-ACL,report,report.figure.CAL-FIG-P00138-001,figure,荷重載荷図(格点集中荷重),,,,NOR-011,CAL-FIG-P00138-001,calc_pdf_p138,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation figure record.
RP-246,ENT-LINE-ACL,report,report.figure.CAL-FIG-P00142-001,figure,格点番号および部材番号図,,,,NOR-011,CAL-FIG-P00142-001,calc_pdf_p142,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation figure record.
RP-509,ENT-LINE-ACL,report,report.figure.SRC-calculation_chapter_03_section_3_2_figures-001,figure,非合成断面 AG1 断面構成図,,,,NOR-011,SRC-calculation_chapter_03_section_3_2_figures-001,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation figure record.
RP-510,ENT-LINE-ACL,report,report.figure.SRC-calculation_chapter_03_section_3_2_figures-002,figure,非合成断面 AG1 断面構成図(続き),,,,NOR-011,SRC-calculation_chapter_03_section_3_2_figures-002,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation figure record.
RP-511,ENT-LINE-ACL,report,report.figure.SRC-calculation_chapter_03_section_3_2_figures-003,figure,非合成断面 AG2 断面構成図,,,,NOR-011,SRC-calculation_chapter_03_section_3_2_figures-003,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation figure record.
RP-512,ENT-LINE-ACL,report,report.figure.SRC-calculation_chapter_03_section_3_2_figures-004,figure,非合成断面 AG2 断面構成図(続き),,,,NOR-011,SRC-calculation_chapter_03_section_3_2_figures-004,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation figure record.
RP-513,ENT-LINE-ACL,report,report.figure.SRC-calculation_chapter_03_section_3_2_figures-005,figure,AG1 J-1 UFLG field splice,,,,NOR-011,SRC-calculation_chapter_03_section_3_2_figures-005,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation figure record.
RP-514,ENT-LINE-ACL,report,report.figure.SRC-calculation_chapter_03_section_3_2_figures-006,figure,Field splice bolt arrangement per joint,,,,NOR-011,SRC-calculation_chapter_03_section_3_2_figures-006,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation figure record.
RP-515,ENT-LINE-ACL,report,report.figure.SRC-calculation_chapter_03_section_3_2_figures-007,figure,Bearing stiffener - horizontal load arm,,,,NOR-011,SRC-calculation_chapter_03_section_3_2_figures-007,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation figure record.
RP-516,ENT-LINE-ACL,report,report.figure.SRC-calculation_chapter_03_section_3_2_figures-008,figure,Jack-up stiffener - jacking point,,,,NOR-011,SRC-calculation_chapter_03_section_3_2_figures-008,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation figure record.
RP-517,ENT-LINE-ACL,report,report.figure.SRC-calculation_chapter_03_section_3_2_figures-009,figure,Sole plate - end support,,,,NOR-011,SRC-calculation_chapter_03_section_3_2_figures-009,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation figure record.
RP-518,ENT-LINE-ACL,report,report.figure.SRC-calculation_chapter_03_section_3_2_figures-010,figure,Sole plate - intermediate support,,,,NOR-011,SRC-calculation_chapter_03_section_3_2_figures-010,,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation figure record.
RP-707,ENT-LINE-ACL,report,report.figure.CAL-FIG-P00678-001,figure,横桁部材番号図,,,,NOR-011,CAL-FIG-P00678-001,calc_pdf_p678,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation figure record.
RP-708,ENT-LINE-ACL,report,report.figure.CAL-FIG-P00687-001,figure,中間横桁代表CR1-026断面図,,,,NOR-011,CAL-FIG-P00687-001,calc_pdf_p687,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Calculation figure record.
