candidate_id,entity_id,candidate_layer,field_path_candidate,semantic_class,raw_value,raw_unit,normalized_value,normalized_unit,normalization_rule_id,source_record_ids,calculation_locator,drawing_locator,confidence,verification_status,parity_status,adoption_status,issue_id,conflict_id,human_confirmation_id,phase3_action,notes
RP-133,ENT-LINE-ACL,report,report.formula.CH2-FML-001,deck_thickness,hc=25×L+110=223mm,,,,NOR-011,CH2-FML-001,calc_pdf_p19,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Formula '合成床版厚算定式'.
RP-134,ENT-LINE-ACL,report,report.formula.CH2-FML-002,member_force,My=βy×p0×a² =0.01250×6.325×0.625²=0.031 kN･m/m,,,,NOR-011,CH2-FML-002,calc_pdf_p20,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Formula '膜作用主鉄筋方向曲げモーメント'.
RP-135,ENT-LINE-ACL,report,report.formula.CH2-FML-003,member_force,Mx=βx×p0×a² =0.04170×6.325×0.625²=0.103 kN･m/m,,,,NOR-011,CH2-FML-003,calc_pdf_p20,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Formula '膜作用配力筋方向曲げモーメント'.
RP-136,ENT-LINE-ACL,report,report.formula.CH2-FML-004,load_intensity,wd=0.625×p0=0.625×6.325=3.95 kN/m,,,,NOR-011,CH2-FML-004,calc_pdf_p21,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Formula '梁モデル荷重強度'.
RP-137,ENT-LINE-ACL,report,report.formula.CH2-FML-005,member_force,Md=w×L²/8=(22.5×0.080)×4.512²/8=4.58 kN･m/m,,,,NOR-011,CH2-FML-005,calc_pdf_p22,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Formula '舗装死荷重曲げモーメント'.
RP-138,ENT-LINE-ACL,report,report.formula.CH2-FML-006,DERIVED_VALUE,K=1.125+(L-4.0)/26=1.145,,,,NOR-011,CH2-FML-006,calc_pdf_p22,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Formula 'T荷重支間割増係数'.
RP-139,ENT-LINE-ACL,report,report.formula.CH2-FML-007,member_force,Mly=(0.12L+0.07)×P×K=(0.12×4.512+0.07)×100×1.145=70.01 kN･m/m,,,,NOR-011,CH2-FML-007,calc_pdf_p22,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Formula '活荷重曲げモーメント主鉄筋方向'.
RP-140,ENT-LINE-ACL,report,report.formula.CH2-FML-008,member_force,Mlx=(0.10L+0.04)×P=(0.10×4.512+0.04)×100=49.12 kN･m/m,,,,NOR-011,CH2-FML-008,calc_pdf_p22,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Formula '活荷重曲げモーメント配力筋方向'.
RP-141,ENT-LINE-ACL,report,report.formula.CH2-FML-009,member_force,Mly=-P×L/(1.3L+0.25)×K×α=-100×1.004/(1.3×1.004+0.25)×1.00×1.00=-64.56 kN･m/m,,,,NOR-011,CH2-FML-009,calc_pdf_p23,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Formula '張出部T荷重活荷重曲げモーメント'.
RP-142,ENT-LINE-ACL,report,report.formula.CH2-FML-010,DESIGN_RESULT,σfy=My/W=0.031×10⁶/10667=2.9 N/mm²,,,,NOR-011,CH2-FML-010,calc_pdf_p30,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Formula '疲労応力度照査鋼板下面'.
RP-143,ENT-LINE-ACL,report,report.formula.CH2-FML-011,member_force,Vd=k1×k2×(0.04L+0.72)×P=29.61 kN/m,,,,NOR-011,CH2-FML-011,calc_pdf_p31,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Formula 'スタッドせん断力算定式'.
RP-247,ENT-LINE-ACL,report,report.formula.CAL-FML-P00121-001,NUMERIC_SUBSTITUTION,W = (1.660 + 0.660) / 2 x 0.100 x 24.5 = 2.842 kN/m,,,,NOR-011,CAL-FML-P00121-001,calc_pdf_p121,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_DERIVED_VALUE,,,,GOLDEN_EXCLUDED,Formula 'ハンチ荷重 W'.
RP-248,ENT-LINE-ACL,report,report.formula.CAL-FML-P00121-002,DERIVED_VALUE,e = sum(A*X)/sum(A) = 77755850/404550 = 192 mm,,,,NOR-011,CAL-FML-P00121-002,calc_pdf_p121,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Formula '壁高欄重心位置 e'.
RP-249,ENT-LINE-ACL,report,report.formula.CAL-FML-P00121-003,NUMERIC_SUBSTITUTION,Wd = sum(A) x 24.5 / 1000 = 404550 x 24.5 / 1000 = 9.911 kN/m → 9.920 kN/m,,,,NOR-011,CAL-FML-P00121-003,calc_pdf_p121,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_DERIVED_VALUE,,,,GOLDEN_EXCLUDED,Formula '壁高欄荷重 Wd'.
RP-250,ENT-LINE-ACL,report,report.formula.CAL-FML-P00122-001,NUMERIC_SUBSTITUTION,W = 0.000 kN/m (ノーズ部控除),,,,NOR-011,CAL-FML-P00122-001,calc_pdf_p122,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_DERIVED_VALUE,,,,GOLDEN_EXCLUDED,Formula '左側壁高欄調整 S1'.
RP-251,ENT-LINE-ACL,report,report.formula.CAL-FML-P00122-002,NUMERIC_SUBSTITUTION,W = 9.920 x 1.319 / (2.735 + 2.495) = 2.502 kN/m,,,,NOR-011,CAL-FML-P00122-002,calc_pdf_p122,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_DERIVED_VALUE,,,,GOLDEN_EXCLUDED,Formula '左側壁高欄調整 C1'.
RP-252,ENT-LINE-ACL,report,report.formula.CAL-FML-P00122-003,NUMERIC_SUBSTITUTION,W = 9.920 kN/m,,,,NOR-011,CAL-FML-P00122-003,calc_pdf_p122,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_DERIVED_VALUE,,,,GOLDEN_EXCLUDED,Formula '左側壁高欄調整 C2以降'.
RP-253,ENT-LINE-ACL,report,report.formula.CAL-FML-P00122-004,NUMERIC_SUBSTITUTION,W = 2.100 x 1.319 / (2.735 + 2.495) = 0.530 kN/m,,,,NOR-011,CAL-FML-P00122-004,calc_pdf_p122,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_DERIVED_VALUE,,,,GOLDEN_EXCLUDED,Formula '左側遮音壁調整 C1'.
RP-254,ENT-LINE-ACL,report,report.formula.CAL-FML-P00124-001,NUMERIC_SUBSTITUTION,W = {(0.326 - 0.125)/2 + 0.290 x 0.180 / 2} x 0.823 x 24.5 = 5.935 kN/m,,,,NOR-011,CAL-FML-P00124-001,calc_pdf_p124,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_DERIVED_VALUE,,,,GOLDEN_EXCLUDED,Formula 'ノーズ地覆荷重 GE1'.
RP-255,ENT-LINE-ACL,report,report.formula.CAL-FML-P00124-002,NUMERIC_SUBSTITUTION,W = {(0.328 - 0.125)/2 + 0.290 x 0.180 / 2} x 0.890 x 24.5 = 6.462 kN/m,,,,NOR-011,CAL-FML-P00124-002,calc_pdf_p124,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_DERIVED_VALUE,,,,GOLDEN_EXCLUDED,Formula 'ノーズ地覆荷重 S1'.
RP-256,ENT-LINE-ACL,report,report.formula.CAL-FML-P00124-003,NUMERIC_SUBSTITUTION,W = {(0.336 - 0.125)/2 + 0.290 x 0.180 / 2} x 1.101 x 24.5 = 8.167 kN/m,,,,NOR-011,CAL-FML-P00124-003,calc_pdf_p124,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_DERIVED_VALUE,,,,GOLDEN_EXCLUDED,Formula 'ノーズ地覆荷重 A部'.
RP-257,ENT-LINE-ACL,report,report.formula.CAL-FML-P00124-004,NUMERIC_SUBSTITUTION,W = {(0.341 - 0.125)/2 + 0.290 x 0.180 / 2} x 1.311 x 24.5 = 9.858 kN/m,,,,NOR-011,CAL-FML-P00124-004,calc_pdf_p124,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_DERIVED_VALUE,,,,GOLDEN_EXCLUDED,Formula 'ノーズ地覆荷重 C1'.
RP-258,ENT-LINE-ACL,report,report.formula.CAL-FML-P00124-005,NUMERIC_SUBSTITUTION,W = {(0.344 - 0.125)/2 + 0.290 x 0.180 / 2} x 1.401 x 24.5 = 10.605 kN/m,,,,NOR-011,CAL-FML-P00124-005,calc_pdf_p124,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_DERIVED_VALUE,,,,GOLDEN_EXCLUDED,Formula 'ノーズ地覆荷重 B部'.
RP-259,ENT-LINE-ACL,report,report.formula.CAL-FML-P00124-006,NUMERIC_SUBSTITUTION,W = {(0.344 - 0.125)/2 + 0.290 x 0.180 / 2} x 1.421 x 24.5 = 10.761 kN/m,,,,NOR-011,CAL-FML-P00124-006,calc_pdf_p124,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_DERIVED_VALUE,,,,GOLDEN_EXCLUDED,Formula 'ノーズ地覆荷重 C部'.
RP-260,ENT-LINE-ACL,report,report.formula.CAL-FML-P00124-007,NUMERIC_SUBSTITUTION,W = (0.708 + 0.787) x 0.250 x 24.5 = 4.102 kN (格点荷重),,,,NOR-011,CAL-FML-P00124-007,calc_pdf_p124,,HIGH,UNVERIFIED,CALC_ONLY,EXCLUDED_DERIVED_VALUE,,,,GOLDEN_EXCLUDED,Formula 'ノーズ壁高欄直壁'.
RP-261,ENT-LINE-ACL,report,report.formula.CAL-FML-P00135-001,FORMULA_DEFINITION,i = 20 / (50 + 40.156) = 0.222,,,,NOR-011,CAL-FML-P00135-001,calc_pdf_p135,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Formula '衝撃係数 i=20/(50+L)'.
