candidate_id,entity_id,candidate_layer,field_path_candidate,semantic_class,raw_value,raw_unit,normalized_value,normalized_unit,normalization_rule_id,source_record_ids,calculation_locator,drawing_locator,confidence,verification_status,parity_status,adoption_status,issue_id,conflict_id,human_confirmation_id,phase3_action,notes
RP-004,ENT-LINE-ACL,report,report.layout.CH1-PE-001,text,第1章 設計条件,,,,NOR-011,CH1-PE-001,calc_pdf_p6,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Page element type 'chapter_title'.
RP-006,ENT-LINE-ACL,report,report.layout.CH1-PE-002,text,1.1 設計条件,,,,NOR-011,CH1-PE-002,calc_pdf_p7,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Page element type 'section_title'.
RP-008,ENT-LINE-ACL,report,report.layout.CH1-PE-003,NOTE,道路規格: A規格,,,,NOR-011,CH1-PE-003,calc_pdf_p7,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Page element type 'design_condition'.
RP-009,ENT-LINE-ACL,report,report.layout.CH1-PE-004,NOTE,設計速度: V=40km/h,,,,NOR-011,CH1-PE-004,calc_pdf_p7,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Page element type 'design_condition'.
RP-010,ENT-LINE-ACL,report,report.layout.CH1-PE-005,NOTE,活荷重: B活荷重,,,,NOR-011,CH1-PE-005,calc_pdf_p7,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Page element type 'design_condition'.
RP-011,ENT-LINE-ACL,report,report.layout.CH1-PE-006,NOTE,"橋梁形式: 鋼3径間連続少数鈑桁橋(非合成桁,合成断面担保)",,,,NOR-011,CH1-PE-006,calc_pdf_p7,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Page element type 'design_condition'.
RP-012,ENT-LINE-ACL,report,report.layout.CH1-PE-007,NOTE,橋長: 134.001m (ACL上),,,,NOR-011,CH1-PE-007,calc_pdf_p7,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Page element type 'design_condition'.
RP-013,ENT-LINE-ACL,report,report.layout.CH1-PE-008,NOTE,桁長: 133.151m (ACL上),,,,NOR-011,CH1-PE-008,calc_pdf_p7,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Page element type 'design_condition'.
RP-014,ENT-LINE-ACL,report,report.layout.CH1-PE-009,NOTE,支間長: 40.201m + 51.000m + 40.200m (ACL上),,,,NOR-011,CH1-PE-009,calc_pdf_p7,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Page element type 'design_condition'.
RP-015,ENT-LINE-ACL,report,report.layout.CH1-PE-010,NOTE,総幅員: 8.010m,,,,NOR-011,CH1-PE-010,calc_pdf_p7,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Page element type 'design_condition'.
